"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,64569.5,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"2",2,64568.7922221796,0.583162218245243,0.790022707816057,0.0000584608302812053,0.00000019003164645549,0.334534239344482,0.00000000411135046151032,0.70777782037906,0.0000623436902195453,0.000000194142996917001,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"3",3,64568.1603985801,0.921415277492121,0.784903639822737,0.000103905337920638,0.000000674793266427104,0.63317789266388,0.0000000298212807907905,1.33960141993121,0.000117997628864996,0.000000704614547217895,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"4",4,64567.4900534005,1.18565243001132,0.874108090866996,0.00014726553003083,0.00000139564148419478,0.950037324059319,0.0000000933480874324618,2.00994659945724,0.000177045321463375,0.00000148898957162724,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"5",5,64566.7236540126,1.4464175354832,1.01742544128432,0.000193522641948766,0.00000234263232719621,1.312306936406,0.000000208972998665143,2.7763459874208,0.000244554748465993,0.00000255160532586135,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"6",6,64565.8233389108,1.73599127513242,1.2025354407507,0.000245463238189839,0.00000352875608825712,1.7378849901915,0.000000391150171279263,3.67666108921906,0.000323861363380567,0.00000391990625953639,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"7",7,64564.7559462593,2.07268968387443,1.42860334680129,0.000305165464286565,0.00000498047682392083,2.2424499084768,0.000000655593702467647,4.74405374068734,0.000417886874814334,0.00000563607052638847,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"8",8,64563.4866264589,2.47049253767037,1.70001892380134,0.000374606925612281,0.00000673474593855516,2.84247971796399,0.00000102000591649853,6.01337354111316,0.000529701962713354,0.00000775475185505369,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"9",9,64561.9756850417,2.94300043969682,2.02410327539898,0.000455936445569228,0.00000883868815164241,3.55674496334434,0.00000150471453541352,7.52431495828839,0.000662804499310346,0.0000103434026870559,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"10",10,64560.1765590178,3.50522070125305,2.4103889517546,0.000551621210336767,0.0000113505070579009,4.40726622418,0.00000213333182932534,9.32344098223687,0.000821297988081293,0.0000134838388872263,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"11",11,64558.0340795862,4.17455984064659,2.870542021861,0.000664553446624434,0.000014341077010194,5.42013672321747,0.00000293349356837944,11.4659204137423,0.0010100448581959,0.0000172745705785734,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"12",12,64555.4826661108,4.97155995781315,3.41857590526141,0.000798150455730101,0.0000178960581599722,6.62637804183829,0.0000039377153836773,14.0173338891421,0.00123482592660309,0.0000218337735436495,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"13",13,64552.4442809853,5.92060391640101,4.07122161295429,0.000956463052146358,0.0000221185060880235,8.06290971939913,0.00000518439537692465,17.055719014708,0.00150252108144532,0.0000273029014649481,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"14",14,64548.8260348052,7.05068644954708,4.84841521926121,0.00114430041804578,0.0000271320310357652,9.7736853745437,0.0000067189978723087,20.6739651947989,0.00182132099620726,0.0000338510289080739,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"15",15,64544.5173759066,8.39629826377136,5.77388980512602,0.0013673757807823,0.0000330845563451357,11.8110269686827,0.00000859544297225279,24.9826240933601,0.00220097576713007,0.0000416799993173885,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"16",16,64539.3866776411,9.99848830103473,6.87590418267721,0.00163248285716804,0.0000401529190356652,14.2372463615944,0.0000108777924484082,30.113322358875,0.00265309708684951,0.0000510307114840735,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"17",17,64534.2263017891,11.1114822245924,8.05185159988464,0.0019444217264956,0.0000485429466242522,17.1083577796539,0.0000136421103025535,35.2736982109142,0.0031881228650317,0.0000621850569268049,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"18",18,64528.2468932524,12.5497533697796,9.26551919478635,0.00229960983650861,0.0000584482766732491,20.4354591476169,0.0000169772479919081,41.2531067475438,0.00380812032981174,0.0000754255246651564,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"19",19,64521.3918574841,14.257877683611,10.5973053125547,0.0026985593776853,0.0000700378630292747,24.2501699392507,0.0000209832275079938,48.1081425158844,0.00451898118843065,0.0000910210905372677,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"20",20,64513.5625252804,16.232456102778,12.0941995732735,0.00314580809328153,0.000083487289032534,28.6075639774574,0.0000257707102997669,55.9374747196013,0.00533096807992753,0.0001092579993323,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"21",21,64504.6326338638,18.4938715695989,13.7915915968558,0.00364805183908012,0.0000989961484440034,33.578124459683,0.0000314620213336795,64.8673661361465,0.00625721523463376,0.000130458169777682,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"22",22,64494.4527799136,21.0751676394932,15.7223980290302,0.00421346684561013,0.000116797216539077,39.2452859608381,0.0000381929591162414,75.0472200863826,0.00731327035871647,0.000154990175655317,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"23",23,64482.8506086262,24.0179150318697,17.9210878896329,0.00485152413983945,0.000137162696035592,45.7053536503587,0.0000461150744297318,86.6493913737714,0.00851707954914591,0.000183277770465323,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"24",24,64469.6290454314,27.370998939588,20.4256483698819,0.00557301687983144,0.000160409675905468,53.0685184343126,0.0000553983025369362,99.8709545686406,0.00988917644867951,0.000215807978442404,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"25",25,64454.5634953797,31.1906239225226,23.2787814564269,0.00639018558534419,0.000186905782587643,61.4604559159744,0.0000662339481617442,114.93650462024,0.0114529802003319,0.000253139730749386,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"26",26,64437.3983421851,35.540894870244,26.5288228232475,0.00731689876881035,0.000217075432535855,71.0243273091081,0.0000788380443732021,132.101657814845,0.0132351683069915,0.000295913476909056,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"27",27,64417.8429309109,40.4946733838649,30.2305995092209,0.00836886798182955,0.000251406818394984,81.9230824661662,0.0000934550720045011,151.657069089124,0.0152661057898192,0.000344861890399484,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"28",28,64395.5668582239,46.1346626134267,34.4463437711314,0.00956390326037217,0.000290460093261291,94.3421706659302,0.000110362260275112,173.933141776102,0.0175803503311002,0.000400822353536403,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"29",29,64370.1947653942,52.5546278457824,39.2466667571609,0.0109221966747206,0.000334876516479059,108.492553055304,0.000129874331230245,199.30523460577,0.0202172136289067,0.000464750847709303,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"30",30,64341.3006004469,59.8607353726831,44.7116191090447,0.012466635170628,0.000385388663026138,124.614040698787,0.00015234874979312,228.199399553098,0.0232213834270132,0.000537737412819257,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"31",31,64308.400569414,68.1731858545314,50.9319793105407,0.0142231856434112,0.000442833123419134,142.979421209946,0.000178192219064607,261.099430586004,0.026643692493086,0.00062102534248374,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"32",32,64270.9462475366,77.6277963790511,58.0104881547104,0.0162212723895028,0.000508163140671785,163.898530627017,0.000207867109499528,298.553752463418,0.030541877392929,0.000716030250171312,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"33",33,64228.3161418817,88.3778921099672,66.0633698771051,0.0184942402668806,0.000582464278037578,187.72327752723,0.000241899444085473,341.183858118291,0.0349815147093416,0.00082436372212305,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"34",34,64179.8065819143,100.596293511233,75.2219682824624,0.0210798558903147,0.000666971672066889,214.853128576765,0.000280887695738571,389.693418085719,0.0400370432464239,0.000947859367805459,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"35",35,64124.6216620416,114.477499713772,85.6344863226568,0.0240208656745989,0.000763089372687925,245.741242454245,0.000325512696310545,444.878337958417,0.0457929070545683,0.00108860206899847,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"36",36,64061.8621577389,130.239994458963,97.467904067666,0.027365613268362,0.000872412144732228,280.901329160197,0.000376548873160423,507.637842261112,0.052344833626215,0.00124896101789265,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"37",37,63990.513462066,148.128608755581,110.910078087187,0.0311687142070185,0.00099674988792847,320.915250750168,0.000434876914233899,578.986537933946,0.0598012502502658,0.00143162680216237,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"38",38,63909.4324488022,168.417051486223,126.171898816651,0.0354918006150034,0.00113815483378017,366.441469441397,0.000501498048916817,660.067551197769,0.0682848582689431,0.00163965288269698,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"39",39,63817.3333536353,191.410458898551,143.489547435457,0.0404043300254959,0.00129895178520145,418.224359198793,0.000577550125374031,752.166646364737,0.0779343682370056,0.00187650191057548,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"40",40,63712.7728523766,217.44773188115,163.126920887362,0.0459844460430376,0.00148177166970754,477.104364311487,0.000664325673581781,856.727147623386,0.088906392908824,0.00214609734328932,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"41",41,63594.1343221714,246.903830065368,185.37796466262,0.0523199057934024,0.00168958842768272,544.029110314158,0.000763292166970932,975.365677828533,0.101377517686476,0.00245288059465365,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"42",42,63459.6116206443,280.191769261703,210.568852952014,0.0595090590654439,0.00192575949173195,620.065446208611,0.000876114785245285,1109.88837935567,0.115546544604989,0.00280187427697724,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"43",43,63307.1929695125,317.763858844978,239.060160730432,0.0676618377893901,0.00219406955119087,706.412150323201,0.00100468155805056,1262.30703048751,0.131636859974219,0.00319875110924143,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"44",44,63134.6449399132,360.112351982819,271.248520069914,0.0769007850872863,0.00249877836386198,804.413637338775,0.0011511318104646,1434.85506008677,0.149898988573818,0.00364991017432658,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"45",45,62939.4981799455,407.768862527878,307.567782245024,0.0873620169351766,0.002844669942345,915.573650708293,0.00131788646663125,1630.00182005454,0.170613145114702,0.00416255640897625,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"46",46,62719.0336345518,461.30205944959,348.489597227482,0.0991962318370971,0.00323710976997503,1041.5707677447,0.00150768481122992,1850.46636544819,0.194092123461196,0.00474479458120495,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"47",47,62574.680337592,434.158270827174,379.316382145772,0.112200447924184,0.00368150554072736,1182.22740386959,0.00172361199171365,1994.81966240799,0.220302798573004,0.005405117532441,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"48",48,62421.984181609,422.44476775712,394.572112791877,0.125151752300471,0.00417815633945487,1331.36763896725,0.00196896617508648,2147.51581839105,0.248094202591298,0.00614712251454133,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"49",49,62265.2809805944,417.72197259814,402.550262746066,0.137328278480779,0.00472102421312764,1484.80248791284,0.00224684583452352,2304.21901940556,0.276685679433802,0.00696787004765114,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"50",50,62106.6079430594,416.10637536371,407.06813669095,0.148478486673277,0.00530169274104412,1640.5612048247,0.00255988182459015,2462.89205694059,0.305709977985962,0.00786157456563425,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
"51",51,61946.9458143414,415.810022715411,409.882640139275,0.158557850871207,0.00591145161150869,1797.69414333845,0.00291016304290581,2622.55418565865,0.334990143959497,0.00882161465441448,"Malawi","Kasungu","TA Santhe",229,64570.5,1,"Pediatrics",114907.725644
