"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,726.7885194,0,1,0,0,0,0,0,0,0,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"2",2,138.93550263327,525.441791026645,57.9375151881696,0.13093117826592,0.000499259973878383,5.3422788787079,0.00000123496881591305,587.853016766731,0.134441271820049,0.000505308954222859,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"3",3,0.00000785102304381339,456.525536824856,210.588040500663,1.40432107300413,0.0120890100913741,59.258466628986,0.0000575113766128089,726.788511548977,1.49025332034473,0.0123707056145582,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"4",4,0.0000000590811165888474,310.762582014274,262.874035486088,3.40226636277317,0.0531213212613284,150.696076329449,0.000437813191497693,726.788519340919,3.78616617347465,0.0552657668180074,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"5",5,-0.0000000174754987027594,211.539908326112,260.303258637615,5.35242730373345,0.126836432965184,250.464535263286,0.00155344208087813,726.788519417476,6.286342394684,0.134445321944755,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"6",6,0.000000000334827193313875,143.997867079424,232.575310141707,6.92052261991676,0.227008744983377,344.064023171314,0.00378762931688106,726.788519399665,8.62629414463929,0.245560869534827,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"7",7,0.000000000805668713608744,98.0211716579129,196.01717290062,8.00952756032736,0.344275618406863,425.388952221473,0.00741942741152728,726.788519399195,10.653454288988,0.380616593175862,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"8",8,-0.00000000100532612183264,66.7242849523145,159.094257449915,8.64003713415117,0.469314091266454,492.848019312581,0.0126064478327506,726.788519401006,12.3290191327029,0.531061525024605,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"9",9,0.00000000601532781705466,45.420087299978,125.766543283464,8.88307600206173,0.594240494633317,547.105176638486,0.019395662512844,726.788519393985,13.6708481600665,0.68924206859739,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"10",10,0.000000232353426470809,30.9180424184807,97.5023078360327,8.82407091264293,0.713051080146502,589.803301609055,0.0277452990732919,726.788519167647,14.7212422270448,0.848949870936513,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"11",11,0.000000143309923553485,21.0463116956153,74.4657125106895,8.5448807798428,0.821581706998809,622.872483641753,0.0375489071530289,726.788519256691,15.5295124446738,1.00549938848076,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"12",12,0.000000959537376795649,14.3264954697486,56.1998951200814,8.11601692987752,0.917254856040741,648.180198702868,0.0486573483781045,726.788518440463,16.143191268059,1.15558260987627,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"13",13,0.00000313676961160656,9.75222647397758,42.006809500525,7.59435350665587,0.998759781198763,667.375469965079,0.0608970229526363,726.788516263231,16.6041412409569,1.29703848275874,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"14",14,0.0000000959261579978765,6.63846962694288,31.1478149997379,7.02359647872826,1.06573937372455,681.838814804393,0.0740840060447212,726.788519304074,16.9473298061543,1.42860901920078,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"15",15,0.0000000107826711355014,4.51888244222033,22.9407352976082,6.43596884970131,1.11851642449116,692.686381943073,0.0880344176202452,726.788519389218,17.2009658412002,1.5497163503197,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"16",16,0.0000000156735229019063,3.0760605897148,16.7991393530043,5.85426626784157,1.15787028607206,700.798611253148,0.102571620043101,726.788519384327,17.3872487592188,1.66027464280319,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"17",17,0.00000000508979427804918,2.0939135406377,12.2407338110248,5.2938725180318,1.18486254525663,706.857606082777,0.117530882680057,726.788519394911,17.5233317565358,1.76053861904881,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"18",18,0.00000000142314196365203,1.42535317039671,8.88063212001794,4.76453057661633,1.20070676822677,711.384534641098,0.132762107718347,726.788519398578,17.6222808051936,1.85098665362272,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"19",19,0.000000000708358454453223,0.970256404691228,6.41833223220604,4.27181368211598,1.20667430283314,714.773311628395,0.148131134547964,726.788519399292,17.6939357662805,1.93223296450924,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"20",20,0.000000000248757490596406,0.660466099186165,4.62306434669076,3.818298682533,1.2040287709471,717.319141453051,0.163520032840414,726.788519399752,17.745638664677,2.004963540987,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"21",21,0.000000000193011157714403,0.449587834472255,3.31989619918733,3.40447311906108,1.19398263326413,719.241752893219,0.178826706100947,726.788519399808,17.7828255643733,2.06989076659808,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"22",22,0.0000000000753637436637146,0.306039459358772,2.37760178205685,3.02942022601569,1.17767016060804,720.703823705565,0.193964051818052,726.788519399925,17.8094952402024,2.1277222767944,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"23",23,0.0000000000536536915080881,0.208324851433922,1.69858767659942,2.69132459749359,1.1561323802403,721.825291023097,0.208858856579547,726.788519399947,17.8285726822956,2.17914049343334,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"24",24,0.0000000000463575697665299,0.141809290611278,1.21079159980445,2.38783868350421,1.13031043082782,722.694318823572,0.223450557131452,726.788519399954,17.8421872789828,2.22478991130854,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"25",25,0.0000000000407635701082906,0.0965311765102346,0.86132809005027,2.11634188677322,1.10104476276977,723.375583514088,0.237689955265369,726.78851939996,17.8518826337972,2.26527000388782,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"26",26,0.0000000000380347244688314,0.0657099418435758,0.61158939138473,1.87411975266592,1.06907815481179,723.916484195696,0.251537949057004,726.788519399963,17.8587735415099,2.30113202542774,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"27",27,0.0000000000361446607085916,0.0447295412412399,0.433519995143703,1.65848415608282,1.03506112298461,724.351760250718,0.264964319290823,726.788519399964,17.8636624569156,2.33287847571891,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"28",28,0.0000000000348576833357809,0.0304479334401142,0.306812996596086,1.46685061934534,0.999558704589127,724.706902537146,0.277946594346151,726.788519399966,17.8671253158611,2.36096432418846,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"29",29,0.0000000000339760991786194,0.0207262795618901,0.216822968126096,1.29678499222784,0.96305789444106,725.000658244561,0.290469006545194,726.788519399967,17.869574361214,2.3857993342501,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"30",30,0.000000000033366827593799,0.014108621320578,0.153020393931809,1.14602873173439,0.925975243145018,725.246864850508,0.302521544824066,726.788519399967,17.8713039714155,2.40775102148191,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"31",31,0.0000000000329437018017982,0.00960391283166226,0.107856638675136,1.01250939636636,0.88866429903776,725.455786034916,0.314099103637745,726.788519399968,17.8725238918647,2.42714792683495,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"32",32,0.0000000000326488539814289,0.00653749568641906,0.0759337356994638,0.894341302613388,0.851422688486477,725.635083438311,0.325200724668061,726.788519399968,17.8733832739333,2.44428298275403,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"33",33,0.0000000000324429664927678,0.00445015370842351,0.053400605141268,0.789819793719666,0.814498718754802,725.790521188196,0.335828925944529,726.788519399968,17.8739879839576,2.45941683002153,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"34",34,0.000000000032299021723106,0.00302925512865834,0.0375154638526549,0.697411622375975,0.77809744339388,725.926476488935,0.345989111778781,726.788519399968,17.8744130422408,2.47278099295808,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"35",35,0.0000000000321983254317254,0.00206205428770694,0.026330296694815,0.615743140735722,0.742386171139159,726.046308665959,0.355689056648616,726.788519399969,17.8747115198081,2.48458086034031,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"36",36,0.0000000000321278697805557,0.00140367000420498,0.0184632196960933,0.543587525543442,0.707499424623535,726.152627089872,0.364938455725414,726.788519399969,17.8749209159475,2.49499844255983,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"37",37,0.0000000000320785771547239,0.00095549647531034,0.0129356211970626,0.4798517668514,0.673543373487218,726.247484592089,0.37374853536514,726.788519399969,17.8750676884857,2.50419489688542,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"38",38,0.0000000000320441003347066,0.000650419944438737,0.00905558702307715,0.423563965935788,0.640599773907677,726.332517921697,0.382131716957443,726.788519399969,17.8751704801114,2.51231282049788,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"39",39,0.0000000000320199956740632,0.000442748482021124,0.00633453344611568,0.373861255388217,0.608729452637801,726.409050067403,0.390101328108164,726.788519399969,17.875242413312,2.51947831987598,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"40",40,0.0000000000320031506726434,0.000301386865343278,0.00442790996630571,0.329978507718221,0.577975376491049,726.47816484886,0.3976713555646,726.788519399969,17.8752927144228,2.52580287008893,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
"41",41,0.0000000000319913849077072,0.000205157126164964,0.00309303916352483,0.291237928838338,0.548365346228448,726.540761679213,0.40485623489624,726.788519399969,17.8753278640667,2.53138497852207,"Malawi","Neno","Neno Boma",31,727.7885194,1,"Adults",2117.4914522
