"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,54298.06619,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"2",2,54297.3287362435,0.607726435222307,0.794512618495181,0.0000616539929160398,0.000000200219703025381,0.335152844180412,0.00000000433011195685852,0.737453756440631,0.0000657449892156846,0.000000204549814982239,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"3",3,54296.6639915005,0.965683237095018,0.799132339826627,0.000110123605290027,0.000000712794694741886,0.637272054680198,0.0000000314569323247191,1.40219849945876,0.000125008637831359,0.000000744251627066605,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"4",4,54295.9494126797,1.25288454062552,0.901684794536596,0.000157146442215691,0.00000147977773899657,0.962049260250951,0.0000000986965359648649,2.11677732032955,0.00018871592771492,0.00000157847427496143,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"5",5,54295.121963466,1.54338084750326,1.0624999660323,0.000208146894807738,0.00000249541545041244,1.33813485652393,0.000000221593282000574,2.94422653396303,0.000262487069455998,0.00000271700873241301,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"6",6,54294.1382588195,1.87189559645907,1.27051485494839,0.000266286151353274,0.0000037790268855883,1.78525024775194,0.000000416196024851181,3.92793118053366,0.000350190609562064,0.00000419522291043948,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"7",7,54292.9585714903,2.2592906433088,1.52653112853511,0.000334056378385575,0.00000536537850412246,2.32145661584826,0.000000700270106898722,5.10761850971917,0.000455369350605999,0.00000606564861102119,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"8",8,54291.5398828459,2.72262278392115,1.83694818874317,0.00041393729195316,0.00000730198071495219,2.96631384803132,0.00000109415637726277,6.52630715412468,0.000581860033797459,0.00000839613709221497,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"9",9,54289.8322495656,3.2793264581862,2.21156103673438,0.000508700710793595,0.0000096492745212359,3.74253296789504,0.00000162156428445427,8.23394043436522,0.000734117486907399,0.0000112708388056902,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"10",10,54287.7762574139,3.9491945473706,2.66296655767728,0.000621589566478605,0.000012482197235194,4.67713509883578,0.00000231042269237165,10.2899325860701,0.000917441965029919,0.0000147926199275657,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"11",11,54285.3006522905,4.75559361119718,3.20663787518644,0.000756461567341464,0.0000158926052459953,5.80253067514049,0.00000319385853384162,12.7655377095552,0.0011381908429382,0.0000190864637798369,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"12",12,54282.3197660904,5.7264687626637,3.86131984581088,0.000917933686180547,0.0000199924090105544,7.15769306366301,0.00000431134789718513,15.7464239095807,0.00140400882433534,0.0000243037569077396,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"13",13,54278.7305197749,6.89538202383915,4.64962000896242,0.0011115454627291,0.0000249174480377811,8.78952601930267,0.00000571008738674267,19.3356702251024,0.00172409617121958,0.0000306275354245238,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"14",14,54274.4088731423,8.3026874330423,5.59876218456633,0.00134395038358491,0.0000308321893519818,10.7544850108517,0.00000744662797162431,23.6573168576612,0.00210952673005703,0.0000382788173236061,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"15",15,54269.2055491502,9.99692476830694,6.74151361459205,0.00162314560377023,0.0000379354421935909,13.1205317969958,0.0000095888438891646,28.8606408497846,0.00257363132542534,0.0000475242860827555,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"16",16,54262.9409061296,12.0364736977515,8.11730797447818,0.00195874751501751,0.0000464672655968457,15.9694847650972,0.0000122182978084683,35.1252838704053,0.00313245878312379,0.000058685563405314,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"17",17,54256.5718993697,13.5089004168325,9.60553459235759,0.00235806688338884,0.0000567103440633125,19.3774254109058,0.0000154329279296194,41.4942906302512,0.00380093232324748,0.0000721432719929319,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"18",18,54249.1167872273,15.4142291308303,11.1652304852173,0.00281777073140352,0.0000689380185033803,23.3670370994001,0.0000193484554973796,48.9494027726531,0.00458350021141872,0.0000882864740007599,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"19",19,54240.4841082203,17.6920911064562,12.89902343255,0.00333990978969052,0.0000833984483108209,27.9875198357566,0.000024096683353638,57.5820817796843,0.00548981242297969,0.000107495131664459,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"20",20,54230.5253734068,20.3479978182175,14.8700836144663,0.00393190771311964,0.000100355438894142,33.3186730721125,0.0000298252455279018,67.5408165931938,0.00653552140156052,0.000130180684422044,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"21",21,54219.0524426564,23.4183826860465,17.1289682924125,0.00460424152753161,0.000120111796032545,39.4616353123841,0.0000366993969056363,79.0137473435636,0.00774046538629523,0.000156811192938181,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"22",22,54205.8420574832,26.9571699790513,19.7249017292032,0.00536965166677643,0.000143022583504221,46.5365032294057,0.0000449048982699635,92.2241325168087,0.00912820130226012,0.000187927481774184,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"23",23,54190.6348662619,31.0311049459976,22.7108412551656,0.00624298698249726,0.00016950497286617,54.6829103933296,0.0000546515898865767,107.431323738038,0.0107261182375522,0.000224156562752746,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"24",24,54173.1318421955,35.7186715934125,26.1461491424964,0.00724132577375174,0.000200047553240668,64.0620195177178,0.0000661775683173922,124.934347804522,0.0125658282049129,0.00026622512155806,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"25",25,54152.9891995937,41.1106047539029,30.0983438987245,0.00838423534878603,0.000235220243521711,74.8593425440641,0.0000797539536915897,145.076990406237,0.014683719293052,0.000314974197213301,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
"26",26,54129.8122380415,47.3111120342662,34.6446075550039,0.00969411233965638,0.000275685455507274,87.288166881133,0.0000956903134156373,168.253951958512,0.0171216277181146,0.000371375768922911,"Malawi","Blantyre","TA Kapeni",149,54299.06619,1,"Pediatrics",105171.556255
