"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,982.7019162,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"2",2,971.831200149786,9.15956341100905,2.16266070269147,0.0536823075884406,0.00214030242160941,0.492600458335988,6.88681673663e-05,10.8707160502139,0.0616173230657541,0.00225579044929797,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"3",3,933.896504222898,38.5007557244727,8.79287467924129,0.233177474959461,0.0127748334749495,2.26514135968402,0.000687905269682694,48.805411977102,0.282172346346392,0.0139284117662036,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"4",4,789.377031098009,148.473752336104,35.3353986587582,0.960520519027037,0.0566639353407327,9.49490660365121,0.00364304911075448,193.324885101991,1.18133256410552,0.0627731229765208,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"5",5,427.763981054158,399.455251703089,116.798828831737,3.56490202119828,0.227140065620775,35.8758482827286,0.0159642414677056,554.937935145842,4.45806533748667,0.25391119706156,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"6",6,87.2458694924202,534.180707072158,246.902144112655,9.93146984563724,0.759435952333076,104.621584298419,0.0607054263784931,895.45604670758,12.9609698673866,0.861235524334985,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"7",7,6.68277081645588,413.394889913941,325.936466303373,18.8883201091135,1.90648652344566,216.705299172547,0.187683361124137,976.019145383545,26.7017330955466,2.22122092157329,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"8",8,0.363370518760296,277.246354078856,329.776156165421,26.780930257892,3.6346674111707,345.441220878738,0.459216889161828,982.338545681241,42.2751642945555,4.40474820232191,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"9",9,0.0233346610528823,183.026047962098,293.629613535824,31.635838728931,5.65623842410042,468.810939639402,0.919903248591394,982.678581538948,56.9587134944988,7.19886422506088,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
"10",10,0.00221028851009888,120.674115313882,243.85124414868,33.3271611831636,7.64617658941741,576.61862605148,1.58238262486711,982.699705911491,69.5577513530837,10.2997428941884,"Malawi","Nkhata Bay","STA Nyaluwanga",102,983.7019162,"Elderly",11007.0091022,57
