"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,24222.94438,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"2",2,24222.2069502968,0.607706200128556,0.794509242990342,0.00768323078044255,0.0000694610571401681,0.327461255214048,0.000000312987111054034,0.737429703157639,0.00819304514152984,0.000070963278102396,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"3",3,24221.5422434497,0.965637514065199,0.799119481914639,0.0137233846550446,0.000247285205058055,0.623406610753444,0.00000227375242666523,1.40213655034581,0.0155783332743812,0.000258198365496995,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"4",4,24220.8277269965,1.25280081374281,0.901655428814495,0.0195831371642491,0.000513367798050569,0.942093122072356,0.00000713391332842868,2.11665300350529,0.0235172617554203,0.000547607911352973,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"5",5,24220.0003798462,1.54323781711197,1.06244387431998,0.0259384065141807,0.000865710672603063,1.31149832821612,0.0000160170021773383,2.94400015383703,0.0327101346313859,0.000942586286879374,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"6",6,24219.0168389978,1.87166024324986,1.27041639521111,0.0331830427403105,0.00131101274810955,1.75094022526698,0.0000300829816856189,3.92754100219806,0.0436389255307938,0.00145539979824163,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"7",7,24217.8374097539,2.25891312724963,1.52636642197632,0.04162747422702,0.00186133026631054,2.27815127650277,0.0000506158309394393,5.10697024605298,0.0567449507714122,0.00210426730611944,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"8",8,24216.4191217453,2.72202860882571,1.83668113158806,0.0515805048235286,0.00253313798395355,2.91235578586614,0.0000790856081520479,6.52525825469555,0.0725060619116856,0.00291271929634834,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"9",9,24214.7121030897,3.27840487108581,2.21113747775871,0.0633872324414488,0.00334739257957925,3.67588273071919,0.000117205733621885,8.23227691031837,0.0914769950758511,0.00390993622346015,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"10",10,24212.6570449728,3.94778155779171,2.66230577208536,0.0774513068409353,0.00433007387072405,4.59529932220026,0.000166994423753074,10.2873350272127,0.114317635287827,0.00513158458818526,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"11",11,24210.182848474,4.75344719334416,3.20562008267623,0.0942527591301471,0.00551302243660004,5.70246762308626,0.00023084533347231,12.7615315260069,0.14181929947359,0.00662099361728779,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"12",12,24207.2040732866,5.72323274310027,3.85976799598558,0.114365900554257,0.00693502302351475,7.03569344015078,0.000311610618755934,15.7403067134332,0.174933282769031,0.00843063733801968,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"13",13,24203.6179740809,6.89053350837234,4.64727322715289,0.138479516719661,0.00864314272727627,8.64106382429978,0.000412699854568177,19.3264059191265,0.21480407734962,0.0106239475295982,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"14",14,24199.3009987688,8.29546036204785,5.59523705271402,0.167420488537703,0.010694351936485,10.5740307781575,0.000538197821062012,23.6433812312146,0.262808699995677,0.013277499996167,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"15",15,24194.1045834131,9.98619863448462,6.73624786508873,0.202182086586814,0.0131574936714627,12.9013175007064,0.000693006365442668,28.8397965869035,0.320604026184104,0.0164836647895622,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"16",16,24187.850141928,12.0206121624291,8.10947349428079,0.24395767828798,0.0161156501638016,15.7031960728929,0.000883013944846569,35.0942380719994,0.390183345331471,0.0203537865312095,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"17",17,24181.4936569673,13.4875939743664,9.59426976843439,0.293652577288959,0.0196666377339658,19.0544247830344,0.00111529185368726,41.450723032712,0.473398531684896,0.0250196211075262,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"18",18,24174.0560276598,15.3850623614269,11.1494937068838,0.35084581944942,0.0239049261363293,22.9776473356534,0.00139819062008807,48.8883523401702,0.57079524916189,0.0306157176817487,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"19",19,24165.4473954687,17.6520727267924,12.8772469279442,0.41578454504561,0.0289161641711962,27.5212229486326,0.00174121871488285,57.4969845313012,0.683563822166712,0.0372733621545626,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"20",20,24155.5215260246,20.293203005791,14.8400925784302,0.489381552280061,0.0347912798017763,32.7632305368161,0.00215502224781414,67.4228539753672,0.813637387051277,0.0451345798304311,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"21",21,24144.0933418086,23.3435721855777,17.0878179963829,0.572925497540168,0.0416345224403486,38.8024364773949,0.00265151199623957,78.8510381913325,0.963464249899963,0.0543607873939941,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"22",22,24130.9436935572,26.8553340143167,19.668628464662,0.6679812308493,0.0495679850460887,45.7559306792109,0.0032440687086693,92.0006864427939,1.13594778880214,0.0651383003880171,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"23",23,24115.8187228769,30.8928711487401,22.6341244847429,0.776368585279747,0.0587349233152172,53.7596101840425,0.00394779696820522,107.125657123089,1.33445784257431,0.0776828708530109,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"24",24,24098.4267259311,35.5315242177972,26.0418645358364,0.900174927112748,0.0693028607687713,62.9700077056915,0.00477982169597089,124.517654068903,1.56287579236459,0.092244215520467,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"25",25,24078.433670718,40.8578537970308,29.9569685833735,1.04178407293537,0.0814668530297802,73.566876351046,0.00575962456926282,144.510709281985,1.82565853016076,0.109110894771216,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"26",26,24055.4578096556,46.9705409704793,34.4534332686815,1.20391435520761,0.0954531427212193,85.7563191805852,0.00690942672689762,167.486570344402,2.12791597811674,0.128615804375779,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"27",27,24029.063520314,53.9816254134379,39.6153758309903,1.38966364935288,0.111523312862961,99.7744168552414,0.00825462410040154,193.880859685986,2.4755009653351,0.151142418318053,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"28",28,23998.7546696413,62.0178653509289,45.5382739305785,1.60255868045667,0.129978858265406,115.891209272678,0.009824265818216,224.189710358726,2.87510787245035,0.177131656350036,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"29",29,23963.9670495536,71.2222478562573,52.3303174569832,1.84661191905423,0.151166561301859,134.415335035588,0.011651617221283,258.977330446406,3.33438756164326,0.207089962028238,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"30",30,23924.0602530438,81.7555262761435,60.1137920237069,2.12638363558391,0.175484513176362,155.699165713924,0.0137747936680636,298.884126956203,3.86207454361301,0.241598366008328,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"31",31,23878.3093475304,93.7976392351987,69.0264600579283,2.44704651228685,0.203388610036866,180.144260603552,0.0162374506011241,344.635032469604,4.46812205336064,0.28132229421959,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"32",32,23825.895691093,107.549072521959,79.2230287335881,2.81445833229694,0.235400132576974,208.207639586488,0.0190896000932676,397.048688907002,5.1638573483619,0.327023066582402,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"33",33,23765.8974508155,123.232017844904,90.8765286868282,3.23523923463596,0.272114176011998,240.408640705973,0.0223885361772845,457.04692918453,5.96215143292284,0.379570768220702,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"34",34,23697.2809737662,141.091028706105,104.179383280688,3.71684545041867,0.314208226015168,277.335740767335,0.026199803245346,525.663406233808,6.87758779745702,0.439957473352735,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"35",35,23618.8917306374,161.393077786977,119.344506290227,4.26764969447497,0.362452238007754,319.654364987697,0.030598365195784,604.05264936258,7.92665553563916,0.509312936048047,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"36",36,23529.4466076592,184.426778449866,136.605849891012,4.89701624616748,0.417719114026972,368.114738767478,0.0356698722072389,693.497772340757,9.12794337336758,0.588921147137059,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"37",37,23427.5277152322,210.500665602944,156.218184944129,5.6153716817776,0.480995750691582,423.559934717828,0.0415120704596139,795.41666476783,10.5023383811908,0.680238148309502,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"38",38,23311.5789404429,239.939570160593,178.456310322858,6.43426048109055,0.553394563043527,486.933667667045,0.0482363624556441,911.365439557086,12.0732181726521,0.784911044915459,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"39",39,23179.9062447483,273.078953480377,203.613135209522,7.36638054305541,0.636165123822289,559.287531378713,0.0559695161702124,1043.03813525166,13.8666289728002,0.904797848516595,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"40",40,23030.6827128043,310.257312289784,231.995820538501,8.42559495896095,0.730705383225836,641.787378499365,0.0648555258462046,1192.26166719568,15.9114421593426,1.0419876277706,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"41",41,22861.9605854087,351.805043463286,263.920350665879,9.62689877442959,0.838572101744779,735.71787197232,0.0750576136517132,1360.98379459131,18.239464996285,1.19882054847055,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"42",42,22671.6920935957,398.029224806947,299.704085560431,10.9863265375223,0.961489750127381,842.484399393425,0.0867603558020762,1551.25228640425,20.885485432973,1.37790697809983,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"43",43,22457.7600516999,449.195522583093,339.654571240309,12.5207996403124,1.10135660594081,963.61190632012,0.1001719103206,1765.1843283001,23.8872400610422,1.58214427481078,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"44",44,22218.0217695211,505.504917817608,384.05532080975,14.2478741695809,1.26024703227717,1100.73872434511,0.115526304585852,2004.92261047892,27.2852572137834,1.81473004550139,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"45",45,21950.3669996784,567.065138854079,433.149011344046,16.1853734409575,1.44040891692662,1255.60436205448,0.133085711081635,2272.57738032157,31.1225495739944,2.07917050773641,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"46",46,21652.7908168551,633.860199873296,487.114640605556,18.3509073219285,1.64425339170076,1430.03041929769,0.153142654706255,2570.15356314488,35.4441357498205,2.37928080332872,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"47",47,21557.6839298039,510.535938616899,511.66454693128,20.6512943595982,1.87384581394363,1621.35880376174,0.176020712657186,2665.26045019612,40.1828296450924,2.7186793390349,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"48",48,21462.6112110465,426.362001154364,496.242833933998,22.6958214900326,2.12662499432394,1813.70384141371,0.202045967017211,2760.33316895345,44.9407618895017,3.0963699974479,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"49",49,21372.7380261089,364.661573388457,462.999989465455,24.2721366182186,2.39473424396002,1996.64644756189,0.231472613101767,2850.20635389108,49.4579013940486,3.5057161320388,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"50",50,21290.1540547948,316.580549376974,423.151713935411,25.3340121194074,2.66879840618563,2165.79081191552,0.26443945164269,2932.79032520515,53.6254535894364,3.93800877769229,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"51",51,21215.4245611898,277.328280534484,382.266533852322,25.9115434475633,2.93996891974923,2319.77252682862,0.300965227465673,3007.51981881021,57.4105904476883,4.3844893413028,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"52",52,21148.3837972612,244.236132777351,343.001462156946,26.0659599160618,3.20074956286755,2458.71531654369,0.340961781906657,3074.56058273883,60.8176470876648,4.83723847250293,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"53",53,21088.5388984062,215.751685084843,306.521399634151,25.8673118841434,3.44522729795588,2583.43560409916,0.38425359350632,3134.40548159376,63.868141188011,5.28950069641197,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"54",54,21035.2728550603,190.917574557006,273.234382137225,25.3839194131249,3.66902371004833,2695.03602685002,0.430598272206211,3187.67152493963,66.5905794372711,5.73573421652536,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
"55",55,20987.9445673659,169.100326536618,243.172569535165,24.6777883407125,3.86912800375797,2794.70029468772,0.47970553008572,3234.99981263406,69.0153279638933,6.17153496411036,"Malawi","Kasungu","Kasungu Boma",13,24223.94438,1,"Adults",56791.390596
