"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,11008.78772,0,1,0,0,0,0,0,0,0,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"2",2,11008.0503424172,0.607662353384704,0.794501928649184,0.0352436959704741,0.000643654992425907,0.299317656253601,0.00000829356994482658,0.737377582820334,0.0375822655771826,0.000657575203624532,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"3",3,11007.3857176807,0.965538442263043,0.799091621004738,0.0629498624204213,0.00229143707181456,0.572070706508185,0.0000602500075651512,1.40200231927577,0.0714586603235067,0.00239256274334143,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"4",4,11006.6713363539,1.25261940532168,0.901591800590862,0.0898274542973953,0.00475702117741783,0.867398930767625,0.000189033960112606,2.1163836461151,0.107873464727985,0.00507430223563346,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"5",5,11005.8442103174,1.54292793795352,1.06232234336302,0.118976360177551,0.00802184782909789,1.21083677851433,0.000424414759389916,2.9435096825969,0.150038259556179,0.00873420006412142,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"6",6,11004.8610242941,1.87115038574524,1.27020308085717,0.152202286405156,0.0121479251729403,1.62019490264433,0.000797125044155449,3.926695705869,0.200162720348093,0.0134858470859614,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"7",7,11003.6821540583,2.25809537730369,1.52600961068394,0.190927788452761,0.0172468692998995,2.11194511544079,0.0013411805540868,5.10556594173516,0.260269392312631,0.0194979525719497,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"8",8,11002.2647336955,2.72074170546655,1.83610264934834,0.236567245351691,0.0234711865358564,2.70400799478904,0.00209552304421426,6.52298630453569,0.332547468231417,0.0269883840203056,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"9",9,11000.5590458675,3.27640914664086,2.21022010164084,0.290700455406604,0.0310148340841418,3.4172240590436,0.00310553572211084,8.22867413253816,0.419537423819163,0.0362272713607603,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"10",10,10998.5060097606,3.94472225197363,2.66087480849599,0.355174235529955,0.0401181956118669,4.27639608033537,0.00442466741528418,10.2817102393621,0.524260006824903,0.0475447085989371,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"11",11,10996.0348619005,4.74880096690455,3.20341639378985,0.432183478066023,0.0510757849889904,5.31126517682028,0.0061162989532271,12.7528580995229,0.650335831701856,0.0613415901548296,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"12",12,10993.060654058,5.71622984336949,3.85640871632675,0.524352195216856,0.0642462018295948,6.55757304909705,0.00825593621433492,15.7270659420541,0.802114919979665,0.0781032472889637,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"13",13,10989.4813613217,6.88004457690956,4.64219449794802,0.634824603141698,0.0800644081426831,8.05829677286776,0.0109338193452984,19.306358678355,0.984827019172161,0.0984161041561838,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"14",14,10985.174483951,8.27983226317142,5.58761074671881,0.767371231777201,0.0990565696343831,9.86510721121153,0.0142580265358552,23.6132360490492,1.20475902026451,0.122987728589461,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"15",15,10979.9929950473,9.96301533746413,6.7248602949099,0.926515379462926,0.121858033379881,12.0401177017804,0.0183582057199694,28.7947249527172,1.46946762220233,0.152671073186604,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"16",16,10973.7605399502,11.9863480776754,8.09255219658989,1.11768340080591,0.149234934632819,14.6579713983927,0.0233900416819028,35.0271800497785,1.78803312582275,0.188493579863131,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
"17",17,10967.4310800682,13.4415870461359,9.56994484227782,1.34496750382342,0.18208814342162,17.7885120302633,0.0295403658729769,41.356639931795,2.16886676751773,0.231669702939664,"Malawi","Mchinji","TA Mkanda",187,11009.78772,1,"Elderly",133854.91084
