"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,34930.95388,0,1,0,0,0,0,0,0,0,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"2",2,34930.2164369848,0.607717398997818,0.794511111125537,0.00768774192968736,0.0000721376300625712,0.32745430773129,0.000000317746576797399,0.737443015160972,0.00819785542388719,0.0000736977365219332,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"3",3,34929.5517091648,0.965662818785923,0.799126597954563,0.013731474689461,0.00025681424751472,0.623390821172159,0.00000230832997210542,1.40217083517959,0.0155875137850899,0.000268147935311196,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"4",4,34928.8371581956,1.25284715078316,0.901671680798766,0.0195947590363542,0.000533151280474569,0.942067820108623,0.00000724240881156023,2.11672180441619,0.0235312038744999,0.000568710841437078,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"5",5,34928.0097545611,1.54331697381178,1.06247491716096,0.0259539440987072,0.000899074819415722,1.31146426836862,0.0000162606217175268,2.9441254388812,0.0327296843358864,0.000978912976070141,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"6",6,34927.0261230644,1.87179049227813,1.27047088531723,0.0332031624578522,0.00136154382917168,1.75090031116041,0.0000305406115003767,3.92775693565429,0.0436652776803837,0.00151149542189957,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"7",7,34925.8465509945,2.25912204899684,1.52645757374927,0.0416531032695112,0.00193308204177292,2.27811181149105,0.000051385953549148,5.10732900550199,0.056779660439205,0.00218538234618696,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"8",8,34924.428041276,2.72235742646142,1.83682892413635,0.0516128706044703,0.00263080349883094,2.91232841007624,0.0000802891783234327,6.52583872395564,0.0725511184159244,0.00302501597778748,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"9",9,34922.7206825009,3.27891486720335,2.2113718761179,0.063427943322999,0.00347647917350839,3.67588734330143,0.000118989949469647,8.23319749906865,0.0915349448756292,0.00406070887831847,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"10",10,34920.6651075249,3.94856347033301,2.66267144360265,0.0775024737674885,0.0044971001751342,4.59536844973179,0.00016953746832659,10.2887724750784,0.114391758380942,0.00532951354715566,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"11",11,34918.1901315722,4.75463492912457,3.20618330429271,0.0943171684780799,0.00572574931181409,5.70265291438079,0.000234362244558772,12.7637484278325,0.141913855318962,0.00687644637125041,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"12",12,34915.2101883214,5.72502334870059,3.86062672584344,0.114447256716566,0.00720272865005954,7.03607525818473,0.000316360499970466,15.7436916785954,0.175053851507999,0.00875602959972052,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"13",13,34911.6223478461,6.89321624218263,4.64857179324177,0.13858278313733,0.0089769528008349,8.64176538784728,0.00041899470705279,19.3315321539169,0.214958035566743,0.011034178264914,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"14",14,34907.3027881488,8.2994589337997,5.59718754893743,0.167552368565875,0.0111076374964237,10.5752389490961,0.000546413338444379,23.651091851234,0.263005887185988,0.0137904767181101,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"15",15,34902.1025508564,9.99213275658989,6.73916131085755,0.202351706704128,0.0136663525142373,12.9033134218011,0.000703595147882517,28.8513291436147,0.320857686926998,0.0171209399595245,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"16",16,34895.8424635594,12.0293837328068,8.11380973538308,0.244177695527647,0.0167395005252225,15.7064092539894,0.000896522359508947,35.1114164405916,0.390511691280943,0.021141342830275,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"17",17,34889.4790393179,13.4993890805495,9.60050236224601,0.293939291924221,0.0204288048570829,19.0594487648784,0.00113237769030309,41.4748406821456,0.473825059245336,0.0259886751376233,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"18",18,34882.0317408667,15.4012003192282,11.1582030598263,0.35121834678997,0.0248325871067199,22.9852651736897,0.00141964672013271,48.922139133361,0.571348575738966,0.0318029218949475,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"19",19,34873.4098083218,17.6742110370696,12.8892964048881,0.416266894637275,0.0300400492325386,27.5324892994506,0.00176799289829203,57.5440716781764,0.684280115687622,0.0387207317076493,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"20",20,34863.4657652658,20.3235091155284,14.8566846319689,0.490005039714151,0.0361459641390299,32.7795817445284,0.00218823831310842,67.4881147341921,0.814563560394083,0.0468900129382737,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"21",21,34852.0128423351,23.3849396833262,17.1105795880382,0.573731591186025,0.0432590585249711,38.8258352497661,0.00269249405950874,78.941037664901,0.964661886794572,0.0564789566474671,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"22",22,34838.8296232668,26.9116337584014,19.6997475193363,0.669024944895671,0.0515067530302731,45.7890493872168,0.00329437029619019,92.1242567331766,1.13749799785714,0.067681808102208,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"23",23,34823.6592229992,30.9692713842399,22.6765401888634,0.777722870581897,0.0610386682592634,53.8060746522602,0.00400923662634603,107.294657000831,1.33646762644891,0.0807236512444978,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"24",24,34806.2058981585,35.6349288341478,26.0995067247996,0.901936592593725,0.0720299181311404,63.0347252456683,0.00485452617904887,124.74798184152,1.56548654580431,0.0958651950534321,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"25",25,34786.1302480477,40.9974589360651,30.03509033597,1.04408143549587,0.0846846013339458,73.6564665619991,0.00585008149557102,144.823631952359,1.82905713683389,0.113407963269184,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"26",26,34763.0433493863,47.1585925565883,34.5590476886323,1.20691777662741,0.0992397516543892,85.8797142886134,0.00701855157538862,167.910530613691,2.13235017724354,0.133700194182181,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"27",27,34736.5002150127,54.2343649267571,39.7578006762778,1.39359799523558,0.115969703143282,99.9435458565014,0.00838582935579055,194.453664987271,2.48129687272765,0.157143353783171,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"28",28,34705.9921284564,62.3568425152384,45.7299136637895,1.60772220592792,0.135191265496063,116.122100325133,0.00998156805647899,224.961751543642,2.88269796076407,0.18419984634823,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"29",29,34670.9383007807,71.6759986390985,52.5876348771832,1.85339946909545,0.157269476883006,134.729437003744,0.0118397532599781,260.015579219264,3.34434418248852,0.21540157613115,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"30",30,34630.6766094678,82.3617328711187,60.4585750482107,2.13531626785312,0.182624162862682,156.12502282682,0.0139993553198451,300.277270532185,3.87515233048378,0.251359709541193,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"31",31,34584.4534413829,94.605985778228,69.4875228176032,2.45881225523876,0.211737357307413,180.719875338809,0.0165050699690979,346.500438617156,4.48531753088993,0.292775732387786,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"32",32,34531.412147447,108.625013429292,79.8384631202599,2.82996735842716,0.245162031012132,208.983718417598,0.0194081963944897,399.541732552985,5.18649060568299,0.34045448975329,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"33",33,34470.5816999833,124.661483010271,91.6964408217924,3.25568892657246,0.283531093795974,241.452268611721,0.0227675525695336,460.372180016723,5.99195863785099,0.395317682295532,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"34",34,34400.8638324341,142.986569975948,105.269665048862,3.74381210203549,0.327568075727831,278.735781786077,0.0266505772815931,530.090047565932,6.91685672712384,0.458419958324984,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"35",35,34321.0198914789,163.901697525532,120.791605196664,4.30320454340735,0.378098853748778,321.528247840211,0.0311345615225543,609.933988521085,7.97839572982971,0.530966686442104,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"36",36,34229.6574880268,187.740036230766,138.522778282103,4.94387716341768,0.436064441873878,370.617327829382,0.0363080257055205,701.296391973247,9.19610833129475,0.614333507746404,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"37",37,34125.2174467062,214.867166783014,158.752358302518,5.67709702650346,0.502535085034183,426.89500381339,0.0422722833273021,805.736433293786,10.5921126376493,0.710088107117428,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"38",38,34005.9618242948,245.680698068481,181.799408352607,6.51549721792916,0.578725270000451,491.368583635228,0.0491431609614671,924.992055705207,12.1913843998272,0.820013669146096,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"39",39,33869.9633294957,280.608616839074,208.013279934508,7.47318553451101,0.666010129416782,565.172405094012,0.0570529728132055,1060.99055050434,14.0220463531138,0.946134977051071,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"40",40,33715.0981233884,320.105737312095,237.773103591621,8.56583470588866,0.765941916408695,649.578986472778,0.0661526128022746,1215.85575661159,16.1156435699167,1.09074515922163,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"41",41,33539.0425289439,364.64745310328,271.485895152985,9.81075659230456,0.880267779425654,746.01036445033,0.0766139778010977,1391.91135105613,18.5074230431502,1.2564353619363,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"42",42,33339.2760929752,414.720564522613,309.582744046402,11.2269394715458,1.01094684660845,856.047959606573,0.0886325310955381,1591.67778702484,21.2365763449748,1.44612442008683,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"43",43,33113.0927448224,470.810124517057,352.512612621554,12.8350388074947,1.16016674214561,981.440762381303,0.102430108016574,1817.86113517757,24.3464400657001,1.66308914892798,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"44",44,32857.6226444203,533.381457463255,400.73325511089,14.6573005915598,1.33035836222541,1124.11060613746,0.118257914316152,2073.33123557971,27.8846233294052,1.91099384177913,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"45",45,32569.8681927541,602.856368675452,454.698006972847,16.717393446199,1.52420779408783,1286.15331060552,0.136399751844619,2361.08568724595,31.9030320218732,2.19391802685567,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"46",46,32246.7544591426,679.584122391891,514.839058722969,19.0401379274629,1.74466325202415,1469.834263359,0.157175204041212,2684.19942085739,36.4577543606115,2.51637904373382,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"47",47,32142.5652956384,549.229110948635,543.842020212974,21.5306049738472,1.99437870487879,1672.61152783478,0.180941686484835,2788.3885843616,41.4843779889224,2.88278573886816,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"48",48,32037.7938863197,460.758103725188,529.721466360293,23.7663831815122,2.27084987701301,1877.4351265862,0.208063950099583,2893.15999368031,46.5555536869248,3.29242473010014,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"49",49,31938.2321096469,396.112937934693,496.246955780778,25.5151205217008,2.5655769922167,2073.04234682338,0.238832300385422,2992.72177035315,51.3899625435686,3.73822161451634,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"50",50,31846.2754171157,345.75977863017,455.427174908447,26.7231818525465,2.86827994671682,2254.62663352966,0.273414016779592,3084.67846288432,55.8684986158708,4.21071761499087,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"51",51,31762.6320753416,304.577491240927,413.219190713641,27.4191409890343,3.16918749651796,2420.62494699765,0.31184722061501,3168.32180465838,59.9533976660644,4.70032865976576,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"52",52,31687.1963180168,269.739944541647,372.471546376241,27.6653476100799,3.45996749082691,2571.066701692,0.354054272453178,3243.75756198324,63.6466981707884,5.19834139554761,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"53",53,31619.4927215968,239.622078169124,334.445246815648,27.5340623931228,3.73399518637904,2706.72591357531,0.399862263676983,3311.46115840326,66.9689300512514,5.69728211366937,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"54",54,31558.8997939984,213.234903602218,299.598311468417,27.0961770089181,3.98631078286205,2828.68935844725,0.449024691977219,3372.05408600164,69.9482773803176,6.19098071015878,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"55",55,31504.760622896,189.932624610364,267.990502935276,26.4162968749711,4.21344471067467,2938.13914634789,0.501241624885058,3426.19325710406,72.6151370861925,6.67449497458644,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"56",56,31456.4357869131,169.260197727086,239.491566358025,25.5509998090029,4.41319871580015,3036.24595318054,0.55617729648464,3474.51809308693,74.9994603639869,7.14397807317922,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
"57",57,31413.3269215413,150.873424930249,213.887832271481,24.5486335325926,4.58442504944694,3124.11916780488,0.61347487007347,3517.62695845872,77.1295235042411,7.59653022176532,"Malawi","Mzimba","TA Mzikubola",207,34931.95388,1,"Adults",102128.21308
