"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,3069.016187,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"2",2,3068.2790564931,0.607454499724807,0.794467253955615,0.00781971627743307,0.0000754000380889735,0.327313309887117,0.000000327020809263108,0.73713050690387,0.00833859160198466,0.0000770307057083504,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"3",3,3067.61482091599,0.965068868994327,0.79895955621765,0.0139664259363445,0.000268421379735804,0.623100435812065,0.00000237566738546438,1.40136608400751,0.0158542949674061,0.00028026748790432,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"4",4,3066.90107984876,1.25175975421905,0.901290236415231,0.0199281839337114,0.000557222214920596,0.941564300971313,0.00000745348240815282,2.11510715123663,0.0239319578706838,0.000594388511591312,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"5",5,3066.07500118037,1.54145987284907,1.06174645962242,0.0263921376276305,0.000939604180168811,1.31063101146112,0.0000167338855429956,2.94118581962595,0.0332833328722082,0.00102304659278717,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"6",6,3065.09349526089,1.86873568684404,1.26919251944691,0.0337579624894813,0.00142279405004179,1.74955134837766,0.0000314279012507623,3.92269173910938,0.0443974510306649,0.00157950719936728,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"7",7,3063.91727073169,2.25422401718683,1.52431975781348,0.0423398105590731,0.00201981032582993,2.27595999699034,0.0000528754299100622,5.09891626830546,0.0577211615152927,0.0022834701571699,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"8",8,3062.50395451883,2.71465224724442,1.8333640029482,0.0524492608884052,0.00274843187268104,2.90893592849299,0.0000826097246758619,6.51223248117137,0.0737373005102571,0.00316035979671168,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"9",9,3060.80455748878,3.2669712403352,2.20587909177908,0.0644334810513962,0.0036312487268428,3.67059203264014,0.000122416688849024,8.2116295112215,0.0930051866628816,0.00424167144283833,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"10",10,3058.76107139098,3.93026509885312,2.65410738951252,0.0786972501531348,0.00469622314394107,4.58717524913074,0.000174398226182528,10.2551156090196,0.116188551123398,0.0055658483551117,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"11",11,3056.30430764006,4.72686405243997,3.1930018622418,0.0957201867897112,0.00597756009113752,5.69007465356599,0.00024104480837703,12.711879359937,0.144081066525708,0.00717951407298059,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"12",12,3053.35162282303,5.68320162497186,3.840546502706,0.116073634789417,0.00751682745484145,7.01690026657871,0.00032532047100098,15.6645641769718,0.1776336332729,0.00913901645002228,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
"13",13,3049.80435677049,6.8306395634202,4.61823810817259,0.140439275449386,0.00936432645830998,8.61271819252626,0.000430763484167161,19.2118302295109,0.217985604210453,0.0115123000592077,"Malawi","Kasungu","STA Chisikwa",50,3070.016187,1,"Adults",9199.474452
