"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2182.06142,0,1,0,0,0,0,0,0,0,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"2",2,2181.32442867183,0.607337416020292,0.79444772075226,0.0365425108535943,0.000708730166732843,0.297945814420186,0.00000913595181312085,0.736991328164878,0.0389672900150205,0.000724057813268686,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"3",3,2180.66041224724,0.964804411661951,0.798885170610651,0.0652652399653994,0.00252302320617741,0.569463538959723,0.0000663683520859178,1.40100775275599,0.0740874202767991,0.00263437128054864,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"4",4,2179.94703161861,1.25127573768532,0.901120411323725,0.093120742643431,0.00523749528878095,0.863425771076007,0.000208223377179449,2.11438838139444,0.111830363740761,0.00558683757858184,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"5",5,2179.1215423407,1.54063357060963,1.06142223124905,0.123318455716832,0.00883135439673868,1.20520457093401,0.000467476389301581,2.93987765929556,0.155520075839417,0.00961565284813553,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"6",6,2178.14098142009,1.86737713106738,1.26862374111281,0.157723572777717,0.0133723331667441,1.61246385443327,0.00087794735230025,3.92043857991022,0.207438595874475,0.0148452904423956,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"7",7,2176.96624413124,2.25204702325473,1.52336902504541,0.197800284621891,0.0189825010288775,2.10149998728228,0.00147704752683281,5.09517586876002,0.269669105196371,0.0214605857288669,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"8",8,2175.55523333351,2.71123008257204,1.83182395782832,0.244998771587634,0.0258285163986087,2.68999776212369,0.00230757598003088,6.50618666649032,0.344460369046932,0.0297000023368027,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"9",9,2173.85936690444,3.26167136671926,2.20343944532354,0.300932612046014,0.0341220260353243,3.39846827643149,0.00341936900116462,8.2020530955568,0.434414749698494,0.0398587987873653,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"10",10,2171.82123480048,3.92215425375554,2.65030691126863,0.367480350444339,0.0441248242568772,4.25124780069492,0.00487105909780585,10.2401851995181,0.542616934987708,0.0522971388261315,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"11",11,2169.37252455982,4.71457091214069,3.18715851471661,0.446864047568938,0.0561568678647245,5.27741301161966,0.0067320862682844,12.6888954401789,0.672750629901808,0.0674514807173092,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"12",12,2166.43187103692,5.66471876071922,3.83165640474181,0.541725364439319,0.0706065652817874,6.51175681843232,0.00908504947052872,15.629548963085,0.829222309244976,0.0858488115078374,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"13",13,2162.90247319189,6.80303865405803,4.60482955686021,0.655208445333885,0.0879433058240149,7.99589836137165,0.0120284846593751,19.1589468081072,1.01730166804045,0.108123837091259,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"14",14,2158.66942395968,8.16536131553255,5.5316059745271,0.79105331048043,0.10873237309949,9.77956292275963,0.0156801439269075,23.3919960403261,1.24328338119162,0.135039397113958,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"15",15,2153.59671254309,9.79368067570645,6.64142124853197,0.953702631995255,0.133652614951304,11.9220693949924,0.0201808907333073,28.4647074569107,1.51467493921886,0.167510670057764,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"16",16,2147.52389435681,11.7369403699181,7.968886638136,1.14842367596125,0.163517339683907,14.4940582740578,0.0256993454338702,34.537525643191,1.84041467009701,0.206633863399277,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"17",17,2141.38974883138,13.1079034687395,9.39272312452465,1.37901483239309,0.199274923519507,17.5603177635529,0.0324370558892741,40.671671168619,2.22860935460585,0.253695495946361,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"18",18,2134.26080978291,14.8677355762525,10.8688924713985,1.6430291801187,0.241825905514158,21.1384962557886,0.0406308280217577,47.8006102170943,2.68115835917264,0.309993402794707,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"19",19,2126.07423449707,16.9460954015979,12.4905489335813,1.94095400508835,0.291964754631444,25.26707378445,0.0505486235785343,55.9871855029276,3.20271509095697,0.37677161996237,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"20",20,2116.72123462201,19.332462267156,14.3101853551883,2.27612894599752,0.350514042781581,30.0084065640992,0.0624882027649979,65.3401853779877,3.80104684585013,0.455352280135945,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"21",21,2106.06672898884,22.0411883581622,16.364961170491,2.65332540393573,0.418396077024435,35.4400403194268,0.0767796821160404,75.9946910111564,4.4858684768308,0.547211536287137,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"22",22,2093.95743668676,25.0970146381147,18.6867607004964,3.07818178278448,0.496666818726056,41.6515694155332,0.0937899575894174,88.1039833132444,5.26841607654448,0.654020901579001,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"23",23,2080.22563853424,28.5286985867427,21.3059781000348,3.5569751578246,0.58653434903259,48.7436672282929,0.113928043828427,101.835781465756,6.16131048313993,0.7776746726729,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"24",24,2064.69166534103,32.3656697202653,24.2526753417976,4.09651353132003,0.689370652490293,56.8278744294246,0.137650983673538,117.369754658971,7.17852220033351,0.920311627904479,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"25",25,2047.16639654704,36.635735716511,27.5564896743583,4.70406125197346,0.806719484788342,66.0265472145026,0.165470110823003,134.895023452957,8.33535835173054,1.08433340207053,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
"26",26,2027.45446648814,41.3629121475146,31.2458896919034,5.38725309947343,0.940300989344857,76.4726400369497,0.197957546678846,154.606953511865,9.6484287282915,1.27242000295857,"Malawi","Ntchisi","TA Kasakula",153,2183.06142,1,"Elderly",22903.683496
