"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,18287.61907,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"2",2,18286.0942479868,1.2623497876492,0.911267250411615,0.00825342386497145,0.0000765626610799546,0.342874656679481,0.000000331930873899058,1.52482201319722,0.00878808127832685,0.0000782025209469741,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"3",3,18284.3735654893,2.30053203743498,1.19741574093505,0.0166337087959972,0.000290693589906493,0.730629821578201,0.0000025083526415648,3.24550451068678,0.018705854953246,0.000303085768979553,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"4",4,18281.9444311989,3.60749835897882,1.75997965046451,0.0278951209824892,0.000662815001322522,1.27859450781606,0.00000834782207457851,5.67463880106528,0.0327086348254437,0.000704056294234864,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"5",5,18278.3153556769,5.50786675688037,2.65251154523178,0.0443697419921458,0.00125495354110613,2.09769112465201,0.0000202008469337188,9.30371432314435,0.0536319599466974,0.00135475311014677,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"6",6,18272.8287447089,8.36440561913849,4.0180984256517,0.0690276797541633,0.00217128390667062,3.33658082306693,0.000041459605419536,14.7903252911234,0.0852727387564864,0.00237610951457908,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"7",7,18264.5153529239,12.6868232170386,6.09238275234991,0.106195966998592,0.00357340183572398,5.21466456280583,0.0000771750457156164,23.1037170760744,0.13323340979078,0.00395467477583294,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"8",8,18251.9168628339,19.2336107147641,9.23778314273236,0.162375134997509,0.00570787168596214,8.06259535810907,0.000134943789678418,35.7022071660786,0.205956810020875,0.00637454334080932,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"9",9,18232.8326032061,29.1454563569442,14.003891627148,0.247388404679036,0.00894923915895176,12.3805549302819,0.000226235688828893,54.7864667939009,0.316214276808973,0.0100669261708289,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
"10",10,18203.9459125345,44.1372524478242,21.2204456888553,0.376085366166424,0.0138654220479567,18.9251401424163,0.000368398219290595,83.6731574655294,0.483324094267804,0.0156854439332358,"Malawi","Blantyre","TA Chigaru",114,18288.61907,1,"Adults",54548.756165
