"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,27914.96513,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"2",2,27913.3329155447,1.35203602013609,0.926862277390588,0.00817505742563071,7.36429201592893e-05,0.345067133724596,3.23724670809051e-07,1.63221445532173,0.00870301856558013,7.5218280433852e-05,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"3",3,27911.4413995867,2.50618883889598,1.25475389611637,0.0167263653783816,0.000281935881502108,0.745776918151035,2.45889498354901e-06,3.52373041331825,0.0187892774769241,0.000293901745786482,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"4",4,27908.6916335736,4.01898677864818,1.89640873075207,0.0286049128950374,0.000650611142731337,1.32883714654928,8.24637178068192e-06,6.27349642635909,0.0334532605810802,0.000690740943404528,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"5",5,27904.4714992882,6.28799377299048,2.93377989195304,0.0464978217458065,0.00125017871127771,2.2240888937905,2.01526155746368e-05,10.4936307118067,0.0559612506277253,0.00134824856157819,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"6",6,27897.9244733255,9.79185861191603,4.5590857914324,0.0740150843319708,0.00219999381364149,3.61345534409946,4.18489248021036e-05,17.0406566745183,0.0908864021335438,0.00240364568083354,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"7",7,27887.7480054298,15.2325465077128,7.09034062809309,0.116598187389448,0.00368909769967718,5.77387119250569,7.89568204873754e-05,27.2171245702212,0.145189108083218,0.00407332988714293,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"8",8,27871.3125250701,24.2086825124825,11.1103928216838,0.182906514681814,0.00601405608878994,9.1444688622638,0.000140162706499903,43.6526049299072,0.229907066410596,0.00669613805444088,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"9",9,27845.4809653325,38.2341839404775,17.5068498323438,0.287265800498651,0.00964927928958769,14.4459768077468,0.000239007180042141,69.4841646675364,0.363158432074623,0.0108123738904182,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"10",10,27804.8045859068,60.2837180349085,27.6051351070863,0.451924626311464,0.015352296313387,22.8040172175994,0.000396810998938381,110.160544093218,0.573237181296473,0.0172833208555535,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"11",11,27740.796826582,94.9403893047784,43.5105067478477,0.711629740284527,0.0243194816650012,35.980810909439,0.00064723395580306,174.16830341797,0.904437204272775,0.0274691540695541,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"12",12,27640.2542840776,149.29358072838,68.5167341708388,1.12082077931043,0.0384337019895698,56.7402331608231,0.00104338101252088,274.710845922355,1.42622799816473,0.0435111679554799,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"13",13,27482.7848598462,234.215438132399,107.732016740305,1.76456005097067,0.0606514436302601,89.4059348638784,0.00166892260506816,432.180270153788,2.24728155693911,0.0687730191863441,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"14",14,27237.2890081239,366.10386216356,168.991292350322,2.77500999278237,0.0956009395174855,140.707700970785,0.00265545906955972,677.676121876036,3.53674123599413,0.108523355095071,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"15",15,26843.1285947791,581.019627718595,266.026880460749,4.36147368281176,0.150517242152758,221.273826643877,0.004209472702677,1071.83653522089,5.56174619787765,0.171002045044302,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"16",16,26233.7321718265,908.352021948891,418.584464057932,6.86183597531662,0.236874076173762,348.191106697959,0.0066554172376111,1681.23295817351,8.75179842566219,0.26926172182514,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"17",17,25306.4460669066,1398.16434922806,653.106595880245,10.7766189458853,0.372638450506732,547.08835643781,0.0105041508345853,2608.51906309334,13.7509808929885,0.423755413268527,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"18",18,23934.2213885146,2104.53134260099,1004.55762686757,16.82299305503,0.58514115411672,855.230083902974,0.0165539046691673,3980.74374148534,21.4955656984405,0.665698387334471,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"19",19,21987.7770135716,3065.13160925325,1512.03716581006,25.9698437045721,0.914620541903334,1324.10884426378,0.0260328548228532,5927.18811642839,33.278824505893,1.04130574392667,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"20",20,19391.0682712267,4259.43802732209,2205.69029169184,39.3938001738963,1.41757276982186,2018.91637937178,0.0407874438273409,8523.89685877325,50.7370055029338,1.61605909014452,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"21",21,16206.8649660373,5555.85301994114,3081.86303330798,58.270304057039,2.16783400376822,3010.88247044269,0.0635022100725564,11708.1001639627,75.655506683827,2.47685851785677,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"22",22,12594.0862162836,6783.99267248235,4090.0333395561,83.389353996341,3.25226240419701,4361.11338349571,0.0979017817033226,15320.8789137164,109.56121175394,3.72868756301754,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
"23",23,9107.95538065766,7502.16138214664,5089.27747245955,114.638572087869,4.75932277434282,6097.02414601941,0.148853854515821,18807.0097493423,153.128949009222,5.4836989812402,"Malawi","Chiradzulu","TA Likoswe",168,27915.96513,"Adults",74443.663293,53
