"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,13870.32508,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"2",2,12366.988632784,1399.04548970076,98.0576199906287,0.177109511524005,0.00059915144033711,7.05562748740015,0.0000013742990596375,1503.33644721605,0.181270266603041,0.000605922469775054,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"3",3,15.1449057122272,10757.200482449,2668.97852131695,10.377120218597,0.0571734992307857,419.566691251273,0.000185552708018813,13855.1801742878,10.7759974637342,0.058087698246986,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"4",4,-0.000000413436729680332,7333.10424080506,4636.98968660206,43.9993850630104,0.515261752802113,1856.71331377727,0.00319241323413643,13870.3250804135,47.6455960757191,0.53099044288222,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"5",5,-0.0000000272423708001851,4991.73602261226,5076.35163413478,83.6756939175307,1.61547568651857,3717.93024056209,0.0160131140510779,13870.3250800273,95.3106168932341,1.6943706445502,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"6",6,0.000000341493042389651,3397.93812149481,4762.43093611585,118.754030848593,3.3179051732799,5588.83734539191,0.0467406340534887,13870.3250796585,143.118790896323,3.54819144678417,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"7",7,0.000000306482107311023,2313.02106707324,4131.46447248251,145.161862257684,5.46173553583885,7276.11388133936,0.102061004880895,13870.3250796935,186.119502770113,5.96457955924738,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"8",8,0.000000469056222077982,1574.5039666749,3417.91428277411,162.244288355427,7.85796461123591,8708.61820273738,0.18637437788674,13870.325079531,222.508876814424,8.77621190995884,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"9",9,-0.0000000105424109451394,1071.78457239048,2738.84052561786,170.955908506723,10.3337816045386,9879.10853553445,0.301756356470977,13870.3250800106,252.125075282668,11.8205039874315,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"10",10,-0.00000000734874257087074,729.577632880498,2144.96899206579,172.863578099187,12.7502016524799,10810.7163797827,0.448295526684304,13870.3250800074,275.583567824206,14.9589073827149,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"11",11,-0.000000107226601452163,496.633056543766,1651.11944474846,169.626363296528,15.0056479986719,11538.3160121226,0.624555397185459,13870.3250801073,293.797312741982,18.0827678950392,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"12",12,0.0000000882799742420741,338.064118427916,1253.96236565077,162.748758814429,17.0328226068158,12098.6889807395,0.828033672274323,13870.3250799118,307.724024017327,21.1124589357944,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"13",13,0.0000000868511719328717,230.124407294165,942.097169662425,153.485394706101,18.7928970747586,12525.7696495709,1.05556160475583,13870.3250799132,318.244499133561,23.9935400128759,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"14",14,0.000000560761417779586,156.648560279376,701.546607210556,142.825364592109,20.2691523277642,12848.7317702891,1.30362474031678,13870.3250794393,326.114123727245,26.6919766983529,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"15",15,0.00000114832583436397,106.632630289744,518.564010582402,131.5145422153,21.4611195972716,13091.5841708007,1.5686053662096,13870.3250788517,331.953157891986,29.1894761268347,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
"16",16,-0.0000000147875254902283,72.5861545087529,380.910701642173,120.093010305855,22.3796263390012,13273.5086310453,1.84695617374843,13870.3250800148,336.256021660864,31.4793885307483,"Malawi","Lilongwe","TA Chitukula",126,13871.32508,1,"Adults",40030.476291
