"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2980.027253,0,1,0,0,0,0,0,0,0,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"2",2,2769.00258025615,191.314098882371,18.7201845437532,0.221188962128231,0.0020824756030542,1.76709966421222,0.0000182157807209809,211.024672743849,0.228415521617586,0.00211304162984545,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"3",3,417.824651084596,2145.74052275949,364.220246920166,5.87008486163574,0.0688600951597444,47.3021195039375,0.000767775013513435,2562.20260191541,6.10999103226146,0.0701484193876309,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"4",4,0.0309563509195695,1762.85370440647,907.170430538972,33.2199470414595,0.701067292128498,277.039064676755,0.0120826932956746,2979.99629664908,35.6869220968791,0.721342016151758,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"5",5,0.0000000129249589713791,1200.01811013849,1079.06682363287,71.5656464853115,2.51428712188933,627.794444587582,0.0679410209422018,2980.02725298708,80.5543516343029,2.62829195638718,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"6",6,0.0000000023736975681285,816.867493923193,1048.71321491867,107.749841534047,5.5629010385435,1001.91895858442,0.214842998761299,2980.02725299763,128.007773128119,5.92340696231584,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"7",7,-0.0000000881102567978832,556.051696638488,927.738595438543,136.222368902628,9.57963950351398,1350.94055607967,0.49439652526953,2980.02725308811,171.821742806328,10.40923542742,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"8",8,-0.0000001149490754432,378.511640573311,777.103840649959,155.552851727748,14.1985993526301,1654.72438772595,0.935933085354352,2980.02725311495,209.482827470284,15.7690923334121,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"9",9,0.0000000250917399769577,257.657524815356,628.083373115442,166.323560647272,19.0659757089817,1908.34166017283,1.55515851502739,2980.02725297491,240.453423590933,21.6755271502891,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"10",10,0.000000190960880682548,175.390574504081,495.002293898592,169.953503733412,23.8875170287233,2114.43773775185,2.35562589238743,2980.02725280904,265.166595038387,27.8402503888673,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"11",11,0.000000401965167750651,119.390432990625,382.873819684188,168.072142546568,28.4421218905561,2278.91745345571,3.33128203039422,2980.02725259804,284.460903478524,34.0320033976921,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"12",12,0.000000720641362640527,81.2704678831114,291.8849660776,162.211677059671,32.5786659531377,2408.61230880038,4.46916650545943,2980.02725227936,299.277330514487,40.0779142825333,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"13",13,0.000000929171363789993,55.3217602668871,219.967388892444,153.677742340375,36.205619977344,2510.10290320428,5.75183738950033,2980.02725207083,310.508388802928,45.8571862999399,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"14",14,-0.000000167193327324677,37.658192766484,164.218464244425,143.515563268758,39.2786101369344,2589.19706223466,7.1593605159334,2980.02725316719,318.93314911913,51.2919961504267,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"15",15,-0.000000022482687250738,25.634393501329,121.644930048914,132.523445226054,41.7884830854465,2650.76516127275,8.67083988799186,2980.02725302248,325.198696395354,56.3381270660516,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"16",16,-0.0000000135531696182608,17.4496598669399,89.5166071128846,121.286503786933,43.7509960762514,2698.75795475686,10.2655314136878,2980.02725301355,329.82499124154,60.9765277744808,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"17",17,-0.00000000658145363783957,11.8782034737815,65.5036028827629,110.216076169318,45.1984550289625,2736.30730633711,11.9236091146497,2980.02725300658,333.22008080682,65.2062362615867,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"18",18,-0.00000000072248841501246,8.08563514913418,47.6989908547792,99.5874967153912,46.1732434992475,2765.85523150009,13.6266552820805,2980.02725300072,335.69855633442,69.038731221524,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"19",19,-0.000000000606199133732074,5.5039912508234,34.5862137639304,89.5730631470791,46.7229994006012,2789.28304407793,15.3579413602497,2980.02725300061,337.499635814086,72.4935801001827,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"20",20,-0.000000000692140546242833,3.74663545047895,24.9842771626619,80.2692119218417,46.897149584128,2808.02742344035,17.1025554412327,2980.02725300069,338.803219327138,75.5951876107681,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"21",21,-0.000000000522818213466427,2.55038083204302,17.988023169205,71.7180940862603,46.744515282295,2823.17881826005,18.8474213706782,2980.02725300052,339.743385208878,78.3704332369774,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"22",22,-0.000000000354691788324707,1.73607430456588,12.9123918383349,63.9241940621315,46.3117365247465,2835.56161162846,20.5812446421184,2980.02725300036,340.419309871551,80.8470048596242,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"23",23,-0.000000000314870607816778,1.1817668902043,9.24414898623258,56.8668362196835,45.6423045779008,2845.797784806,22.2944115203022,2980.02725300032,340.903886438091,83.052261925484,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"24",24,-0.000000000289159169536282,0.804442985256012,6.60200639630287,50.5093976328616,44.776034564835,2854.35651059952,23.9788608215202,2980.02725300029,341.250398051818,85.0124929149385,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"25",25,-0.000000000269878737741795,0.547593996726143,4.70468001916438,44.8059541916551,43.7488488344551,2861.59223381567,25.6279421426032,2980.02725300027,341.497609532215,86.7524608198197,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"26",26,-0.000000000257198939150792,0.37275390661188,3.34590011872374,39.7059717925931,42.5927721668859,2867.77358476287,27.2362702525793,2980.02725300026,341.673606563038,88.2951540184267,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"27",27,-0.00000000024856369404226,0.253738084342921,2.37518673337618,35.1575349884504,41.3360661025421,2873.10514501169,28.7995820798475,2980.02725300025,341.798663034735,89.6616806294923,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"28",28,-0.000000000242609882561148,0.17272255560782,1.68325041957012,31.1095009063284,40.0034492400905,2877.74372943273,30.3146004459208,2980.02725300025,341.887366383736,90.8712601557632,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"29",29,-0.000000000238480175532293,0.117574303387587,1.19102992359082,27.5128743240063,38.616365808523,2881.81050163973,31.7789070010058,2980.02725300024,341.950181993237,91.9412788423491,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"30",30,-0.000000000235602610752158,0.0800342120198432,0.841530812481501,24.32162821988,37.1932762016617,2885.39995791652,33.190825637679,2980.02725300024,341.994598309448,92.8873845797157,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"31",31,-0.000000000233591692709109,0.0544802432337957,0.593794093288181,21.4931364704353,35.7499516112919,2888.58657373204,34.5493168499513,2980.02725300024,342.025960935087,93.7236042716381,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"32",32,-0.000000000232183941242299,0.037085366190861,0.418466399516519,18.988341051815,34.2997610836651,2891.42971614861,35.8538829504357,2980.02725300023,342.048077626604,94.4624718463875,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"33",33,-0.000000000231197497893353,0.0252444452939195,0.294564516785223,16.7717422355451,32.8539437216936,2893.97727435893,37.1044837219844,2980.02725300023,342.063655364598,95.1151589226195,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"34",34,-0.000000000230505995949567,0.0171841701719175,0.207122763457518,14.8112753261613,31.4218618641325,2896.26834701474,38.3014618615671,2980.02725300023,342.0746151027,95.6916028836027,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"35",35,-0.000000000230021242591352,0.0116974806560152,0.145489974255987,13.0781186488204,30.0112332150992,2898.33523621262,39.4454774687792,2980.02725300023,342.08231768159,96.2006290786456,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"36",36,-0.00000000022968149917531,0.00796260799605937,0.102099241823956,11.5464642439761,28.6283413490003,2900.20493478348,40.5374507739587,2980.02725300023,342.087725779178,96.6500652259711,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"37",37,-0.000000000229443482903647,0.00542025283951276,0.071584904298068,10.1932718152521,27.2782250142808,2901.90023870082,41.5785123127398,2980.02725300023,342.09151933938,97.0468471095135,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"38",38,-0.000000000229276816413259,0.00368962898044908,0.0501477684942718,8.99802081803152,25.9648471605749,2903.44058785702,42.5699597671363,2980.02725300023,342.094178053362,97.3971151855316,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"39",39,-0.000000000229160176741485,0.00251156905743023,0.0351021177110715,7.94246916647526,24.6912450516192,2904.84270434651,43.5132207488599,2980.02725300023,342.096039873716,97.7063022460404,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"40",40,-0.000000000229078597196499,0.00170965947388459,0.0245520004990085,7.01042450022636,23.4596629320724,2906.12108306275,44.4098208452103,2980.02725300023,342.097342623433,97.9792124667272,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"41",41,-0.000000000229021573378753,0.00116378756966746,0.0171604449663946,6.18753097447346,22.2716688444754,2907.28837264958,45.2613562991655,2980.02725300023,342.098253516399,98.2200923811826,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"42",42,-0.000000000228981738275135,0.000792205040704107,0.0119860083339272,5.46107296549359,21.1282570955107,2908.35567394854,46.0694707773133,2980.02725300023,342.098889973221,98.432694363818,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"43",43,-0.000000000228953927371443,0.000539263588773685,0.00836641996521149,4.81979615961678,20.0299378830994,2909.33277756902,46.8358357049414,2980.02725300023,342.099334381715,98.6203332593004,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"44",44,-0.000000000228934522645445,0.000367083791059061,0.00583630928950965,4.25374560290491,18.9768154443407,2910.22835483354,47.562133726363,2980.02725300023,342.099644494456,98.7859367769667,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"45",45,-0.000000000228920990782906,0.000249877589491328,0.00406894217269932,3.75411987078599,17.9686560466133,2911.05011338703,48.2500448760414,2980.02725300023,342.099860766617,98.9320902771134,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"46",46,-0.000000000228911886775897,0.00017010327502828,0.00283527279649666,3.31314041896551,17.0049469077491,2911.80492517025,48.9012351271988,2980.02725300023,342.100011496388,99.061076475768,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"47",47,-0.000000000228910141302789,0.000115792756578353,0.00197456449468318,2.92393461451281,16.0849473353952,2912.49893375432,49.5173469387577,2980.02725300023,342.100116503232,99.1749107218475,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"48",48,-0.00000000022890847163821,0.0000788210832965021,0.00137443222294059,2.58043181269267,15.2077326277197,2913.1376436709,50.0999916356126,2980.02725300023,342.100189616782,99.2753721119821,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"49",49,-0.000000000228907645554546,0.0000536542525318464,0.000956231237710405,2.27727081075584,14.3722319601583,2913.72599706988,50.6507432739463,2980.02725300023,342.100240497326,99.3640310832794,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
"50",50,-0.000000000228907084051484,0.0000365238789192745,0.000664986863755604,2.00971775683011,13.5772608273278,2914.26843907515,51.1711338301856,2980.02725300023,342.100275886171,99.4422737823221,"Malawi","Neno","TA Dambe",130,2981.027253,1,"Elderly",34861.077623
