"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,31822.0106,0,1,0,0,0,0,0,0,0,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"2",2,31821.302838074,0.583148857390394,0.790020468673718,0.0000627507308343788,0.000000203976410019225,0.334529640790765,0.00000000441304737239755,0.707761925975168,0.0000669185199822113,0.000000208389457391623,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"3",3,31820.6710389286,0.921385580828088,0.784895209706398,0.000111529675352763,0.000000724309456826384,0.63316799490364,0.0000000320095845157953,1.33956107143252,0.000126656056179607,0.00000075631904134218,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"4",4,31820.0007331356,1.18559901677091,0.874089102064208,0.000158070794084156,0.00000149804985994113,0.950019076512015,0.000000100197891389604,2.00986686438897,0.00019003574911077,0.00000159824775133073,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"5",5,31819.2343969374,1.44632794151254,1.01738972464009,0.000207720545136362,0.0000025145198786775,1.31227493707767,0.000000224306828999565,2.77620306260214,0.000262497079289903,0.00000273882670767707,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"6",6,31818.3341813329,1.73584651623724,1.20247376244312,0.000263469526818008,0.00000378765697936857,1.73783071136312,0.000000419850563705796,3.67641866707784,0.000347619677679495,0.00000420750754307436,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"7",7,31817.2669425292,2.07246168114181,1.42850190013091,0.000327547711417493,0.00000534585813207627,2.24236029222627,0.000000703695191959261,4.74365747076374,0.000448538777898203,0.00000604955332403553,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"8",8,31815.9978571018,2.47014019009603,1.69985725874938,0.000402076829345046,0.00000722877278553577,2.84233504886839,0.00000109484024031955,6.01274289815617,0.000568549089862152,0.00000832361302585532,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"9",9,31814.4872685098,2.94246391301512,2.02385134654572,0.000489361927294956,0.00000948696368780293,3.55651576662363,0.00000161510225361797,7.52333149017771,0.000711403246123374,0.0000111020659414209,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
"10",10,31812.6886685671,3.5044132359291,2.41000288828534,0.000592049107618082,0.0000121828758890561,4.40690878688549,0.00000228982181694789,9.32193143290525,0.000881503061738162,0.000014472697706004,"Malawi","Karonga","Karonga Town",12,31823.0106,1,"Pediatrics",60963.428481
