"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,38849.11816,0,1,0,0,0,0,0,0,0,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"2",2,37269.6950956875,1472.41015234472,100.68350438975,0.177134517312249,0.000587980390977596,7.15168372701872,0.00000135334370423332,1579.42306431254,0.181268210998731,0.000594603351517288,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"3",3,681.770112678984,31802.9195495579,5651.51399900369,17.1015219093676,0.0786804535721746,696.734068283894,0.000228112586329633,38167.348047321,17.6562706627824,0.0797967854050581,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"4",4,0.000000607443778074128,22126.0841059262,12343.3839934802,100.954406326574,1.03421470768582,4278.65566795199,0.00577099997098956,38849.1181593926,108.340625204357,1.06245668713485,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"5",5,0.000000228395698033816,15061.5095040725,14195.1563751792,210.449147409064,3.69036156539615,9379.27876020374,0.0340113417265107,38849.1181597716,237.261731411379,3.85680544321673,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"6",6,0.0000000139342684545212,10252.5513057785,13606.1169796588,311.15805321343,8.04850983784273,14672.1359804436,0.107331053969002,38849.1181599861,370.763021443786,8.57376394210073,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"7",7,0.0000000441021758932796,6979.04474280058,11946.0863963457,389.136784839968,13.7083030140343,19521.8967864542,0.245146501447506,38849.1181599559,492.77744660344,14.9079950068752,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"8",8,-0.000000205308323225785,4750.73205373157,9959.03779018436,441.226500036793,20.156109857205,23678.5048801449,0.46082625047074,38849.1181602053,597.030210910289,22.4112901657807,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"9",9,-0.0000000941436735207973,3233.8840792305,8023.03876802853,469.47349564465,26.9061350142979,27096.0544221561,0.761260020131637,38849.1181600941,682.424752181163,30.6315708056686,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"10",10,-0.0000000065482961914577,2201.34706939226,6308.05050308149,478.024580020886,33.5594499468398,29827.9889041649,1.14765340017482,38849.1181600065,750.375536185685,39.1758082738674,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"11",11,0.0000000158005858291677,1498.48691490368,4870.30818620134,471.486816803163,39.8192588559057,31968.4002150003,1.61676821982127,38849.1181599842,803.316128765314,47.7313598899668,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"12",12,-0.000000106931585497704,1020.03839806853,3707.6020045869,454.131621523424,45.4848221822214,33620.6991121785,2.162201567368,38849.1181601069,843.904562825475,56.0661516809617,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"13",13,0.000000119371514974826,694.352632963405,2790.86955907476,429.568662122902,50.4364494259181,34882.1153334576,2.7755228360701,38849.1181598806,874.631592794963,64.0192356485208,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"14",14,-0.000000000234123504135027,472.654696022406,2081.5698100344,400.671213498497,54.618122893737,35837.1571198316,3.44719771964102,38849.1181600002,897.656684960464,71.4879353429201,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"15",15,0.000000000584429617246327,321.741505638092,1540.69721165948,369.62370972359,58.0211091549921,36555.867328993,4.16729483026259,38849.1181599994,914.765676510867,78.4149153490567,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"16",16,-0.0000000290906753512157,219.013725777053,1133.0072900142,338.02024856765,60.669929327113,37094.4809693798,4.92599696327905,38849.1181600291,927.389139271541,84.776653586729,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"17",17,-0.00000000744641270198135,149.085298976543,828.592654463414,306.976389663246,62.6110209343372,37497.1388451177,5.71395085217331,38849.1181600074,936.647254130831,90.573814791735,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"18",18,-0.00000000107614714010913,101.48423649783,603.065686172037,277.23452999568,63.9040268673406,37797.9071920032,6.52248846500281,38849.118160001,943.402156076564,95.8236224506239,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"19",19,-0.000000000904495188286846,69.0816205061144,437.08414970279,249.255293434137,64.6153128003887,38022.7380312434,7.34375231414308,38849.1181600009,948.308519929856,100.553989455626,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"20",20,-0.000000000158834675030138,47.0247413866322,315.615055961245,223.292479167797,64.8133339583152,38191.2017996041,8.17074992209361,38849.1181600001,951.858151473078,104.799151415067,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"21",21,0.000000000142271566762489,32.0103105047557,227.154755257444,199.452319567879,64.565446932911,38317.9379689346,8.99735880232493,38849.1181599998,954.417250455947,108.59650284491,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"22",22,0.000000000202294471935092,21.7898116003431,163.007742592706,177.739016975447,63.9358237024491,38413.8274670405,9.81829808840837,38849.1181599998,956.256480384829,111.984372347599,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"23",23,0.000000000156869788785327,14.8325933507296,116.666231955757,158.088934501126,62.9841814380852,38486.9171397175,10.6290790366991,38849.1181599998,957.574644933721,115.000510189698,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"24",24,0.000000000125582875129999,10.096723313401,83.299502683396,140.395718293211,61.7651029366941,38543.1351695149,11.4259432582457,38849.1181599998,958.516984398092,117.681106455543,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"25",25,0.000000000111371850703212,6.87296157854509,59.3464386294739,124.528378136035,60.3277714229969,38586.8368151469,12.2057950859091,38849.1181599999,959.189111652429,120.060194869219,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"26",26,0.000000000101694157129777,4.6785082161134,42.197274775641,110.344022399075,58.715987003169,38621.2162351232,12.9661324827054,38849.1181599999,959.667510874971,122.169331129099,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"27",27,0.0000000000951672993103286,3.18471731096338,29.9490943014202,97.6965985865103,56.9683672999236,38648.6144030828,13.7049794182767,38849.1181599999,960.00737225408,124.037462608539,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
