"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,22167.98522,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"2",2,22167.2477943223,0.607702813694301,0.794508678082286,0.0000597614752191001,0.000000194073961663384,0.335154226206721,0.00000000419720054022379,0.737425677729688,0.0000637268984631723,0.000000198271162203608,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"3",3,22166.583093817,0.965629862220644,0.799117330098338,0.000106742742636162,0.000000690913797202092,0.637271526540103,0.0000000304913290742496,1.40212618300685,0.000121170845161689,0.000000721405126276342,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"4",4,22165.8685878009,1.25278680214217,0.901650514424368,0.000152320679172646,0.00000143434656333266,0.96204103184992,0.0000000956667145532908,2.11663219910891,0.000182920944730365,0.00000153001327788595,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"5",5,22165.0412577301,1.54321388171379,1.06243448746862,0.000201752611483048,0.00000241878838090791,1.33810951455802,0.000000214789997108624,2.94396226993029,0.000254424179043379,0.00000263357837801654,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"6",6,22164.0577442911,1.87162085928612,1.27039991851881,0.000258101851522432,0.00000366295445205396,1.78519276284842,0.000000403416273623561,3.9274757088756,0.000339429266035982,0.00000406637072567752,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"7",7,22162.8783582325,2.25884995611812,1.52633886003367,0.000323782779521419,0.00000520052749901591,2.32134328926798,0.000000678763596567002,5.10686176749039,0.000441368601433077,0.00000587929109558291,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"8",8,22161.4601372585,2.72192918787611,1.83663644391847,0.000401197044846922,0.00000707753431242503,2.96610777463227,0.00000106054518030933,6.52508274155119,0.000563958634701609,0.00000813807949273436,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"9",9,22159.7532214343,3.27825067476402,2.21106660526612,0.00049302845865872,0.00000935252228244957,3.7421773329691,0.00000157173747758857,8.23199856571766,0.000711513653859483,0.0000109242597600381,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"10",10,22157.6983195767,3.9475451580036,2.6621952118577,0.000602416053263171,0.0000120980706356115,4.67654329986784,0.00000223940387277661,10.2869004232569,0.000889165543430934,0.0000143374745083881,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"11",11,22155.2243587131,4.75308811720853,3.20544980027986,0.000733092667352468,0.0000154031293967997,5.80157177795311,0.00000309564179099224,12.76086128688,0.00110306809110831,0.000018498771187792,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"12",12,22152.245936615,5.72269144125757,3.85950838351613,0.000889524026782959,0.0000193760444669767,7.15617048142226,0.00000417869626690327,15.7392833849635,0.00136061884146056,0.00002355474073388,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"13",13,22148.660363727,6.88972257630078,4.64688066596869,0.00107706561518837,0.0000241482936175283,8.78714628252469,0.00000553428598125441,19.3248562729889,0.00167071720716402,0.0000296825795987827,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"14",14,22144.3441694792,8.29425179542999,5.59464745600555,0.00130214610692244,0.0000298790112191613,10.7508120271101,0.00000721718211097002,23.6410505208459,0.00204406997352507,0.0000370961933301313,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"15",15,22139.1489090752,9.98440524660056,6.73536726448513,0.00157248700690332,0.0000367604842445608,13.1149198730886,0.00000929310964775681,28.8363109247751,0.00249355888474967,0.0000460535938923176,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"16",16,22132.8961236211,12.0179756869949,8.10817459798564,0.00189736661740481,0.0000450248165938935,15.9609918614075,0.0000118410403366508,35.0890963788624,0.0030346837560157,0.0000568658569305443,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"17",17,22126.541718849,13.484053803629,9.59239885922475,0.00228381460133228,0.0000549450692646354,19.3646947727748,0.0000149557433683811,41.4435011510425,0.00368183085399259,0.0000699008126330162,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"18",18,22119.107001058,15.3802095346475,11.1468802070122,0.00272855109435122,0.0000667850810414649,23.3483151150051,0.0000187491877421549,48.878218942028,0.0044392364700236,0.0000855342687836194,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"19",19,22110.5023709313,17.6454138499549,12.8736261830597,0.00323348809049819,0.0000807839433108605,27.96047141487,0.0000233488425726143,57.4828490687609,0.00531614380816767,0.000104132785883474,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"20",20,22100.5819729951,20.2840828187722,14.8351039669106,0.00380570905406777,0.0000971954359246852,33.2801284173429,0.0000288974173799884,67.403247004933,0.00632756612016123,0.000126092853304673,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"21",21,22089.1612367364,23.3311184192062,17.0809727433999,0.00445521552618111,0.000116310460334591,39.4072850204188,0.0000355545625328942,78.823983263574,0.00749251598353079,0.000151865022867484,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"22",22,22076.0216951241,26.8383872828673,19.6592625528437,0.00519414986283638,0.000138469627028418,46.4604989211324,0.0000434996084371732,91.9635248759417,0.00883353457214819,0.000181969235465591,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"23",23,22060.9104017756,30.8698711591215,22.6213583274944,0.00603662699028798,0.000164072521704441,54.5773351033544,0.0000529349731698214,107.074818224455,0.0103767768877732,0.000217007494874262,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
"24",24,22043.5368634522,35.500399024264,26.0245136680662,0.00699883033765776,0.000193586274778004,63.9161873487713,0.0000640901115631346,124.448356547826,0.0121523580644805,0.000257676386341138,"Malawi","Lilongwe","TA Chitukula",126,22168.98522,1,"Pediatrics",40030.476291
