"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,1134.192546,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"2",2,1133.45599925478,0.606963416749057,0.794385321252552,0.0367832003759999,0.000718392887795294,0.297687156173155,0.00000925778429145603,0.736546745222851,0.0392239825303106,0.000733929586440731,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"3",3,1132.792682575,0.963959912668659,0.798647591937018,0.0656899278509856,0.00255732367349574,0.568941416954738,0.0000672519169050564,1.3998634250018,0.0745699990765655,0.00267018791113478,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"4",4,1132.08045223608,1.24973072845635,0.900578160933449,0.0937143184607398,0.00530835081379245,0.862551217770157,0.000210987482477589,2.11209376391697,0.112545517287252,0.00566243650319861,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"5",5,1131.25684279532,1.53799728901207,1.0603873534504,0.124081529144267,0.008949983771235,1.2038133929609,0.000473656337563962,2.93570320467644,0.156489474256089,0.00974488842083074,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"6",6,1130.27929372586,1.86304541524598,1.26680916171846,0.158660896315898,0.0135502444281625,1.61029706683588,0.000889489599127341,3.91325227414351,0.208688472519997,0.0150430132608352,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"7",7,1129.10929228366,2.24511106365658,1.52033769155672,0.198913827329962,0.0192318996653501,2.09816290595495,0.00149632817608756,5.08325371633966,0.271223394367859,0.0217430836824593,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"8",8,1127.70561467701,2.70033724217023,1.82691726478325,0.246281292306995,0.0261624090606632,2.68489568681845,0.00233742785072983,6.48693132299032,0.346333537869069,0.0300851524492466,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"9",9,1126.02096366994,3.24482116363153,2.19567360386416,0.302359474366955,0.0345540789735662,3.39071090161501,0.00346310761259293,8.17158233006381,0.436601979189681,0.0403659727982292,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"10",10,1123.99981165629,3.89640324183211,2.63822273942263,0.368997762415695,0.0446689267504402,4.23950917585625,0.0049324974302478,10.1927343437074,0.545079496587047,0.0529467958096577,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"11",11,1121.57659252759,4.67560847916842,3.16860400696528,0.448371682603876,0.0568262718974377,5.25972750689105,0.00681552488350844,12.6159534724096,0.675393835100389,0.0682642956072011,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"12",12,1118.67392962419,5.60626020728454,3.80347419621647,0.543050684347101,0.0714124032328989,6.48522366040494,0.00919522432745323,15.5186163758134,0.83186252986277,0.086844111820523,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"13",13,1115.20079026601,6.71596089676058,4.56240883832513,0.656068923425431,0.0888921699520077,7.95625446270734,0.0121704428173897,18.9917557339879,1.01961733911864,0.109316981816529,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"14",14,1111.05057042812,8.03648087745956,5.468243518882,0.791001310317704,0.109822509133838,9.72056835110518,0.0158590049810003,23.1419755718793,1.24474294384581,0.136437579592294,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"15",15,1106.09916418288,9.60403164595528,6.54741568354843,0.952045086899105,0.13486799506515,11.8346199941771,0.0204014114778183,28.0933818171229,1.5144308776148,0.169106271967427,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
"16",16,1100.20308532565,11.4593742831707,7.83026536819941,1.1441071850485,0.164818878241738,14.364929717453,0.0259652422313046,33.9894606743447,1.83715145158277,0.208394547225068,"Malawi","Machinga","TA Liwonde and Liwonde National Park",18,1135.192546,1,"Elderly",12313.590907
