"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,11300.2072,0,1,0,0,0,0,0,0,0,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"2",2,11298.6824755792,1.26226632389506,0.911254673244436,0.00815685756197592,0.0000747840420355016,0.342971455708213,0.000000326318939957382,1.52472442077066,0.00868526066639869,0.0000763858079929056,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"3",3,11296.9620457189,2.3002591419217,1.19735279286634,0.0164388310688806,0.000283938328667926,0.730817111023293,0.00000246593324023343,3.24515428114212,0.0184867222253365,0.00029604258445508,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"4",4,11294.5335602704,3.60675809709782,1.75978141368877,0.0275674871386758,0.000647402514747678,1.27887712255427,0.0000082065806825422,5.67363972957495,0.0323245884106364,0.000687685256428878,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"5",5,11290.9060987116,5.50598487368902,2.65197291472253,0.0438464906240459,0.0012257413298954,2.09805140922624,0.0000198587821266419,9.30110128837386,0.0529999387540677,0.00132321995363116,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"6",6,11285.4233984385,8.35978791170202,4.01672871355129,0.06820847691351,0.00212065766959724,3.33691504497233,0.0000407566816239513,14.7838015614904,0.0842621564731425,0.00232071551843227,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"7",7,11277.119316418,12.675740104531,6.08902356115042,0.104923396578936,0.00348986836629281,5.21463078724315,0.0000758640885322255,23.0878835819584,0.131640755529528,0.00386225408934119,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"8",8,11264.5427255029,19.2073953505544,9.22972537656626,0.160400585612107,0.00557391304325511,8.06124662638508,0.000132644915673712,35.6644744970768,0.203462458731015,0.00622501257911606,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"9",9,11245.5095434909,29.0840733758638,13.9848421671299,0.244313089912318,0.00873793819560012,12.3754675731738,0.000222364830630812,54.697656509106,0.312308764091958,0.00982943602859406,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"10",10,11216.7412052875,43.99460390526,21.1758659770525,0.371255225361757,0.0135350412132459,18.9103725098484,0.000362053777832017,83.4659947125138,0.477178329050877,0.0153122148463688,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"11",11,11173.3420344776,66.4475694753023,32.0323118290192,0.563195297754062,0.0208013857106553,28.8007100712008,0.000577463462608726,126.86516552245,0.726698078714308,0.0236359172158513,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"12",12,11108.0612674268,100.128504453642,48.3811348935066,0.853074869340147,0.0317981523490075,43.7505126868413,0.000907517485862116,192.145932573165,1.10385553147938,0.0362527838049467,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"13",13,11010.2959838276,150.359178347786,72.9071919277102,1.28999102718122,0.0484211326112026,66.3050227672057,0.00141096992120316,289.911216172415,1.67285703903081,0.0553470057676903,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"14",14,10864.8414337621,224.618151683603,109.489894924862,1.94645270073772,0.0735061681449675,100.235584447897,0.00217631267204356,435.365766237916,2.52883340643635,0.0841887952434797,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"15",15,10650.5484676944,332.964722435387,163.588787324106,2.92805747612544,0.1112643162235,151.062564395495,0.00333635827796083,649.658732305615,3.8110221535656,0.127641131838428,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"16",16,10339.3875114549,487.969155727592,242.573072552445,4.385353692551,0.167880908426859,226.719136280029,0.00508938405802109,960.819688545101,5.71949159235505,0.19286260924189,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"17",17,9966.28496014231,645.031858713413,346.076207510064,6.49580060002144,0.252154723679376,337.058489668728,0.00772864178428502,1333.92223985769,8.5025245139741,0.290091459158644,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"18",18,9467.85716681479,856.381938207545,476.056997627243,9.39662354833936,0.375060389953782,491.127739095785,0.0116743163348455,1832.3500331852,12.3875314374757,0.432364824944789,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"19",19,8830.100044041,1116.21729835726,640.446182801232,13.2717523904319,0.549653976671719,700.604769694231,0.0174987391604259,2470.10715595899,17.6681920778162,0.635548116583809,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"20",20,8048.17858535363,1412.68004032756,841.994531917247,18.3310713569767,0.79172797183592,979.205285484548,0.0259575882004172,3252.02861464637,24.6892954685906,0.919143135421499,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"21",21,7136.6111405048,1721.39660275912,1076.7693210998,24.7555962486578,1.11962651482869,1340.51688828539,0.0380245873947173,4163.59605949519,33.791817254285,1.30627363264892,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"22",22,6135.38530639894,2004.56401023767,1331.96026306687,32.6307304887659,1.55301328584469,1795.05895916956,0.0549173523421232,5164.82189360105,45.2385301499327,1.82258006448116,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"23",23,5107.40241516414,2217.64535333644,1585.34620578462,41.8736041659051,2.11046819660838,2346.75105321973,0.0781001325599945,6192.80478483585,59.124811071927,2.49382974350383,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"24",24,4125.05002137691,2322.93036025417,1808.32946688024,52.1794959620292,2.80607952638619,2989.8025268658,0.109249134463507,7175.15717862309,75.300311502315,3.34233875940025,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"25",25,3250.71332401817,2303.56624894719,1972.64767883858,63.0193803019728,3.64571335400998,3707.46468315757,0.150171382498899,8049.49387598183,93.3379431188883,4.3828431335271,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"26",26,2521.44001636794,2169.38151346478,2058.22143425117,73.7056976989714,4.62406672230171,4473.63179169486,0.202679799972454,8778.76718363206,112.575021554205,5.61893880631788,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"27",27,1945.28508714347,1951.06040407794,2058.3502769457,83.5110763147973,5.72356711818303,5257.00834678181,0.268441618102024,9354.92211285653,132.219227709227,7.04123701954532,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"28",28,1508.37663973019,1687.41899001813,1980.0054992322,91.7977494438402,6.91558552640028,6026.34390859062,0.348827458608942,9791.83056026981,151.481292136312,8.62783657833297,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"29",29,1185.99765398534,1413.5926607734,1839.95339452892,98.113785059027,8.16359730615203,6754.94131929134,0.444789055816438,10114.2095460147,169.688938125316,10.3468845156708,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"30",30,951.711449605405,1154.73765329169,1659.21575064356,102.233780580946,9.42736188983759,7423.32441916901,0.556784819553073,10348.4957503946,186.353962227939,12.1603904099595,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"31",31,782.392021228939,925.148967061565,1458.25889324036,104.147203419318,10.6670773546429,8019.9082782189,0.684759476267845,10517.8151787711,201.188622985742,14.0282810231733,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"32",32,659.875694557338,730.426314823371,1254.02464987468,104.01313974768,11.8467502056285,8540.19247858527,0.828172206034007,10640.3315054427,214.084655772614,15.911908196969,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"33",33,570.743128078632,570.462421603215,1058.78676577487,102.102442413767,12.9364289720357,8985.18995253809,0.986060619383859,10729.4640719214,225.073044094755,17.7765964850588,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"34",34,505.404656289224,442.032214474172,880.277558961343,98.7427395683451,13.9132972498019,9359.67960768232,1.15712577478838,10794.8025437108,234.279476208907,19.5931535116938,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"35",35,457.111277323926,340.606772190521,722.471636187241,94.2744405694932,14.7618276587125,9670.64142120839,1.33982486171566,10843.0959226761,241.884563128597,21.3384788719705,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"36",36,421.130023348862,261.448611994461,586.572120043526,89.020108074787,15.4732736865047,9926.03060152265,1.53246132919728,10879.0771766511,248.092755875283,22.9954983801342,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"37",37,394.128663617105,200.183746532348,471.937202652237,83.2661072593581,16.0447676202722,10133.9134465461,1.7332657725553,10906.0785363829,253.110501131414,24.5526590407805,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"38",38,373.74132912033,153.042011224169,376.832730087225,77.2539449054798,16.4782416492889,10301.9184790016,1.94046401189902,10926.4658708797,257.132428634223,26.0031843211226,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"39",39,358.270159250767,116.908905650722,298.986101725932,71.1784464167154,16.7793270910735,10436.931928703,2.15233116182205,10941.9370407492,260.333749485304,27.3442387830421,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"40",40,346.482610815992,89.2824665301415,235.961791956438,65.1902604215833,16.9563300381068,10544.9665081461,2.36723209162769,10953.724589184,262.867048578147,28.5761023324729,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"41",41,337.473867613514,68.1904864030822,185.395490882401,59.4007513873591,17.0193363980026,10631.1436176823,2.58364963330448,10962.7333323865,264.861944091648,29.7014137209652,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"42",42,330.572885973068,52.0984397238027,145.124842652187,53.8879130931209,16.9794675263044,10699.7434486899,2.80020234160405,10969.6343140269,266.426454812728,30.7245133554259,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"43",43,325.277579059631,39.8229177674964,113.249721182393,48.7024133343091,16.8482867067915,10754.2906282071,3.01565374231974,10974.9296209404,267.649253164624,31.6508951744363,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"44",44,321.209490487288,30.456729249486,88.1475937700607,43.8732436308856,16.6373445663608,10797.6538833676,3.22891492836329,10978.9977095127,268.602258447976,32.4867648062085,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"45",45,318.081659273299,23.3071010790026,68.4621941416349,39.4127124430957,16.3578453660331,10832.1466455419,3.43904215500868,10982.1255407267,269.343239951365,33.2386940556308,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"46",46,315.67549158518,17.8462143024231,53.0782977486428,35.3206769459743,16.0204143365529,10859.6208742283,3.64523085290794,10984.5317084148,269.918235966076,33.9133588522147,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"47",47,314.25931582656,13.3139491396386,41.0230334688451,31.5877957496109,15.6349454266141,10881.5413531746,3.84680721411037,10985.9478841734,270.363467595701,34.5173456975367,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"48",48,313.171306683261,9.95855077621583,31.5794386018676,28.1980823085115,15.2105058434062,10899.0460975682,4.04321821855296,10987.0358933167,270.706893164403,35.0570072499134,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"49",49,312.337634504784,7.46508221856073,24.2331677985262,25.1321600414388,14.7553000379078,10913.0498345898,4.23402080895712,10987.8695654952,270.970846631774,35.5383731736987,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"50",50,311.700197935969,5.60619448340216,18.5492279971168,22.3686900359397,14.276677140286,10924.287341477,4.41887093031764,10988.507002064,271.1731445631,35.9671037740257,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"51",51,311.213635998327,4.21663447943965,14.1700056277345,19.8853094753102,13.781156904977,10933.3429447279,4.59751278626699,10988.9935640017,271.327839227911,36.3484632057827,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"52",52,310.842752513737,3.17553258814077,10.8072603776888,17.6594087210605,13.2744691834441,10940.6780080969,4.76976851904745,10989.3644474863,271.44591831629,36.6873082895827,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"53",53,310.56036297524,2.39400889167548,8.2318866299201,15.668735957142,12.7616030041131,10946.6550740867,4.93552845517245,10989.6468370248,271.535917883373,36.9880897116481,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"54",54,310.345550080326,1.80640056121959,6.2636960462586,13.8918359034596,12.2468618726436,10951.5581135159,5.09474202022272,10989.8616499197,271.604435113411,37.2548627285383,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
"55",55,310.182265071591,1.36400323854181,4.76207927148525,12.3083505763489,11.7339220839327,10955.6091703783,5.24740937976056,10990.0249349284,271.656548620307,37.4913044478282,"Malawi","Mangochi","TA Namabvi",97,11301.2072,1,"Adults",37972.502637
