"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,11946.4686,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"2",2,11945.8188181404,0.535179941918249,0.781228425446363,0.0000613456729219452,0.000000199784820720469,0.333311942449246,0.00000000432561246079188,0.649781859597213,0.0000654278815855704,0.000000204110433181261,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"3",3,11945.2498892851,0.836168281685175,0.757262478758916,0.000107974635710691,0.000000705860689974728,0.625171242677475,0.0000000312797175438276,1.21871071489768,0.000122717443861062,0.000000737140407518555,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"4",4,11944.7060357501,1.02174452666111,0.814785473365285,0.000150816183711362,0.00000144889944868144,0.925881887313243,0.0000000974654596449325,1.76256424988826,0.000181743481877889,0.00000154636490832637,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"5",5,11944.1079520234,1.19377668189626,0.910073350167707,0.000194187750974912,0.00000240671622546148,1.25660113326221,0.000000216854455994403,2.36064797664783,0.00024665916460403,0.00000262357068145588,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"6",6,11943.4343833174,1.37401255285662,1.03087651385592,0.00024018715390276,0.00000357651954274608,1.6290834494818,0.000000402714656647235,3.03421668258244,0.000319771837890626,0.00000397923419939331,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"7",7,11942.6691418758,1.57320738291557,1.17366665267158,0.000290156235799188,0.0000049657104155942,2.0522882981984,0.000000668485456173239,3.79945812421722,0.000402840153234537,0.00000563419587176744,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"8",8,11941.7970241193,1.79793373392742,1.33865502763502,0.000345182087593996,0.00000658843425452847,2.53463432028656,0.00000102828996548403,4.67157588066081,0.000497516571994246,0.0000076167242200125,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"9",9,11940.8020094831,2.05337536081162,1.52780282294823,0.00040630943293013,0.00000846436808190228,3.08499606198324,0.00000149731149625981,5.66659051685559,0.000605543024493372,0.00000996167957816208,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"10",10,11939.6663542725,2.34450630124919,1.74404563293945,0.00047463753865457,0.0000106184683161051,3.71320644517577,0.00000209213194496338,6.80224572750332,0.00072884954387594,0.0000127106002610685,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"11",11,11938.444499137,2.61436074393792,1.98025136740016,0.000551096752458311,0.0000130806876137106,4.42892174321059,0.00000283104788379173,8.02410086303663,0.000869331462408356,0.0000159117354975023,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"12",12,11937.0621142766,2.93165295566017,2.23540859084262,0.000635954047536154,0.0000158824706096616,5.23876860610629,0.00000373429646165546,9.40648572342369,0.0010282893889625,0.0000196167670713171,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"13",13,11935.5037641696,3.29419369329327,2.51807251493436,0.000729901839064102,0.0000190559753800221,6.15181584025004,0.00000482409836905678,10.9648358303905,0.00120750331404568,0.0000238800737490789,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"14",14,11933.7494308048,3.70425693128509,2.83421433873818,0.00083404833880308,0.0000226369918017915,7.17983511504529,0.00000612477999760922,12.7191691951792,0.0014092837747911,0.0000287617717994007,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"15",15,11931.7755131749,4.16635090675315,3.18904145820597,0.000949760691400542,0.0000266666947807671,8.33671036965775,0.00000766306638626834,14.6930868250694,0.00163635591474125,0.0000343297611670354,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"16",16,11929.5550414712,4.68634203190807,3.58778095537665,0.00107861274396527,0.0000311926913053761,9.63831626761806,0.00000946845246515682,16.9135585287905,0.00189183561937593,0.0000406611437705329,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"17",17,11927.0575051219,5.2711471990148,4.03605246281357,0.00122237872952654,0.0000362699167290719,11.1026249939093,0.0000115736705514281,19.4110948780545,0.00217925047513653,0.0000478435872804999,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"18",18,11924.5211941398,5.70094386465872,4.50051217207341,0.00138202950473359,0.0000419595361202471,12.7445118194104,0.000014014994260544,21.9474058601776,0.00250152011234941,0.0000559745303807915,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"19",19,11921.7096400027,6.22209291559871,4.97025692657635,0.00155587593169488,0.0000483158393493304,14.5649891308827,0.0000168325095185428,24.7589599973383,0.00285884290905235,0.0000651483488678735,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"20",20,11918.6120968834,6.81471105615995,5.46882831999793,0.00174357470958339,0.0000553824849174522,16.5711447139247,0.0000200692727878442,27.8565031165498,0.00325260986368932,0.0000754517577052967,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
"21",21,11915.207641439,7.47354235512901,6.00870276543809,0.00194603532751656,0.0000632027321004023,18.7766804313581,0.0000237710165147504,31.2609585610013,0.00368551029981962,0.0000869737486151531,"Malawi","Rumphi","TA Mwalweni",92,11947.4686,"Pediatrics",21256.829151,1
