"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,54061.56649,0,1,0,0,0,0,0,0,0,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"2",2,54059.6524421245,1.58781301768456,0.96745000957015,0.0082351080327973,0.0000737910101831911,0.350475626556804,0.000000322701357623304,1.91404787555585,0.008762802910789,0.0000753644996412428,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"3",3,54057.2828047655,3.07216644256349,1.40853169116292,0.0175064538735196,0.000288572287247485,0.785189591001611,0.00000248362325062231,4.28368523451205,0.0196118028322768,0.000300682416040894,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"4",4,54053.8764785117,4.96089761206227,2.23789289869518,0.0313264573589643,0.000686163759177821,1.45919986190475,0.00000849455254078787,7.69001148833288,0.0364209235278513,0.000727583135198539,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"5",5,54048.4409272311,7.95695519499675,3.5790636655643,0.0529846244628503,0.00136186223425269,2.53517616796573,0.000021253700915482,13.1255627689248,0.0632458784290127,0.00146549512436942,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"6",6,54039.7421502695,12.7462423795186,5.73062400547903,0.0873159467538094,0.00247357241218181,4.25763856992011,0.0000452564940716376,21.8243397305779,0.106180771756705,0.0026942427460613,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"7",7,54025.8154330161,20.4115919882292,9.17696228686362,0.14200165277982,0.00427619576424058,7.01613726391165,0.0000875964147175397,35.7510569839632,0.174933807497757,0.00470331524132089,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"8",8,54003.521443979,32.6798652827116,14.694847758409,0.229316179252977,0.00717915438595055,11.433678098733,0.000159547520081875,58.0450460210126,0.285031066084039,0.00795710692620657,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"9",9,53967.8448069245,52.3071834900668,23.5265002099359,0.368889356736535,0.0118388251018488,18.5069921026513,0.000279091078615871,93.721683075571,0.461312167141155,0.0131996711586261,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"10",10,53910.7835352157,83.6856939539367,37.6553879528678,0.592102004398016,0.0193063712977556,29.8299895468847,0.000474954967449698,150.782954784352,0.743498878295291,0.0216222482430387,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"11",11,53825.1032010979,129.127388057459,59.5004664464344,0.946824663389236,0.0312536475163706,47.8565630443704,0.000793042932289735,236.463288902105,1.19273511331529,0.0351205190502576,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
"12",12,53690.8910249456,200.897923037792,93.0709542356659,1.50149508652512,0.0502414597508294,76.1535451731215,0.00130606157485801,370.675465054433,1.89787143135728,0.0566098064313051,"Malawi","Mchinji","TA Zulu",239,54062.56649,"Adults",147574.56148,1
