"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,30295.72398,0,1,0,0,0,0,0,0,0,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"2",2,30294.9865415922,0.607713522965218,0.794510464547343,0.00788316789364648,0.0000752095446793747,0.327255714374723,0.000000328428328746919,0.737438407753938,0.00840624878049527,0.0000768360869209453,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"3",3,30294.3218210312,0.965654060547864,0.799124135022376,0.0140805236233016,0.000267750339615994,0.623030113373957,0.00000238592902719064,1.40215896883614,0.0159837436113861,0.000279566659977035,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"4",4,30293.6072820084,1.25283111293624,0.901666055802093,0.0200928229628855,0.000555854438557475,0.94154465956117,0.00000748587370245966,2.11669799157465,0.0241293303782547,0.000592928249573014,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"5",5,30292.7798979241,1.54328957645239,1.06246417282141,0.0266135960599046,0.000937359165351869,1.31076056417796,0.0000168072384867774,2.9440820759155,0.0335615659243808,0.00102059706223853,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"6",6,30291.7962978026,1.87174541065345,1.27045202543475,0.0340469763211245,0.00141951913560131,1.74998669859813,0.0000315672405744631,3.92768219738363,0.0447750102350158,0.00157585598522718,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"7",7,30290.6167751685,2.25904973644312,1.5264260244076,0.0427115229006683,0.00201539033854052,2.27694904417911,0.0000531132523859844,5.10720483152143,0.0582225315811663,0.00227843387355656,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"8",8,30289.1983421907,2.72224361361677,1.83677776979404,0.052924155232648,0.00274281399350319,2.91086646874431,0.000082987936984157,6.52563780931826,0.0743945194676425,0.00315381198981045,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"9",9,30287.491101145,3.2787383398988,2.21129074434693,0.0650390711047881,0.00362448572985712,3.67406322452839,0.00012298937332269,8.23287885498209,0.0938603008133531,0.00423359095454009,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
"10",10,30285.4357050793,3.94829281769325,2.66254487194179,0.079470602338015,0.00468854236755919,4.59310285076511,0.000175235545732399,10.2882749206515,0.117297164575325,0.00555639691118491,"Malawi","Dedza","TA Chilikumwendo",47,30296.72398,1,"Adults",87244.82939
