"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,10683.89549,0,1,0,0,0,0,0,0,0,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"2",2,10665.0780014678,16.2404821425209,2.97768411531091,0.0653919537686244,0.000946044477116401,0.532973502740015,0.0000107733810678146,18.8174885321986,0.0686860574303732,0.000964116810315021,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"3",3,10567.8847305043,96.086239468369,17.2127336101741,0.39889152458466,0.00753208924399365,3.30522892382606,0.000133879545966243,116.010759495744,0.425393792163781,0.00775667201405924,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"4",4,10022.1407946652,542.106569062652,98.9099101372223,2.3278384041999,0.0462840153064912,19.3631589901727,0.000934725253218263,661.754695334807,2.49133467207653,0.0478520157437719,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"5",5,7503.14500336113,2547.92428405137,513.674246718251,12.8308019282993,0.265475931566816,107.050041501338,0.00563650804132327,3180.75048663887,13.7701608870212,0.274931166720784,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"6",6,2210.02821269992,6134.56310561579,1804.5959546191,56.6558033143296,1.33561739102872,477.686040840342,0.0307555194844474,8473.86727730008,61.3954911022393,1.38720973630277,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"7",7,119.117493580631,5800.14067833019,3236.98511844906,157.59778309789,4.92086743503438,1365.99709273705,0.13645637015359,10564.7779964194,175.193042652179,5.14977282443506,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"8",8,2.11016907993806,4035.8969740437,3747.00443539478,287.021908814327,12.5136412010759,2599.90042136774,0.447940098450514,10681.7853209201,332.3447190343,13.2650601531452,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"9",9,0.0315941448021173,2748.8301954459,3607.73379399532,407.119986779407,24.1500031332761,3895.91038398149,1.11953251980892,10683.8638958552,496.050069658961,26.0280175279514,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"10",10,0.000670399955219735,1871.18586525649,3175.51380010816,500.212601609913,38.8844967114997,5096.81197605113,2.28607986284616,10683.8948196,646.172206058259,42.719392807716,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"11",11,0.0000247542360651035,1273.73986570806,2651.51163381715,562.025916170206,55.46750935722,6138.11057815195,4.03996204117936,10683.8954652458,774.697209658822,62.2445406028791,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"12",12,0.00000162062165682871,867.050829041415,2138.39778128596,594.857242309207,72.7064916263542,7005.45581003047,6.42733408597728,10683.8954883794,880.112339987106,83.4883364761248,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"13",13,0.000000219703095973648,590.211640004188,1682.63978213264,603.687639503868,89.6189301792344,7709.28392229433,9.45357566604321,10683.8954897803,964.072531005822,105.47729147544,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"14",14,0.00000000209808166186016,401.764824947448,1299.91743113424,594.120991456649,105.473907372885,8270.52621516134,13.0921199253389,10683.8954899979,1029.53206727705,127.435922090241,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"15",15,0.00000000510935809226841,273.486388548642,990.05672835643,571.378253023051,119.778553107177,8712.90186726797,17.2936996916249,10683.8954899949,1079.74553566109,148.788712600897,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"16",16,-0.000000000770147236503117,186.165659333106,745.545870899067,539.883264265289,132.241392194023,9059.06473991099,21.994563398302,10683.8954900008,1117.77549782779,169.137244646491,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"17",17,0.000000000460169325159081,126.725349126702,556.242706260343,503.161539855619,142.729410102703,9328.91329929916,27.1231853550257,10683.8954899995,1146.2830459856,188.22851944066,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"18",18,0.00000000101633379986564,86.2635576690657,411.819552678834,463.894431299537,151.227266698977,9539.08528649707,32.6053951555103,10683.895489999,1167.47200974695,205.922776085856,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
"19",19,-0.00000000000941106474593578,58.7206288234431,302.915627726263,424.038277878995,157.802259551499,9703.05060724675,38.3680887730649,10683.89549,1183.10966720954,222.164680237853,"Malawi","Mzimba","TA Mabulabo",172,10684.89549,1,"Elderly",94895.8094
