"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,8417.430662,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"2",2,8398.6193690576,16.2348112827168,2.97719950585228,0.0631351984122692,0.000856047483485647,0.535281167811648,0.00000974012092328236,18.8112929423974,0.066315734934706,0.000872400844476047,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"3",3,8301.66094441279,95.8684250169615,17.1917032868971,0.384916346785858,0.00681369818511291,3.31773821633406,0.000121022041593026,115.769717587205,0.410498023442748,0.00701689044007098,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"4",4,7763.57363102839,535.001372544214,98.1960442599013,2.23925499553723,0.041802395803734,19.3777125123272,0.00084426382618153,653.85703097161,2.39682297018815,0.0432198885873893,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"5",5,5420.5969624482,2384.92128961682,495.028063092251,12.1471112116107,0.237752705511659,105.494414215009,0.00506871059983202,2996.83369955181,13.0449189054493,0.246262913428769,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"6",6,1300.40990133337,5018.74846436389,1599.01164595455,50.9628576053101,1.15998393446904,448.11063898622,0.0271698221917734,7117.02076066663,55.3581522073121,1.20560122339663,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"7",7,56.778992585099,4375.32005661314,2647.33220466199,132.662673949863,4.05910133453192,1202.16151431837,0.116118537014146,8360.6516694149,148.171824007565,4.25406075735903,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"8",8,0.938863012645448,3020.08246764109,2959.58440041683,231.503114038877,9.88061822100214,2196.07505757136,0.366141098204328,8416.49179898736,269.766337782597,10.4953577709028,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"9",9,0.0144209914722968,2056.49476028121,2805.52261136238,320.590646180354,18.5220393035155,3216.39921186014,0.886972020926694,8417.41624100853,393.546183940687,20.0112378217728,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"10",10,0.000327352118350939,1399.89200540173,2448.17301451689,388.244950933545,29.2572549216327,4151.09195402444,1.77115484962879,8417.43033464789,505.750309483074,32.2309689908947,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"11",11,0.0000131114263732282,952.924271292362,2033.01063747131,432.131886007071,41.1900166098504,4956.09382244324,3.0800150647348,8417.43064888858,601.152470893109,46.3612663927027,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"12",12,0.000000961650554840783,648.667324791484,1633.38342053427,454.407682086588,53.4861985064631,5623.64382429115,4.84221082838536,8417.43066103836,679.043320995712,61.6161203310399,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"13",13,0.000000170126435946417,441.555453687592,1281.69434908499,458.994340757328,65.4689192972263,6163.65947699878,7.05812200394762,8417.43066182988,740.879461123332,77.3192872704757,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"14",14,0.0000000246200567785774,300.572717939412,988.068931945069,450.147553443165,76.6410126265951,6593.29417253208,9.70627348905627,8417.43066197539,788.972598709564,92.9375448245339,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"15",15,0.0000000106880895382929,204.603605465822,751.284383614908,431.76890934048,86.6721196937881,6931.35178028224,12.749863592066,8417.43066198932,825.79465895009,108.078745293376,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"16",16,0.00000000538442332513927,139.276289906065,564.976221675337,407.132782807783,95.3714313102795,7195.53145495843,16.1424813367188,8417.43066199462,853.640293130522,122.474156898536,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"17",17,0.00000000119047258875113,94.8071488414624,421.050527004076,378.830718353438,102.657025653711,7401.25250774764,19.8327343984741,8417.43066199881,874.487805291854,135.955571698422,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"18",18,0.00000000106937996144730,64.5364297559233,311.435992887368,348.822461085922,108.527247358805,7561.3407733532,23.7677575577107,8417.43066199893,889.967314089808,148.432575263355,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"19",19,-0.000000000296333526868703,43.9307127344547,228.894830289107,318.529944480566,113.036360658185,7686.14308087193,27.895732966049,8417.4306620003,901.381405239691,159.872431265394,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"20",20,-0.0000000000940553424360379,29.9041783755771,167.313153995712,288.940987824435,116.27503420138,7783.82971457845,32.1675930245404,8417.4306620001,909.748105339902,170.283425377012,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"21",21,-0.0000000000601393303233991,20.3561393940196,121.72143058885,260.706310495455,118.355360710836,7860.75333633838,36.5380844725154,8417.43066200007,915.849795242649,179.701671499288,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"22",22,-0.0000000000580688249335301,13.8566708801476,88.1867730090029,234.222994097673,119.399800979739,7921.79807446896,40.9663485645345,8417.43066200006,920.279916309017,188.181029858839,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
"23",23,-0.0000000000524654285330286,9.43240349493019,63.6576759707592,209.702652676448,119.53331240229,7970.68846567064,45.4161517849837,8417.43066200006,923.483855602567,195.785622900748,"Malawi","Kasungu","TA Wimbe",237,8418.430662,1,"Elderly",102594.102472
