time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,Elderly_Population,Adults_Population,Pediatrics_Population,new_E_e,new_I_e,new_H_e,new_C_e,new_D_e,new_E_a,new_I_a,new_H_a,new_C_a,new_D_a,new_E_p,new_I_p,new_H_p,new_C_p,new_D_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,new_E_all,new_I_all,new_H_all,new_C_all,new_D_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,start_day,start_date
36,1943.594,0,0,0,0,0,0,7603.004,1,0,0,0,0,0,11659.82,0,0,0,0,0,0,1943.594,7603.004,11659.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21206.417999999998,1,0,0,0,0,0,0,0,0,0,0,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
37,1943.498033676064,0.08460970791566395,0.01037599752699203,4.747077101190229e-5,7.187789433690166e-7,9.324181135008374e-4,1.082962700741461e-8,7602.571042993129,1.135055643446756,0.25991746090703927,3.9600373581108255e-4,4.518455355679073e-6,0.03758334982600482,3.049620945679076e-8,11659.518960861184,0.26793297845626407,0.030375075530259612,2.36968382638075e-7,7.056794903837857e-10,0.0027308471554340014,1.7467207799677284e-12,1943.594,7603.004,11659.82,0.09596632393595428,0.011356616020290325,5.046351022177425e-5,7.369656217180216e-7,1.082962700741461e-8,0.4329570068712201,0.29790136342446405,4.3018023069766643e-4,4.6637108216252815e-6,3.049620945679076e-8,0.30103913881612243,0.03310616035985836,2.514313164503837e-7,7.231466906154355e-10,1.7467207799677284e-12,21205.588037530375,1.4875983298186841,0.3006685339642909,4.437114752056229e-4,5.2379399785384735e-6,0.04124661509493966,4.132758318498534e-8,0.8299624696232968,0.3423641398046127,4.808951722358911e-4,5.401399590033919e-6,4.132758318498534e-8,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
38,1943.3209788476527,0.21992731333036375,0.04489753909791787,3.748374497769702e-4,1.1004673927245305e-5,0.0078101260026418925,3.317927689673765e-7,7601.665774509474,1.653588409788245,0.5347667829529578,0.0014458536998702312,3.221246319490737e-5,0.1483917898902331,4.417262319580523e-7,11658.810965088933,0.8284626360274779,0.15439615882273344,2.154029153154006e-6,1.2196767564288066e-8,0.026173949934095626,5.94102392302892e-11,1943.594,7603.004,11659.82,0.1770548284114284,0.04173722299672861,3.713254602850937e-4,1.0824902699844179e-5,3.2096314195996186e-7,0.9052684836542539,0.386735717312765,0.0012671503489074748,2.9652723596248634e-5,4.1123002250126154e-7,0.707995772250797,0.14746611467958315,2.1584152355851683e-6,1.2067723253461858e-8,5.766351845032147e-11,21203.79771844606,2.7019783591460866,0.7340604808736091,0.0018228451788003554,4.3229333889716963e-5,0.18237586582697063,7.735784111646591e-7,1.7903190843164793,0.5759390549890768,0.0016406342244281538,4.0489694019346276e-5,7.322508279796737e-7,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
39,1942.973366220158,0.47248192138351175,0.11790908360603308,0.001315434488488307,5.516642173621307e-5,0.028869701534395293,2.4724086435010254e-6,7599.819680760321,2.8748631527116224,0.9525342359322553,0.0032255648968099308,1.0152281678874887e-4,0.3535926800471711,2.0832721620104787e-6,11657.304136170147,1.9556429733991474,0.45288631048265876,8.432308097635735e-6,6.761495473634559e-8,0.10732604556406602,4.845582325931345e-10,1943.594,7603.004,11659.82,0.34761262749475463,0.09505801944160663,0.0011345314419049085,4.7756579507700895e-5,2.140615874533649e-6,1.8460937491536242,0.6248190062302468,0.002344927167579573,7.712914526712889e-5,1.6415459300524265e-6,1.5068289187856863,0.3796485814140169,7.471672286764984e-6,5.966966711416273e-8,4.251479933628453e-10,21200.097183150625,5.302988047494281,1.5233296300209471,0.004549431693395873,1.567568534796983e-4,0.4897884271456324,4.556165363744098e-6,3.700535295434065,1.0995256070858703,0.0034869302817712466,1.2494539444194395e-4,3.7825869525794384e-6,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
40,1942.2853027376,0.9632790464698354,0.2630808886843419,0.0034355703082397707,1.797447854370554e-4,0.07871150453868692,1.0507614329942578e-5,7596.130889955656,5.421408613484232,1.7243454440067523,0.006269795014559066,2.3825728740673672e-4,0.7208415812233356,6.353324443328108e-6,11654.241320110046,4.177924573506017,1.0845283527950602,2.3887246683623253e-5,2.390366053770608e-7,0.3162028351457841,2.2238045910884155e-9,1943.594,7603.004,11659.82,0.6880634825579364,0.1972663574716127,0.0026808325512565727,1.3807224296921087e-4,8.035205686441553e-6,3.688790804664677,1.1422453438920677,0.004195288831398808,1.5707301164114885e-4,4.27005228131763e-6,3.062816060100886,0.8405344599940161,1.923122087053896e-5,1.8881411422757213e-7,1.739246358495281e-9,21192.657512803304,10.562612233460085,3.0719546854861544,0.00972925256948246,4.1824110944916915e-4,1.1157559209078067,1.6863162577861775e-5,7.439670347323499,2.1800461613576965,0.006895352603525919,2.953340687245873e-4,1.2306997214117677e-5,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
41,1940.916891795267,1.9335522078937755,0.5497185166149797,0.007829722654136211,4.7230869166406403e-4,0.18550211383062962,3.333504854678153e-5,7588.7849527525395,10.567830829078295,3.2392815982367673,0.011832627820981352,4.930628124344382e-4,1.3995935227135625,1.5606795631763146e-5,11648.097629494438,8.571202822116732,2.3634015081932147,5.762989550428103e-5,6.69484607228999e-7,0.7877078683536749,7.521860952322998e-9,1943.594,7603.004,11659.82,1.3684109423329573,0.3981377809090173,0.0057378982224050865,3.30899034585306e-4,2.282743421683895e-5,7.345937203116591,2.1995149875225284,0.0077530811980527,2.9888041942252954e-4,9.253471188435038e-6,6.143690615608648,1.7504123669979332,4.341122012966811e-5,4.834285654505165e-7,5.298056361234583e-9,21177.799474042244,21.0725858590888,6.152401623044962,0.019719980370621844,9.660409887057313e-4,2.372803504897867,4.8949366039497e-5,14.858038761058197,4.348065135429479,0.013534390640587455,6.302628825732861e-4,3.2086203461635226e-5,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
42,1938.1948203174932,3.8592673922290026,1.1171232505257138,0.016675382706062888,0.001101830841191893,0.4049227740550984,8.905215028727179e-5,7574.181280009095,20.85050728574042,6.253265887452669,0.022491015766980284,9.702309174729241e-4,2.6954514227616304,3.414826287821787e-5,11635.840677271712,17.276366816858875,4.916701416418205,1.2744657785169637e-4,1.638359543529351e-6,1.7861253889103261,2.116910800775965e-8,1943.594,7603.004,11659.82,2.722071477773852,0.796356293438625,0.01178205330970884,7.230903634007673e-4,5.571710174049026e-5,14.603672743444804,4.3209962867826786,0.01480234218640294,5.654823380638346e-4,1.8541467246454724e-5,12.256952222725886,3.5517882279837423,9.192363048428607e-5,1.105347406843537e-6,1.3647247055436651e-8,21148.2167775983,41.986141494828296,12.287090554396588,0.039293845050894866,0.0020737001182083467,4.886499585727055,1.2322158227349742e-4,29.582696443944542,8.669140808205047,0.026676319126596067,0.0012896780488714454,7.427221623400043e-5,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
43,1932.7912039474577,7.676482228052928,2.2418488086547472,0.03431106123039096,0.0024001923304825083,0.8475400592029851,2.1370307130412323e-4,7545.225159375941,41.26257555537023,12.25114739089498,0.04338585360234684,0.0018818443428520921,5.21977970671633,7.027312865928881e-5,11611.475610393396,34.5200012653376,9.990666283662843,2.6848140950565486e-4,3.693709447616838e-6,3.8334498295513884,5.2937942935941796e-8,1943.594,7603.004,11659.82,5.403616370035479,1.586401534211554,0.023758261237584986,0.0015076933402387708,1.2465092101685146e-4,28.95612063315366,8.544052363523846,0.02883622522680722,0.0010836785468810361,3.612486578107094e-5,24.3650668783157,7.121432429836979,1.8849559672142607e-4,2.3730382533733795e-6,3.176883492818215e-8,21089.491973716795,83.45905904876076,24.48366248321257,0.07796539624224345,0.004285730382782217,9.900769595470702,2.84029137906348e-4,58.72480388150484,17.25188632757238,0.052782982061113634,0.0025937449253731803,1.6080755563285058e-4,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
44,1922.1141203721359,15.204959061924288,4.467749924900626,0.06933430030437365,0.005023410802996634,1.7323341966209593,4.7873331150913404e-4,7488.114599788506,81.47872330214776,24.13838075445933,0.08466889210231208,0.003653058989541487,10.183833878638305,1.4032515304864272e-4,11563.267279040168,68.54841376076939,20.04209740903369,5.502324265330011e-4,7.91553724650415e-6,7.961651519670182,1.2240077997463185e-7,1943.594,7603.004,11659.82,10.67708357532183,3.14860674145047,0.04748326190809095,0.003068295574926559,2.650302402050108e-4,57.11055958743509,16.89441184065757,0.05670794862197813,0.0021048770652858295,7.005202438935391e-5,48.20833135322755,14.179918857795755,3.8008014041268786e-4,4.916456169267082e-6,6.946283703869005e-8,20973.49599920081,165.23209612484143,48.648228088393644,0.15455342483321874,0.008684385329784626,19.87781959492945,6.191808653377514e-4,115.99597451598447,34.222937439903795,0.10457129067048176,0.0051780890963816556,3.351517274314034e-4,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
45,1901.2103557463658,29.8954011186777,8.848423645872021,0.13862327003146901,0.010266514482559613,3.4899041533342254,0.001025551236896222,7376.665924728952,159.68855645712878,47.51204013492318,0.1661819328500577,0.007126506870124236,19.963893560448923,2.766788224504325e-4,11468.674580879704,135.09418188157042,39.848933400340975,0.0011092835069142018,1.6432759410679517e-5,16.201177853668728,2.6845381342517927e-7,1943.594,7603.004,11659.82,20.90376462577001,6.213322569016597,0.09430975910436933,0.006161399409100966,5.468179253870879e-4,111.44867505955426,33.238841904573235,0.11172644759577172,0.004122909413118903,1.3635366940178978e-4,94.59269816046435,28.046930039663323,7.586061303549923e-4,9.977752498689582e-6,1.4605303345054742e-7,20746.550861355023,324.6781394573769,96.20939718113618,0.30591448638844093,0.01740945411209453,39.65497556745188,0.0013024985131600798,226.94513784578862,67.49909451325316,0.20679481283049603,0.010294286574718559,6.833176478223282e-4,112,Sub-Saharan Africa,Malawi,Lilongwe City,Area 52,21082,MW21082,0.1364596,0.003090901,0.2099488,0.02864953,0.01132533,0.000648931,0.2462512,0.02534462,0.5954704,0.1466353,0.05146090,0.01509197,0.05,9.21e-06,0.1,0.2218972,9.20628e-05,4.09e-05,36,2020-04-08
