"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",1,24609,0,1,0,0,0,0,0,0,"Ntcheu","43",24610
"2",2,24608.2625696156,0.607706773220572,0.79450933859063,0.0100839195374657,0.000124902045585212,0.325003856323974,0.00000159466934492912,0.010753029582418,0.000127603278152055,"Ntcheu","43",24610
"3",3,24607.5978616952,0.965638809002978,0.79911984607054,0.0180113714316512,0.000444658216284967,0.618912035341145,0.0000115847691096296,0.0204459141205559,0.000464281817690355,"Ntcheu","43",24610
"4",4,24606.8833434757,1.25280318496313,0.901656260487797,0.0257020580193859,0.000923117225194089,0.935535556297617,0.0000363472920710427,0.0308654329462178,0.00098468640840504,"Ntcheu","43",24610
"5",5,24606.055993435,1.54324186777925,1.06244546288268,0.0340430960052765,0.00155668616677641,1.30263784557164,0.000081606641095734,0.0429307087894956,0.00169492079033606,"Ntcheu","43",24610
"6",6,24605.072447948,1.87166690836295,1.27041918361776,0.0435514005564387,0.0023574109347149,1.73940387572481,0.000153272836790724,0.0572743163329172,0.0026170419232129,"Ntcheu","43",24610
"7",7,24603.8930113956,2.25892381803104,1.52637108639994,0.0546344012326609,0.00334697083105026,2.26345444011867,0.000257887770985403,0.0744754715992128,0.00378381051056833,"Ntcheu","43",24610
"8",8,24602.4747120422,2.72204543448201,1.83668869431564,0.0676973981707873,0.00455499048756331,2.8938984989127,0.000402941420564242,0.0951613451175917,0.00523753856012702,"Ntcheu","43",24610
"9",9,24600.7676759835,3.2784309669798,2.2111494719687,0.0831933299354064,0.00601915394959308,3.65293392999012,0.000597163710310026,0.120060020415784,0.00703069785815018,"Ntcheu","43",24610
"10",10,24598.712591421,3.94782156610266,2.66232448307623,0.101651987804103,0.00778617797123685,4.56697352651551,0.000850837528594661,0.150037592258025,0.00922742348626468,"Ntcheu","43",24610
"11",11,24596.2383550423,4.75350796425496,3.20564890124617,0.123703418972492,0.00991331834173386,5.66769519620858,0.00117615866435274,0.186132665615251,0.0119056298500889,"Ntcheu","43",24610
"12",12,24593.2595200954,5.72332435588707,3.85981193335866,0.150101421938825,0.0124703182337813,6.99318421617105,0.00158765903067189,0.22959382676678,0.0151596759318705,"Ntcheu","43",24610
"13",13,24589.6733317341,6.89067078192514,4.64733968260161,0.18175005705846,0.0155418148464846,8.58926321878741,0.00210271069468865,0.281923250468202,0.0191036257166829,"Ntcheu","43",24610
"14",14,24585.3562237792,8.29566508123061,5.59533695467344,0.219734657691097,0.0192302546980829,10.5110671464403,0.00274212606618637,0.344928329019471,0.0238751801529576,"Ntcheu","43",24610
"15",15,24580.1596130483,9.98650231504335,6.73639698884451,0.2653589653895,0.0236594342782446,12.8249383676603,0.00353088050614937,0.420783791931262,0.0296404418414539,"Ntcheu","43",24610
"16",16,24573.9048583158,12.0210669080262,8.10970140035734,0.320189659927149,0.0289787828605575,15.6107059515025,0.00449898155160444,0.512106414371378,0.0365996702397882,"Ntcheu","43",24610
