"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,7304.705329,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"2",2,7303.18074426783,1.26214685871325,0.911236670640103,0.00807353231684508,0.0000751479943242784,0.343052197768822,0.00000032473385658555,1.52458473216721,0.00859653938271686,0.000076757557771403,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"3",3,7301.46067596973,2.29986857750762,1.19726269732645,0.0162705329620234,0.000285317025384046,0.730963451505094,0.00000245393960493575,3.24465303026618,0.0182974891843291,0.000297480128828468,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"4",4,7299.03311892987,3.60569882531763,1.75949771827836,0.0272840950556504,0.000650532090999196,1.27907073282103,0.00000816656750567498,5.67221007013117,0.0319924680342249,0.000691010187997828,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"5",5,7295.40796605413,5.50329271663284,2.65120223205301,0.0433927491892973,0.0012316225022156,2.09822386393011,0.0000197615633467143,9.29736294587083,0.0524521242586071,0.00132957191332829,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"6",6,7289.93085726083,8.35318463932883,4.0147694869053,0.0674953203673439,0.00213071175124677,3.33685102490959,0.0000405559034294283,14.7744717391657,0.0833831506921322,0.00233172959524828,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"7",7,7281.64007702015,12.6599011125151,6.08422078870529,0.103809009247504,0.0035061047809357,5.21373947779585,0.0000754868047387548,23.0652519798495,0.130248142418065,0.00388025979798646,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"8",8,7269.09474374373,19.1699651438669,9.21821257349194,0.158656280854355,0.0055990854229216,8.05802019679835,0.000131975837145988,35.6105852562716,0.201264260095594,0.00625323182332283,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"9",9,7250.13434866009,28.9965555604419,13.9576534638628,0.241561644547643,0.00877557587897689,12.3662128758225,0.000221219355430172,54.5709803399092,0.308827448847935,0.00987206329806144,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"10",10,7221.53425696482,43.7916577235709,21.1123404037435,0.366855530787619,0.0135890341187716,18.8862692128257,0.000360130129756229,83.1710720351762,0.471610456660201,0.0153740413833626,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"11",11,7178.52129035597,65.9803828106839,31.8851392182661,0.55601845173982,0.0208743051421078,28.7410496039201,0.000574254277898675,126.18403864403,0.717644987275183,0.0237206319919757,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"12",12,7114.12040099762,99.0610356596819,48.0427540450726,0.84105517628005,0.031886334846123,43.6072946466971,0.000902139804663489,190.584928002382,1.08878857503889,0.0363578465913108,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"13",13,7018.34086346671,147.941699220022,72.1353906687941,1.26920517314543,0.0485019409810191,65.9682667039198,0.00140182642796362,286.36446553329,1.64702902510839,0.0554501803835497,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"14",14,6877.31082901187,219.206826667486,107.74644421295,1.90920947332128,0.0735070656540517,99.4563521713378,0.00216039737889222,427.394499988129,2.48303113448532,0.0842152088975406,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"15",15,6672.69929362545,321.046589370029,159.700462288044,2.85894440884927,0.110991126933658,149.285740373431,0.00330780725963745,632.006035374547,3.72692445072542,0.127386478226026,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
"16",16,6382.17990451628,462.316152206641,234.052994737365,4.25320316219051,0.166857829297088,222.731180119413,0.00503642881757506,922.525424483725,5.56022550679189,0.191821200268165,"Malawi","Rumphi","TA Mwalweni",92,7305.705329,1,"Adults",21256.829151
