"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,57135.04494,0,1,0,0,0,0,0,0,0,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"2",2,57134.3371641894,0.583160528820185,0.790022424686257,0.0000611010626564544,0.000000198613946625068,0.334531553117716,0.00000000429702933638341,0.70777581059779,0.0000651592821756834,0.000000202910975961452,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"3",3,57133.705343682,0.921411522444231,0.784902573865992,0.000108597915185794,0.000000705268480201952,0.633172887337347,0.0000000311680813172149,1.33959631799932,0.000123326646416178,0.000000736436561519167,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"4",4,57133.0350034828,1.18564567601462,0.874105689787957,0.000153916250315395,0.00000145867142723028,0.950029678858068,0.0000000975638941487876,2.00993651714628,0.000185040956742976,0.00000155623532137906,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"5",5,57132.2686120852,1.44640620637184,1.01742092497905,0.000202262230565189,0.00000244842921998088,1.31229585431643,0.000000218410629675713,2.77632791473774,0.000255599027558321,0.00000266683984965659,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"6",6,57131.3683095651,1.73597297017822,1.20252764155367,0.0002565482134669,0.00000368811807764424,1.73786917796302,0.000000408815149612397,3.6766304348416,0.000338486878012032,0.00000409693322725664,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"7",7,57130.3009363685,2.07266085211356,1.42859051873404,0.000318946116231507,0.00000520539612452561,2.24242742389691,0.00000068520110068824,4.74400363145796,0.000436758060735784,0.00000589059722521385,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"8",8,57129.0316462065,2.47044798109407,1.69999848069199,0.00039152273537412,0.00000703888192014875,2.84244770397989,0.00000106607006432243,6.0132937934533,0.000553621775063544,0.00000810495198447117,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"9",9,57127.5207494084,2.94293259072389,2.024071417456,0.000476523760686859,0.00000923782598512065,3.55669924914935,0.00000157266746179442,7.52419059158337,0.000692733629625161,0.0000108104934469151,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"10",10,57125.7216899163,3.50511858622262,2.41034013043734,0.000576527540397106,0.0000118630568880693,4.40720074677612,0.00000222967141212748,9.32325008370477,0.000858382106401042,0.0000140927283001968,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"11",11,57123.5793089218,4.17440759865668,2.87046817279461,0.000694556540848622,0.0000149886444879324,5.42004269557062,0.00000306596496670879,11.4656310781722,0.00105564872994145,0.0000180546094546412,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"12",12,57121.0280401548,4.97133472827372,3.4184653522403,0.00083418184723331,0.0000187041097385689,6.62624276316647,0.00000411553101818249,14.0168998451685,0.00129057466236834,0.0000228196407567514,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"13",13,57117.9898666212,5.92027282855446,4.07105750370344,0.000999636426456136,0.0000231171510905481,8.06271487441297,0.00000541850000462798,17.0550733787484,0.00157034944835966,0.0000285356510951761,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"14",14,57114.3719284271,7.05020234080301,4.84817329567506,0.00119594551691213,0.0000283569448678716,9.7734046115717,0.00000702238686304022,20.6730115728984,0.00190353215153037,0.0000353793317309118,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"15",15,57110.0637161754,8.39559356458588,5.77353521667821,0.00142907873255909,0.0000345780711094763,11.8106224029942,0.00000898354290908276,24.9812238246049,0.00230031101293028,0.0000435616140185591,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"16",16,57104.9336716183,9.99746347088577,6.87538535082156,0.00170613386702982,0.0000419653082417771,14.2366600919007,0.0000113689135043055,30.1112683816968,0.00277281830195147,0.0000533342217460826,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"17",17,57099.7740865356,11.1101206887127,8.05111945741058,0.00203212534542735,0.0000507337520079923,17.1075162011142,0.0000142579965613649,35.2708534643314,0.0033319603168145,0.0000649917485693572,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"18",18,57093.7957475661,12.5479304318431,9.26451087824405,0.00240330677837375,0.0000610857089970416,20.4342689876421,0.0000177436414515414,41.2491924338581,0.0039798937873454,0.000078829350448583,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"19",19,57086.9421580449,14.2554253829756,10.5959339200629,0.00282020928326084,0.0000731976921762112,24.2485073146666,0.0000219303711656646,48.1027819550517,0.00472277055009835,0.0000951280633418758,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"20",20,57079.1147684099,16.2291589998298,12.0923461964168,0.00328757010927272,0.000087253116668179,28.6052646367581,0.0000269338234113274,55.930171590054,0.00557130891086285,0.000114186940079506,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"21",21,57070.1874736698,18.4894529692822,13.789093734162,0.00381238048221829,0.000103460455876496,33.5749709040063,0.0000328818183103399,64.8574663302069,0.00653922596595501,0.000136342274186836,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"22",22,57060.0110817101,21.0692580213586,15.7190466778854,0.00440317593020064,0.00012206283153789,39.2409884356029,0.0000399162518192694,75.0338582898604,0.00764275759734383,0.00016197908335716,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"23",23,57048.4135119804,24.0100383543536,17.9165995013064,0.00506984294706049,0.000143344499229853,45.6995287810508,0.0000481954657226453,86.6314280196228,0.00890064224611045,0.000191539964952498,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"24",24,57035.1980525476,27.3605241176282,20.4196561973187,0.00582364516941818,0.000167636570549901,53.060657958722,0.0000578970050474205,99.8468874524139,0.0103343166813646,0.000225533575597321,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"25",25,57020.1405834794,31.176726079333,23.2708013545061,0.00667735405419449,0.000195322865493816,61.4498871890665,0.0000692207222966481,114.904356520547,0.0119682258100038,0.000264543587790464,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"26",26,57002.9861159781,35.5224917168354,26.518219288493,0.00764543529557316,0.000226846422513555,71.0101583425225,0.0000823922809609588,132.05882402185,0.0138302093650634,0.000309238703474514,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"27",27,56983.4447358765,40.4703680725755,30.2165523207583,0.00874427642754922,0.000262716903832653,81.904179069711,0.0000976671097987504,151.600204123486,0.0159519567001773,0.000360384013631404,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"28",28,56961.1871438431,46.1026160248826,34.4277666075254,0.00999244006104618,0.000303518752594789,94.3170022309527,0.000115334702582009,173.857796156877,0.0183695091645821,0.000418853455176798,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"29",29,56935.8393741868,52.5124319753029,39.2221404796332,0.0114109650321884,0.000349920953296489,108.459096748546,0.000135723704522567,199.205565813172,0.0211238581885696,0.000485644657819056,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"30",30,56906.9770310415,59.8052872406817,44.6793137295237,0.0130236962149852,0.000402687829689276,124.569722396721,0.000159207487773887,228.067908958459,0.0242616025642484,0.000561895317463163,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"31",31,56874.1188368828,68.1003976470822,50.8894619460163,0.0148576539312413,0.000462691337269652,142.92073696835,0.000186210462986616,260.92610311718,0.0278356899363667,0.000648901800256268,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"32",32,56836.719413848,77.5323427748929,57.9545982243209,0.0169434483995516,0.000530925031561077,163.820893564079,0.000217215235952146,298.32552615196,0.031906253749816,0.000748140267513223,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"33",33,56794.1609841634,88.252902739252,65.9900443186189,0.0193157581912901,0.000608520385694877,187.620831729129,0.000252770971319476,340.883955836548,0.0365415853315772,0.000861291357014353,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"34",34,56745.7450091046,100.432858130443,75.1258872796372,0.0220138148985009,0.000696763616447845,214.718181404747,0.000293502035816001,389.299930895378,0.0418191279437778,0.000990265652263846,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"35",35,56690.6821559395,114.264061397628,85.5087457107686,0.0250819862452554,0.000797116238630658,245.563757730929,0.000340118613686149,444.362784060423,0.0478266832915915,0.00113723485231681,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"36",36,56628.0816934924,129.961557910162,97.3035805247381,0.0285703974721099,0.000911237369157064,280.668233009463,0.000393428305351249,506.96324650751,0.0546637109622762,0.00130466567450831,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"37",37,56556.9399504381,147.765827551246,110.695582294039,0.0325356155105452,0.00104100861642531,320.60954874328,0.000454349208106089,578.1049895619,0.062442772001173,0.00149535782453139,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"38",38,56476.1279002769,167.944967264633,125.892225647215,0.0370413890653915,0.00118856191992293,366.041092935529,0.000523924703193,658.917039723065,0.0712911215277101,0.00171248662311593,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"39",39,56384.377985001,190.79682038024,143.125370218923,0.0421594443578665,0.0013563103030413,417.700645305163,0.00060334002450313,750.666954999011,0.0813524509087552,0.00195965032754443,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"40",40,56280.2701964929,216.651080088056,162.653273329747,0.047970344261243,0.00154698174197171,476.42017882241,0.000693940880304605,854.774743507096,0.0927887967067693,0.00224092262227631,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"41",41,56162.2177734577,245.870969078161,184.762640073147,0.054564383996145,0.00176365644668888,543.13643209621,0.000797254341175714,972.827166542302,0.105782599753437,0.0025609107878646,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"42",42,56028.4530321259,278.85438313132,209.770518788423,0.0620425001421698,0.00200980683610222,618.902038635583,0.000915011790467404,1106.5919078741,0.120538872673562,0.00292481862656963,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
"43",43,55877.0127901335,316.034645610208,238.025773935068,0.0705172486642454,0.00228934229364974,704.897874554695,0.00104917550844817,1258.03214986644,0.137287604706203,0.00333851780209791,"Malawi","Karonga","TA Kyungu",167,57136.04494,1,"Pediatrics",99692.63172
