"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2094.458749,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"2",2,2092.93514637069,1.26130695287343,0.911110089927915,0.00773759516901355,0.0000728777415273188,0.343374801659834,0.000000311935473720845,1.52360262930719,0.00823885213865614,0.000074438694092707,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"3",3,2091.21761846389,2.29712410419732,1.19662943163092,0.0155910316550734,0.000276676006639894,0.731506935503408,0.00000235712082880423,3.24113053611419,0.0175335458908014,0.000288471246728377,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"4",4,2088.79657848182,3.5982613953914,1.75750481834389,0.0261368227829401,0.000630735112074078,1.27962890285352,0.00000784369468506364,5.66217051817851,0.030648387380307,0.000669985650638118,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"5",5,2085.18760883024,5.48441383284112,2.64579325988847,0.0415479257472772,0.00119384126620644,2.09817233239035,0.0000189776229122835,9.27114016975634,0.0502265233487528,0.00128880696156819,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"6",6,2079.74961064348,8.30696673310543,4.0010381087592,0.0645767033057551,0.0020645271296957,3.33445334561932,0.0000389385978873611,14.7091383565173,0.0797909629773044,0.00225937930069082,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"7",7,2071.55156823,12.5493605001058,6.05063245451682,0.0992038126536287,0.00339509747054467,5.20451645270889,0.0000724525464756421,22.9071807700022,0.124507204632276,0.00375765638999374,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"8",8,2059.22308014141,18.9098840763392,9.13795990242547,0.151346175727709,0.00541666135327783,8.03093543514335,0.00012660760631522,35.2356688585954,0.192087264153739,0.00605021695860237,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"9",9,2040.76384764793,28.3924755599811,13.7690665850285,0.229803285108204,0.00847734519248202,12.2948665156151,0.000212061143677164,53.694901352069,0.294033973133768,0.00953851781992824,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"10",10,2013.30913788755,42.4048134475382,20.6749963657958,0.347558341137899,0.0130983061503584,18.7087998220807,0.000344829746711765,81.1496111124498,0.447379617085596,0.0148238645529709,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"11",11,1972.88112954662,62.835361238464,30.8832117584691,0.523502485166569,0.0200535587087987,28.3149414919633,0.000548920610279488,121.577619453382,0.677036375504356,0.0228004057556884,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"12",12,1914.2226216172,92.0335291722678,45.777288716036,0.784534249116324,0.0304796247459528,42.609435479861,0.000860140772842024,180.2361273828,1.01876249409961,0.0347838448782367,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"13",13,1830.92915969184,132.540541914869,67.0942122356324,1.16769962303672,0.0460175348964152,63.6797865210059,0.00133147872101012,263.529589308161,1.52243990633574,0.0526803716059732,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"14",14,1716.25748889444,186.332996050711,96.7606436408829,1.72144908056281,0.0689787333733033,94.3151521709328,0.00204042909848565,378.201260105562,2.2546952506423,0.0791892201697626,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"15",15,1565.0616791268,253.360794037364,136.423804203541,2.5041472783676,0.102502179682201,138.002723790503,0.00309838373972796,529.397069873198,3.29878391125299,0.118006764618936,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"16",16,1376.97485000186,329.52599257227,186.556350042843,3.57697449094728,0.150628944918919,198.669291370677,0.00466157647817623,717.483898998135,4.74836257451533,0.173955883902699,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"17",17,1191.39017270089,378.905798333156,240.568630630773,4.97403826913384,0.21810219940304,279.395065228212,0.00694163843138413,903.068576299111,6.67660971724544,0.25283876907951,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"18",18,994.435368790555,421.497753718452,292.3378782423,6.65665670201897,0.309306174223985,380.211576725075,0.0102086473724627,1100.02338020944,9.0834667773789,0.360391144186236,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"19",19,802.797923835803,445.657567197926,338.275251248817,8.55888051581186,0.427379155449632,499.726966982592,0.0147800635968365,1291.6608251642,11.9348144889442,0.501339894550213,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"20",20,630.391719993251,445.830726338739,373.24694712245,10.583314278041,0.573811343549525,634.81122716168,0.0210027622867652,1464.06702900675,15.1549806939386,0.678911014583108,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"21",21,485.824625370121,422.694460972613,393.053774562258,12.603065331537,0.747963345319887,780.505630049251,0.0292293688970892,1608.63412362988,18.6246494682707,0.894229679893369,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"22",22,371.536843190585,381.819660217427,395.944923879145,14.480470958639,0.946817738851459,930.690243289304,0.0397897260455263,1722.92190580941,22.1969538985313,1.14592903006178,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"23",23,285.144883707897,330.946243407743,382.954260994607,16.0914243615415,1.16515061749455,1079.10382410774,0.0529618029738237,1809.3138652921,25.7219769555299,1.4301761409897,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"24",24,221.777936459491,277.345303923068,357.234426817855,17.3450562136647,1.39610093570754,1220.29097730364,0.0689473465740648,1872.68081254051,29.0694464410362,1.7411195263402,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"25",25,176.07779181394,226.329317764577,322.941675042839,18.1930720810496,1.63196973662039,1350.19706626451,0.0878562964648171,1918.38095718606,32.1429291063091,2.07161037677083,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"26",26,143.326853651345,180.964347897082,284.215306088211,18.6286364024782,1.86504055206232,1466.34886288846,0.10970152036008,1951.13189534865,34.8840616601787,2.41399661528424,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
