"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,38774.07943,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"2",2,37194.7416491413,1472.32787859126,100.680599948184,0.00136722083123086,0.00000157754732879139,7.32793350306764,0.0000000177694209988202,1579.33778085866,0.00139912716622667,0.00000159531674979021,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"3",3,677.414942202421,31740.0937750121,5644.24639834232,0.131890411922148,0.000210987521096793,713.192210049536,0.00000299413307669137,38096.6644877976,0.136170045005618,0.000213981654173484,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"4",4,0.000000658832708102841,22080.2586663912,12320.9129799458,0.778020169796595,0.00277115713068308,4373.12691598652,0.0000756906913158911,38774.0794293411,0.834957126236575,0.00284684782199897,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"5",5,-0.00000000975877060573192,15030.3141894178,14167.8657133244,1.62155115098161,0.00988562037765681,9575.26764456234,0.000445933836149262,38774.0794300097,1.82818223525774,0.0103315542138061,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"6",6,0.00000000553996794308551,10231.322958632,13579.35915156,2.39733794388317,0.0215575048546155,14961.9770173244,0.0014070292694098,38774.0794299944,2.85662862636368,0.0229645341240253,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"7",7,-0.000000328269293416584,6964.59458855262,11922.3155827685,2.99799397006728,0.0367145004661338,19885.131337132,0.00321340456541039,38774.0794303282,3.79655207069817,0.0399279050315442,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"8",8,0.00000022935027470494,4740.89177030798,9939.07752686136,3.39920900789493,0.0539811348283184,24091.6509022414,0.00604021721508124,38774.0794297706,4.59963604876292,0.0600213520433997,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"9",9,0.0000000630803196532895,3227.18726623186,8006.87410617734,3.61675521091904,0.0720566492716488,27537.3192679452,0.00997772228698652,38774.0794299369,5.25744264209175,0.0820343715586354,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"10",10,-0.00000000985665946726556,2196.79053016426,6295.29291700376,3.68258150574758,0.0898728531437938,30279.2084867855,0.0150416974760565,38774.0794300098,5.78087251814459,0.10491455061985,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"11",11,-0.00000000194407520933398,1495.38296130418,4860.43092819612,3.63218098654826,0.106635048531938,32415.5055347796,0.0211896869083519,38774.0794300019,6.18867569535406,0.12782473544029,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"12",12,0.0000000241702156673832,1017.92550923741,3700.06575220593,3.49845601095754,0.121805819185231,34053.4395689298,0.0283377725634919,38774.0794299758,6.50132784593201,0.150143591748723,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"13",13,0.0000000241508885961691,692.914429176769,2785.18631330267,3.30921327846089,0.135064707665797,35293.4980340445,0.036375465738639,38774.0794299758,6.73801674654962,0.171440173404436,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"14",14,-0.00000000342532029171454,471.675339275722,2077.32464291295,3.08658589950162,0.146261757729572,36222.8014223384,0.0451778191048761,38774.0794300034,6.91537743619059,0.191439576834448,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"15",15,-0.00000000156565235014907,321.074906465729,1537.55113035811,2.84740011150027,0.155373629154147,36913.3960047533,0.0546146837953722,38774.0794300015,7.04716637049066,0.209988312949519,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"16",16,0.0000000213192845621575,218.559888060913,1130.69138997192,2.60393512807283,0.1624660068976,37422.9971934009,0.0645574099520432,38774.0794299786,7.1444034650657,0.227023416849643,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"17",17,-0.000000000632970709978998,148.776484751442,826.897325177603,2.36478374294544,0.167663261303121,37796.798289639,0.0748834283417854,38774.0794300006,7.21571753584356,0.242546689644906,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"18",18,-0.00000000322988199138003,101.274040871975,601.83079684281,2.13566430584427,0.171125113118146,38069.5823237184,0.0854791510793852,38774.0794300032,7.2677495897949,0.256604264197531,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"19",19,-0.00000000121834133689785,68.9385386203556,436.188516356729,1.92012465099851,0.173029283374736,38267.7629794777,0.0962416120068495,38774.0794300012,7.30554255863023,0.269270895381586,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"20",20,-0.000000000825595601342838,46.927339862596,314.967926044385,1.72011949279487,0.173559083989766,38411.1834063361,0.107079180920725,38774.0794300008,7.33288479100469,0.280638264910491,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"21",21,-0.000000000308835316747246,31.9439991547233,226.688732742731,1.53646687616508,0.172894882259177,38514.6194247159,0.117911628554286,38774.0794300003,7.35259709243434,0.290806510813463,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"22",22,-0.000000000277673454215021,21.7446737973435,162.673159336506,1.36919892647282,0.171208516354847,38588.992519669,0.128669754598202,38774.0794300002,7.36676434553381,0.299878270953049,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"23",23,-0.000000000274121392894614,14.8018677267451,116.426659105138,1.21782526241699,0.168659893716075,38642.3251232732,0.139294739071092,38774.0794300002,7.37691791816033,0.307954632787167,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"24",24,-0.000000000186166245329593,10.0758068224163,83.1283715572197,1.08152646875644,0.165395172641141,38680.4785926464,0.149737332728941,38774.0794300002,7.3841765761581,0.315132505370083,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"25",25,-0.000000000160560935953295,6.85872406048944,59.2244745241894,0.959293374277136,0.1615460523123,38707.7154350181,0.159956970753645,38774.0794300001,7.38935383559606,0.321503023065946,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"26",26,-0.000000000147327411592484,4.66881698500041,42.1105242161743,0.850025163644269,0.157229816714931,38727.1229129512,0.169920867375419,38774.0794300001,7.39303884545128,0.32715068409035,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"27",27,-0.000000000137721348733135,3.17811988279325,29.8875041962698,0.752596684219286,0.152549872410128,38740.9290562348,0.179603129652973,38774.0794300001,7.3956567254813,0.332153002063101,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"28",28,-0.00000000013138270228363,2.16338456489967,21.1768610480499,0.66590317934088,0.147596588401079,38750.7367007042,0.188983915212056,38774.0794300001,7.39751325160359,0.336580503613135,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"29",29,-0.000000000127091534931774,1.4726422200688,14.9817496146827,0.588888691581807,0.142448303467462,38757.695652522,0.198048648286476,38774.0794300001,7.39882772666058,0.340496951753938,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"30",30,-0.000000000124142448687462,1.00244540711883,10.5838164960533,0.520562860451006,0.137172406982852,38762.6286455281,0.20678730141079,38774.0794300001,7.39975702832387,0.343959708393643,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"31",31,-0.000000000122101705048946,0.682376682197123,7.46698580485692,0.460009615835755,0.131826429726599,38766.1230377222,0.215193745243508,38774.0794300001,7.4004131152379,0.347020174970107,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"32",32,-0.000000000120683002077988,0.464502050735865,5.26152310262924,0.406390338586608,0.12645910322847,38768.5972902392,0.22326516575311,38774.0794300001,7.40087571821822,0.34972426898158,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"33",33,-0.000000000119693785245012,0.316192194548447,3.70319561400365,0.358943347362532,0.121111362039643,38770.3489859362,0.231001545929938,38774.0794300001,7.40120150675416,0.352112907969581,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"34",34,-0.000000000119002769227811,0.215235861812021,2.60359356961446,0.316981039519076,0.115817274436298,38771.5893970468,0.238405207955026,38774.0794300001,7.40143068734556,0.354222482391324,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"35",35,-0.000000000118519561039575,0.146513647674824,1.82864931555837,0.279885622690895,0.110604894708594,38772.4682961084,0.245480411109661,38774.0794300001,7.401591739056,0.356085305818255,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"36",36,-0.000000000118181503207541,0.0997336140732193,1.28314300581761,0.247104087519379,0.105497035354106,38773.0917192569,0.2522330004478,38774.0794300001,7.40170480355752,0.357730035801907,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"37",37,-0.000000000117944969399033,0.0678900508235005,0.899563493774489,0.218142862891587,0.10051196087456,38773.5346515305,0.258670101268134,38774.0794300001,7.40178410574547,0.359182062142694,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"38",38,-0.000000000117779492913569,0.0462135998092596,0.630118679367362,0.192562448279503,0.0956640069727497,38773.8500714111,0.264799854580247,38774.0794300001,7.40183967933944,0.360463861552996,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"39",39,-0.000000000117663763055728,0.0314581668089661,0.441028907739799,0.169972207853529,0.0909641301402273,38774.0753753985,0.270631189085585,38774.0794300001,7.40187859236977,0.361595319225812,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"40",40,-0.000000000117582858668111,0.0214139564638552,0.30844999905761,0.150025445093579,0.0864203931947027,38774.2369465808,0.276173625471122,38774.0794300001,7.40190581841008,0.362594018665825,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
"41",41,-0.00000000011752632736094,0.0145767479315604,0.215572186750798,0.132414817504019,0.0820383926087763,38774.3533907461,0.281437109191472,38774.0794300001,7.40192485350898,0.363475501800248,"Malawi","Chiradzulu","TA Likoswe",168,38775.07943,1,"Pediatrics",74443.663293
