time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Total_Susceptible,Total_Exposed,Total_Infected,Total_Hospitalizations,Total_Critical,Total_Recovered,Total_Dead,Total_New_Incidence,Total_New_Hospitalization,Total_New_Critical,Population
13,14738.62045,1,0,0,0,0,0,0,0,0,1639.22489,0,0,0,0,0,0,0,0,0,16854.00354,0,0,0,0,0,0,0,0,0,33231.848880000005,1,0,0,0,0,0,0,0,0,33232.84888
14,44081.04227712064,3.853279992044168,0.228164283360868,3.7360842458050974e-4,4.467308835270773e-6,0.03476049805459866,3.016595379860164e-8,0.11658287935900383,4.0663587208066465e-4,4.612867629217386e-6,4847.560263371095,0.011094762921700424,0.0014762727038137478,7.086129649348286e-6,1.1095874585279618e-7,1.3839448823696273e-4,1.7027519078880902e-9,0.012716628904898244,7.544193854449299e-6,1.1381823626520229e-7,50254.65635042198,0.04675663707045455,0.0061241726384929996,5.485737033084986e-8,1.7197066242425234e-10,5.987132741924082e-4,4.416767123989284e-13,0.05347957801292263,5.8385118921814695e-8,1.7638742954824162e-10,99183.25889091371,3.9111313920363227,0.23576472870317475,3.807494116001889e-4,4.578439551785993e-6,0.03549760581702803,3.186914738320213e-8,0.1827790862768247,4.1423845105403574e-4,4.726862252912136e-6,99187.44167
15,44080.55848630389,3.317986987175923,1.054737563981305,0.0023113557077429265,4.257229592267627e-5,0.22529471583637078,5.011182490250321e-7,0.6003736961155135,0.0026335541433868768,4.4990140123722183e-5,4847.508599092674,0.05340196747961718,0.009498266928598275,6.88869033518548e-5,1.8407874775820895e-6,0.0014098926116327733,5.2616672476296945e-8,0.06438090732735013,7.665928163419331e-5,1.929148626082727e-6,50254.43224199574,0.2309992915544202,0.04036744124369995,5.457134844306767e-7,2.913359980893777e-9,0.00622072280838389,1.3888772828238116e-11,0.2775880042472373,6.067584386141997e-7,3.052247709176159e-9,99182.4993273923,3.6023882462099603,1.1046032721536032,0.002380788324579212,4.4415996760239255e-5,0.23292533125638745,5.537488102741574e-7,0.9423426076901009,0.002710820183459684,4.692234099751409e-5,99187.44167
16,121765.15922839826,3.9744061993938526,1.5691660736285935,0.005726920868649087,0.00016832060932700429,0.6024110787206002,3.008525162893774e-6,1.151881601746185,0.007036504124288934,1.8283502409007993e-4,24650.239974332857,0.08992133746636466,0.02527644501837155,2.789232875403962e-4,1.0997100398747004e-5,0.0060175073245370735,4.569462183046492e-7,0.12150566714343072,3.2638853854624806e-4,1.1764470056629064e-5,172153.67094449123,0.406410352905756,0.11077510230493698,2.26336816702059e-6,1.777621819978628e-8,0.027097772270533064,1.2281767409401943e-10,0.544285508748429,2.64345606583512e-6,1.9004394940726473e-8,318569.0701472224,4.4707378897659735,1.705217620951902,0.006008107524356503,1.7933548594395107e-4,0.6355263583156703,3.465594198872517e-6,1.8176727776380448,0.007365536118901017,1.9461849854164972e-4,318575.88782
17,141557.29363387576,6.62104722464831,2.117275958954448,0.009971349794168445,4.0562266839934093e-4,1.1306757832360885,1.018494243296949e-5,1.8793861242438468,0.013226680080560771,4.547620647646538e-4,26830.60766174812,0.14681981471501673,0.04891704116443026,6.998153401465368e-4,3.727283082282657e-5,0.01594219646397882,2.1113760980184096e-6,0.21241825189049318,8.644226683422488e-4,4.081856151199815e-5,194729.79293353885,0.6362661052821135,0.21442062595285521,5.7464707861669736e-6,6.120814925215007e-8,0.072693921626501,5.767858302363091e-10,0.923386461117191,7.085990937257238e-6,6.697600755451318e-8,363117.69422916276,7.4041331446454395,2.380613626071734,0.010676911605101149,4.429567073714196e-4,1.2193119013265683,1.2296895316818134e-5,3.015190837251531,0.014098188739840277,4.956476022842064e-4,363128.70941999997
18,151400.54682318273,7.87478396417902,3.1330776457906913,0.015687742252551113,7.771787732341392e-4,1.8865751281842538,2.5158103486024077e-5,2.910926817283235,0.022110074695133892,8.986150488699496e-4,28018.122524801805,0.21704589229952273,0.0826239580856651,0.001411082822317365,9.372024530685995e-5,0.0337137938440232,6.7509182730890364e-6,0.3348951982151082,0.0018326270790010083,1.0505730604159454e-4,206265.17371757815,0.939901748743402,0.3592469319774676,1.1497134012526601e-5,1.535138022560169e-7,0.15356208855269762,1.8560123192176289e-9,1.4527224217773944,1.493861252149046e-5,1.7207392544819314e-7,385683.84306556266,9.031731605221944,3.574948535853824,0.017110322208881007,8.710525323432551e-4,2.0738510105809747,3.191087777143233e-5,4.698544437275738,0.02395764038665639,0.0010038444288369924,385698.54161
19,206443.55909462928,13.074329100854385,4.200326211959954,0.023220315141516904,0.0013258124625847212,2.938762002436609,5.192787365472991e-5,4.238015370728703,0.034471875191450056,0.0015766239218132205,38951.37080812276,0.29756094369092956,0.12678619873336527,0.0024877237864385023,1.9702336721022016e-4,0.06219276329284314,1.7224398222888987e-5,0.48924187726900936,0.0033883064009070573,2.2594857310509155e-4,283465.630586363,1.3053515586450435,0.55172391401529,2.0105275305640574e-5,3.1909757129102164e-7,0.2825177351239152,4.719365552493031e-9,2.1396136368764913,2.7431099841959606e-5,3.662912268159519e-7,528860.5604891151,14.677241603190357,4.878836324708609,0.02572814420326105,0.0015231549273662323,3.283472500853367,6.915699124317139e-5,6.866870884874203,0.03788761269219907,0.0018029387861451282,528883.42736
20,213961.29524241836,12.617129508416241,6.203622217997249,0.03378565623221643,0.002103932377940257,4.4371306132155,9.565342217826012e-5,6.293867581661324,0.05207951350512221,0.002566215653147631,39773.373297094375,0.43776446370208916,0.18794782095153215,0.004020518449690368,3.664827965600509e-4,0.10489590182569913,3.771792526690792e-5,0.7350329056508376,0.005723299856218133,4.29822241119286e-4,292024.63509949605,1.9074196107928392,0.8183464686302658,3.2349621010034186e-5,5.870627784234248e-7,0.4759514775404506,1.0258548708306377e-8,3.201750503905893,4.6142586320163956e-5,6.896482655064885e-7,545759.3036390088,14.962313582911168,7.209916507579047,0.03783852430291683,0.0024710022372787313,5.017977992581651,1.3338160599387635e-4,10.230650991218054,0.057848955947660506,0.0029967275425324237,545786.53429
21,232793.23109532762,12.5116599092191,7.643588022185502,0.046995781734543836,0.003191927938049522,6.418195688198052,1.6334314263123496e-4,8.623794672417876,0.07535680227356639,0.003981757742797652,44633.42947416126,0.5663596103972641,0.2672161728552655,0.006166868062569296,6.27270866776747e-4,0.16714186926811714,7.404731687274288e-5,1.0075858387668652,0.009129253601523791,7.51616392954038e-4,321274.4342430865,2.5039652708238065,1.167694630467752,4.948281881055282e-5,9.957128895194014e-7,0.7579765136669484,1.998104547025421e-8,4.429686913471253,7.339328569499169e-5,1.1955233442219434e-6,598701.0948125754,15.58198479044017,9.078498825508518,0.05321213261592368,0.0038201945177157885,7.3433140711331175,2.3741044054944807e-4,14.061067424655993,0.08455944916078519,0.0047345696590959125,598733.15588
22,251521.7162354633,12.662169749466779,8.734421316323797,0.06096918635295099,0.004605875461021846,8.75558506987719,2.633392598871232e-4,11.218014536741626,0.10282250966884339,0.005879772430069064,49468.31457852408,0.6983581000785437,0.35918792522484255,0.008990000917850604,0.0010086534884389525,0.2530926986925657,1.340975547837748e-4,1.320771475957025,0.013832653965511945,0.0012338370708502154,350366.0253644174,3.1080837644289225,1.5794940557491808,7.215913776337101e-5,1.5905992418455563e-6,1.149103976708957,3.592752775245537e-8,5.836755582551593,1.1115662815077321e-4,1.9498745193701104e-6,651356.0561784047,16.468611613974243,10.673103297297821,0.07003134640856497,0.005616119548702644,10.157781745278713,3.9747274219865047e-4,18.375541595250244,0.11676632026250611,0.007115559375438649,651393.43172
23,251518.8609779441,12.002316384739338,9.617385900268822,0.0747635844698885,0.006315941969960091,11.372086531996578,4.037124532093605e-4,14.073272055897794,0.13359320508184327,0.008269593778891141,49467.95968613699,0.833854942026068,0.4615579803457683,0.01249867420266008,0.0015386478804374532,0.3659857147544088,2.2790383114961607e-4,1.675663863040492,0.020013188309125355,0.0019213520509842005,350364.4377413582,3.719161041671054,2.0399914101659,1.004815827291177e-4,2.415986579038414e-6,1.66512323167381,6.070723274799094e-8,7.424378641787305,1.609427608594842e-4,3.0230589065183237e-6,651351.2584054393,16.55533236843646,12.11893529078049,0.0873627402552777,0.007857005836976582,13.403195478424797,6.316769915917246e-4,23.173314560725593,0.1537673361518281,0.01019396888878186,651393.43172
24,259435.36547390494,12.643297233389694,10.158111108940908,0.08757937216538886,0.008269935779607966,14.188296996298623,5.914485089235953e-4,17.086146095083144,0.16673054281553287,0.011133017643317571,51512.064282815634,0.9500169723664592,0.5695610275643422,0.016660560447079236,0.002242175473275633,0.5082289652522638,3.674832968399938e-4,2.0470771844002598,0.02780724924827529,0.002859261046417797,362664.16854434577,4.281085930305626,2.5314127625667426,1.3416899227195394e-4,3.5098641903410578e-6,2.317669185049348,9.74473741841835e-8,9.130305654225554,2.238557509156118e-4,4.4843379321828926e-6,673611.5983010663,17.87440013606178,13.259084899071992,0.10437410160474005,0.010515621117073938,17.014195146600237,9.590292531377732e-4,28.263528933708958,0.19476164781472377,0.013996763027667551,673659.86183
25,383340.5853663634,18.345222811790645,10.731860542875735,0.09924496613351917,0.01040099167363314,17.16445239133998,8.319328336091374e-4,20.35201363664712,0.20176910850559185,0.014429461709747052,80174.31894964958,1.0739453648979325,0.6805983761938633,0.021385228568575377,0.0031377645405641728,0.680917122769601,5.664934841265033e-4,2.460550350454663,0.03727672554788979,0.004089024579353566,552457.3941012147,4.856199598406374,3.0420235733729406,1.7258297274313133e-4,4.90004896246762e-6,3.1133979808434473,1.4968999963591677e-7,11.011798785334468,3.005219519196671e-4,6.396948958826788e-6,1015972.2984172277,24.275367775094953,14.454482492442539,0.12080277767483767,0.013543656263159782,20.95876749495303,0.0013985760077352765,33.82436277243625,0.2393463560054013,0.018524883238059446,1016032.12278
