"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,9785.866245,0,1,0,0,0,0,0,0,0,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"2",2,9784.23887140162,1.32747662399616,0.919857133190362,0.00857851727560232,0.000103699227265912,0.37135701530394,6.09389569775043e-07,1.6273735983829,0.0093231803287316,0.000106675360814563,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"3",3,9782.27698244056,2.49789824045182,1.26740009115574,0.01733852164161,0.000389609899508543,0.806231540019783,4.5562728390716e-06,3.5892625594413,0.0202135835451751,0.000411861800633422,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"4",4,9779.36723003259,4.06219826052768,1.95428747566193,0.0296478675762383,0.000889118579830678,1.45197713644229,1.5108625320991e-05,6.49901496741329,0.0363695746261826,0.000962906004036827,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"5",5,9774.81711197656,6.45768007698787,3.07870144562257,0.0485227413982309,0.0017004962550204,2.46249160366805,3.66595180214487e-05,11.0491330234498,0.0616431037595099,0.0018795338146906,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"6",6,9767.635671395,10.223289067781,4.8675595023022,0.0780712610907375,0.00299379604909984,4.05858411530106,7.58624839168228e-05,18.2305736050081,0.101556202345705,0.0033642928456764,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"7",7,9756.28902433441,16.1660091590458,7.69843504273976,0.12459773074558,0.00504285921609823,6.58299277774226,0.000143096104948111,29.5772206655944,0.1646785907539,0.00574171121445867,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"8",8,9738.3734628633,25.5403627673626,12.1708753237043,0.197993959287857,0.00828253251668864,10.5750128709582,0.000254682871963643,47.4927821367016,0.264494056841987,0.00952635137594068,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"9",9,9710.12789360055,40.3003273773123,19.2264564044117,0.313816197335147,0.0134004104016509,16.8839146505288,0.000436359468464356,75.738351399458,0.422236121705392,0.0155315004592761,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"10",10,9667.71839873338,61.7807916137198,30.0446290840236,0.495523158360509,0.0214751637218752,26.8046985392463,0.000728707560147563,118.147846266632,0.67027683149007,0.0250340218390417,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"11",11,9602.19451093046,95.1136394824072,46.5265074599199,0.776577791650737,0.034141731597185,42.2196724107278,0.00119519324973239,183.671734069552,1.05565575797444,0.0399788100508947,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"12",12,9501.83154685838,145.982506493207,71.7498033343041,1.20909168430346,0.053870628510726,66.0374922288711,0.00193377243606003,284.034698141632,1.65106979529191,0.063314776077181,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
"13",13,9349.4700438465,222.620443880371,110.133302186046,1.87224788892156,0.084425379365002,102.682686995584,0.00309482322045886,436.396201153508,2.56710053279394,0.0995398605940632,"Malawi","Ntchisi","TA Nthondo",101,9786.866245,"Adults",28838.763812,100
