"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,38019.05358,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"2",2,38018.5422763265,0.420748910011267,0.760117068334048,5.7783525919926e-05,1.89045969763745e-07,0.33037971847646,4.10055458893676e-09,0.511303673494219,6.16464564069796e-05,1.93146524352682e-07,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"3",3,38018.1155310267,0.639631200582896,0.692186101713502,9.9313517921137e-05,6.59818956177373e-07,0.606131668196075,2.94341745471393e-08,0.938048973263525,0.000113098580535627,6.89253130724512e-07,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"4",4,38017.7037023292,0.777422511696305,0.700066774717131,0.000134326084853413,1.3306183043976e-06,0.872252636974503,9.07163025586553e-08,1.3498776708074,0.000162752776992538,1.42133460695626e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"5",5,38017.2753718077,0.885471477202981,0.74352375718078,0.000167120100117084,2.1647032734771e-06,1.14904347390684,1.99150191590775e-07,1.77820819224419,0.000214397169418441,2.36385346506788e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"6",6,38016.8150440148,0.985880050455534,0.805935496282521,0.000199701088607817,3.14559746034104e-06,1.44651722741057,3.64356359157707e-07,2.23853598519106,0.000269900164997792,3.50995381949875e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"7",7,38016.3137207067,1.08845522879477,0.880676857313029,0.000233109531889357,4.26660148023923e-06,1.77048923571922,5.95265313288713e-07,2.7398592932257,0.000330346867759916,4.86186679352794e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"8",8,38015.7649038949,1.19786278257934,0.96537925264882,0.000267983262214353,5.52631678822195e-06,2.12515965972921,9.00569104875971e-07,3.28867610510547,0.000396520980076312,6.42688589309792e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"9",9,38015.1628844885,1.316652513002,1.05951070388698,0.000304797083000055,6.92671893044192e-06,2.51421928179201,1.28898416337984e-06,3.89069551146708,0.00046911114487649,8.21570309382175e-06,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"10",10,38014.5019948489,1.44653857936125,1.1633598460722,0.000343965944638906,8.47232386158293e-06,2.94133251799326,1.76943268374956e-06,4.5515851511279,0.000548801075545556,1.02417565453325e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"11",11,38013.7762657423,1.58894401560527,1.27761267776063,0.00038589056618085,1.01698300241297e-05,3.41035915275941,2.35118822702712e-06,5.27731425770974,0.000636310931203987,1.25210182511568e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"12",12,38012.9792439842,1.74524068558444,1.40317736634925,0.000430979351891854,1.20279816566538e-05,3.92547191247914,3.04401351532428e-06,6.0743360157599,0.000732419255331416,1.50719951719781e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"13",13,38012.0804408706,1.93643700004586,1.54452943994119,0.000479741790785664,1.40576314695687e-05,4.49167503175238,3.85826583824886e-06,6.97313912942752,0.000838059736942015,1.79158973078176e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"14",14,38011.0896885022,2.14321795488562,1.70430363971628,0.000532949018161861,1.62729613262175e-05,5.11581587610217,4.80508622243943e-06,7.96389149776978,0.000954509969135,2.1078047548657e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"15",15,38009.9958777447,2.36982544123705,1.88236159977006,0.000591307060832329,1.8691867701934e-05,5.804899318676,5.89662517478425e-06,9.05770225523683,0.00108307691836669,2.45884928767183e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"16",16,38008.7875779897,2.61943543211106,2.07975026854448,0.000655475447500205,2.13352455550186e-05,6.56613235272508,7.14624460650525e-06,10.2660020103183,0.00122510525073068,2.84814901615238e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"17",17,38007.4525165819,2.8949188364876,2.29813161165158,0.000726129960453722,2.42267482412843e-05,7.40725404457818,8.56869872005521e-06,11.6010634181248,0.00138203889968051,3.27954469613396e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"18",18,38005.9772848193,3.19917895854966,2.53955356681314,0.000803993093265997,2.73928228885378e-05,8.33672108914459,1.01803068974317e-05,13.0762951807305,0.00155545568898539,3.75731297859696e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"19",19,38004.3471264026,3.53531229449793,2.80636767753949,0.000889851527623524,3.08628915113432e-05,9.36384091186034,1.1999140485398e-05,14.7064535974574,0.00174709216755835,4.28620319967411e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"20",20,38002.5222494195,3.92634308709834,3.10462598126129,0.000984649990408336,3.46696853094924e-05,10.4993281473182,1.40451873557176e-05,16.5313305805409,0.00195894744371254,4.871487266521e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"21",21,38000.5020899623,4.35522258103179,3.43873433873205,0.00108965674788307,3.88507858581436e-05,11.7563882697538,1.63406456717843e-05,18.5514900376971,0.00219348537848162,5.51914315299279e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"22",22,37998.2640616429,4.8286456730163,3.81050728678365,0.00120614226214233,4.34492671885804e-05,13.1490968955706,1.89102281305792e-05,20.789518357128,0.00245333216852552,6.23594953191596e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"23",23,37995.7839897625,5.35251193772776,4.223149487826,0.00133540293883138,4.85133202923111e-05,14.6925231142231,2.17815007242967e-05,23.2695902375367,0.00274129935916354,7.02948210166078e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"24",24,37993.0354531989,5.93271504236293,4.68071301382221,0.00147882980897491,5.40963372171721e-05,16.4031408336017,2.49852022269775e-05,26.0181268011353,0.0030604605978579,7.90815394441496e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"25",25,37989.9893356995,6.57551497335196,5.1878929354232,0.0016379465538628,6.02572937168305e-05,18.299109632292,2.85555804519938e-05,29.0642443004952,0.00341420403723929,8.88128741688244e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"26",26,37986.613413511,7.28773732310833,5.74998173946804,0.00181443697081171,6.70613745884979e-05,20.4005333972637,3.25308064645215e-05,32.440166488992,0.0038062805918721,9.95921810530194e-05,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"27",27,37982.6787622349,8.23841019665447,6.40092688805657,0.00201083894953173,7.45814129158937e-05,22.7333583068303,3.69532033942552e-05,36.3748177651072,0.00424153127573471,0.000111534616310149,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"28",28,37978.2867279253,9.26708835984253,7.15977479529837,0.00223184766663851,8.29087446804279e-05,25.337632292887,4.1870288629554e-05,40.7668520747279,0.00472742833283815,0.000124779033309982,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"29",29,37973.3694883106,10.4051036269173,8.02268293317948,0.00248164220929869,9.21567378710733e-05,28.2536839943786,4.73359659100249e-05,45.6840916893884,0.00527149628492065,0.000139492703781098,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"30",30,37967.8583090446,11.674701817665,8.99524525156405,0.0027640158779395,0.000102455661381648,31.5224040028704,5.34117659316238e-05,51.1952709554048,0.00588136442420494,0.000155867427313272,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
"31",31,37961.6791973242,13.0954726930431,10.0878112780331,0.00308287351044529,0.000113951052019635,35.1878417123126,6.01678411756943e-05,57.3743826757925,0.00656525137435187,0.000174118893195329,"Malawi","Kasungu","TA Njombwa",100,38020.05358,"Pediatrics",67366.2561,20
