"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,38849.11816,0,1,0,0,0,0,0,0,0,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"2",2,38847.593254444,1.26242123596363,0.9112780167986,0.0081574649423816,0.0000744185332030481,0.342974094067193,0.000000325706491585465,1.5249055560115,0.00868590504804134,0.0000760124677183855,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"3",3,38845.8723556571,2.30076566628368,1.19746962913779,0.0164405392920642,0.000282554616785664,0.730843492184839,0.00000246132516867039,3.24580434284033,0.0184886025753537,0.000294599790097118,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"4",4,38843.4426657922,3.60813218804878,1.76014937155874,0.0275718726714343,0.000644265473255352,1.27898831861455,0.00000819137332359374,5.67549420774008,0.03232950215936,0.00068435221701331,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"5",5,38839.8122079903,5.50947839190639,2.65297276324254,0.0438574012081547,0.00121985857714969,2.09840377223137,0.0000198224929777021,9.30595200965858,0.0530122743254184,0.00131686541168772,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"6",6,38834.3222465399,8.36836141665432,4.01927154803172,0.068235032534852,0.00211063531268452,3.33789414370399,0.0000406838356249312,14.7959134600732,0.0842923389646928,0.00230973287903399,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"7",7,38826.0008743919,12.6963221183367,6.09526081400876,0.104987023881584,0.0034737724207734,5.2171661463039,0.0000757331236370337,23.1172856080753,0.131713318717567,0.00384439334125851,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"8",8,38813.3835970694,19.2560949528035,9.24469048483445,0.160551312873113,0.00554918243537558,8.06754456948453,0.000132428181239932,35.7345629306122,0.203634754926122,0.00619725625132621,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"9",9,38794.2554641993,29.1981602924034,14.0202345722372,0.244667173941588,0.00870151791005002,12.3907102116,0.000222032557983872,54.8626958006502,0.312714197646645,0.00978809544793211,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"10",10,38765.2669249741,44.2599338592283,21.2587385404144,0.372081682422186,0.0134841827270147,18.9466351719295,0.000361589183084256,83.8512350259044,0.478125824489659,0.015253719086223,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"11",11,38721.3597435293,67.0610769292187,32.2249426280652,0.565114469572703,0.0207362357599208,28.8859693012905,0.000576906786757573,127.758416470694,0.728900474620389,0.023559488176749,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"12",12,38654.9128176946,101.539694730552,48.8262458528787,0.85751202700222,0.0317287981245053,43.9492538162084,0.000907080653097415,194.205342305419,1.10895158248838,0.036167847386707,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"13",13,38554.4855705371,153.587362776133,73.930074291713,1.30020745211516,0.0483853734263427,66.7651482492181,0.00141132030418905,294.63258946291,1.68459888265864,0.055292058442331,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"14",14,38402.9976811635,231.953783089314,111.826641611895,1.96987175335235,0.0736123939821222,101.294390735787,0.00217925209953314,446.120478836431,2.55576818973236,0.0842771649609221,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"15",15,38175.1627826278,349.486923247947,168.888301072265,2.98145343227988,0.111791841677667,153.483561367574,0.00334641038146544,673.955377372124,3.87248272378358,0.128168423499959,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"16",16,37834.0251935378,524.724030469668,254.475154441935,4.50623719116203,0.169508917557056,232.212918006202,0.0051174355995327,1015.09296646212,5.85876982839586,0.194552499563684,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
"17",17,37407.4242226655,715.444842720254,370.991574875915,6.76257391245234,0.256455340883786,349.230690338998,0.00780014597295973,1441.69393733447,8.81082987540051,0.294627505738254,"Malawi","Salima","TA Khombedza",159,38850.11816,1,"Adults",114194.42337
