"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,200.2937968,0,1,0,0,0,0,0,0,0,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"2",2,182.617689613874,15.197280459029,2.88708406449305,0.0649084754068967,0.000954876976328186,0.525868403964963,0.0000109062553798671,17.6761071861256,0.068200981629079,0.000973169959125277,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"3",3,118.804825382712,65.2049772164612,13.9387463024526,0.360305825139599,0.00724134316795575,2.97756866636689,0.000132063699991793,81.4889714172883,0.385554743438529,0.007462852651085,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"4",4,23.6957187812441,122.153733181572,41.7733427730229,1.44899751698415,0.0360574508395603,12.1851269697531,0.000820126584289736,176.598078018756,1.57564397423478,0.0374330431923254,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"5",5,0.877547609272858,100.649788692081,64.9857472482136,3.57593594702268,0.121963233605466,31.0792789941203,0.00353507568460957,199.416249190727,4.00863235887422,0.127892590330814,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"6",6,0.0138627667302847,69.158303041966,70.7742977983731,6.03646688504634,0.287347589890025,55.0126090486133,0.0109096693810935,200.27993403327,7.07055382093864,0.305646298966533,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"7",7,0.000218779110004463,47.0870578798489,66.28642173401,8.20411561110662,0.526776623648426,79.1633309810297,0.0258751912464206,200.29357802089,10.1331835529693,0.570176893663739,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"8",8,0.00000527851941818825,32.0529257509995,57.4499652763713,9.82245907657649,0.81975807016883,101.097849390929,0.0508339564358894,200.293791521481,12.8843999811533,0.905021495441851,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"9",9,0.000000232882533513787,21.8188191138673,47.4987812570081,10.8508763482391,1.14219918970343,119.895788252888,0.0873324054120653,200.293796567118,15.2108453574281,1.28868119788935,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"10",10,-0.000000131448530952115,14.8523461715957,38.0454313840107,11.3507162524487,1.47210818938455,135.437147871437,0.136047062572225,200.293796931449,17.1033032277083,1.70029893758787,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"11",11,-0.0000000742058672789289,10.1101776374715,29.7865218473171,11.4219514346431,1.79185681788223,147.9863763158,0.196912821091995,200.293796874206,18.6017354665818,2.12213726000464,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"12",12,-0.0000000108103795771783,6.88212003136443,22.9230304405395,11.1701992748917,2.0886344021489,157.960514878616,0.26929778325028,200.29379681081,19.7648315014103,2.54032561464204,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"13",13,-0.00000000374380340462991,4.6847464688537,17.4058119116847,10.6910891130258,2.35403769722114,165.805934817266,0.352176795692399,200.293796803744,20.653972653921,2.94474127427364,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"14",14,-0.0000000018629489263893,3.18896601654895,13.0748751214655,10.0642545045868,2.58331651478154,171.938102410915,0.444282233565589,200.293796801863,21.3255278088908,3.32850787263945,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"15",15,-0.00000000178951896652139,2.17076672013051,9.73514662441614,9.35237309213094,2.77455208361486,176.716733574565,0.544224706932069,200.29379680179,21.8277984277954,3.6873762248905,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"16",16,-0.000000000774825309255094,1.4776676060435,7.19516740222788,8.60261838579956,2.92789976453297,180.439859492538,0.650584149633552,200.293796800775,22.2004251286966,4.01911982520345,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"17",17,-0.000000000497961539905149,1.00586644669992,5.28471143573267,7.84905522120195,3.0449503092264,183.347238581253,0.761974806383985,200.293796800498,22.4749908896666,4.32300510801001,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"18",18,-0.000000000406652459151521,0.684705552925566,3.86071726749717,7.1152238835721,3.12822005529154,185.627841205449,0.877088835671266,200.293796800407,22.6761277956895,4.59935477785387,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"19",19,-0.000000000342662866296547,0.466087453928959,2.80730251301999,6.41652152086722,3.1807620231724,187.428400093363,0.994723195990837,200.293796800343,22.8227352565835,4.84920400241652,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"20",20,-0.00000000030300679149178,0.317271439251757,2.03299304749707,5.76223840324183,3.20587972421112,188.861620163027,1.11379402307478,200.293796800303,22.9291295862348,5.0740383353895,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"21",21,-0.000000000277319341633273,0.215970545090707,1.46694914755151,5.15721397048628,3.20692433163336,190.013396848863,1.23334195665313,200.293796800277,23.0060440507777,5.27559982199773,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"22",22,-0.000000000260176204091918,0.147013778557088,1.05511419661087,4.60313702052963,3.18715690586103,190.948843724944,1.35253117375737,200.29379680026,23.0614574410265,5.45574760287933,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"23",23,-0.000000000248521440362863,0.100074068983046,0.756719294400528,4.09953924736824,3.14965982642698,191.717160113645,1.47064424942451,200.293796800249,23.101258795571,5.61636072589653,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"24",24,-0.000000000240495311552263,0.0681216382090297,0.541308790301776,3.64453724901111,3.09728445332794,192.355470240811,1.5870744285799,200.293796800241,23.1297684773002,5.75927284517397,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"25",25,-0.000000000234919623343516,0.0463711808824382,0.386310614585134,3.23537505940122,3.03262477878474,192.891798706784,1.70131645979746,200.293796800235,23.1501395457335,5.88623049839162,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"26",26,-0.000000000231023663863095,0.0315654251181309,0.275106863808044,2.86881246813846,2.9580092061487,193.34734603228,1.8129568047383,200.293796800231,23.1646627034903,5.99886846405379,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"27",27,-0.000000000228291187823575,0.021486951400896,0.195532772751761,2.54139682449258,2.87550450053067,193.738211964413,1.92166378663979,200.293796800228,23.1749955615203,6.09869718825058,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
"28",28,-0.000000000226370395623699,0.0146264349092741,0.138727064265917,2.24964797084889,2.78692761013453,194.076689678976,2.02717804109175,200.293796800226,23.1823333779637,6.18709858914777,"Malawi","Zomba","TA Mkumbira",241,201.2937968,1,"Elderly",2847.9174755
