"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,26089.13279,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"2",2,26087.6079207865,1.26239015474447,0.911273333258527,0.00806013808918047,0.0000733654364925815,0.343071900658071,0.000000321318355213604,1.5248692135051,0.00858227383180461,0.0000749368157878612,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"3",3,26085.8871160916,2.30066403160748,1.19744618662057,0.0162442909574464,0.000278555386400635,0.731038415621653,0.00000242816056816594,3.24567390835412,0.0182679148701347,0.000290430093153364,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"4",4,26083.4576679269,3.60785644640104,1.76007553747814,0.0272424496993762,0.000635143100909572,1.27930441547841,0.00000808097503305846,5.67512207313291,0.0319432813350577,0.000674662402084195,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"5",5,26079.8278115151,5.50877722783974,2.65277211105007,0.0433326218871219,0.00120257497612671,2.09887439392874,0.0000195552365510682,9.30497848491835,0.0523781206698409,0.00129820814905958,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"6",6,26074.3393078952,8.36664025435134,4.01876115269414,0.0674166604533471,0.00208069997124377,3.3385432023306,0.0000401349935950394,14.7934821047943,0.083281904778608,0.00227697664491685,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"7",7,26066.0214085684,12.6921886528759,6.09400852976252,0.103723351965385,0.00342442494820821,5.21796176148044,0.0000747105353430325,23.1113814315678,0.130129397417388,0.00378979028284421,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"8",8,26053.4123086244,19.2463090682635,9.24168458857499,0.158608238687382,0.00547015882246283,8.06827868362274,0.000130637640479432,35.7204813756115,0.20117400938857,0.00610903077018307,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"9",9,26034.3032782545,29.1752152846563,14.0131210459119,0.241681376986572,0.00857713823011971,12.3906978753372,0.000219024338685875,54.8295117454607,0.308907347143564,0.00964825759005957,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"10",10,26005.3591056237,44.2065007171643,21.2420656355701,0.367483711109353,0.0132903389812022,18.9439872984394,0.000356675033982562,83.7736843762984,0.472240179094623,0.015034627019683,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"11",11,25961.5545110601,66.9372791706834,32.1861299767736,0.557998838490444,0.0204355598057073,28.8758663642711,0.000569029834023547,127.578278939858,0.719776871168993,0.0232183504090846,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"12",12,25895.3438822963,101.254073692714,48.7363593004839,0.846410082079881,0.0312627290915,43.9199072906739,0.00089460866643917,193.788907703709,1.09472240711089,0.0356377344810484,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"13",13,25795.4588094594,152.931005196988,73.7228073984522,1.28267450789095,0.0476607468728158,66.6884409797011,0.00139171064577938,293.673980540551,1.66218163600749,0.0544667859873393,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"14",14,25645.2093107815,230.452056799975,111.350717169976,1.94170659122814,0.0724779642314309,101.104372198532,0.00214849452004554,443.923479218464,2.51991942587579,0.0829849886514246,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"15",15,25420.1861949266,346.069911502028,167.800681609267,2.93517116641173,0.10999564268812,153.027537080986,0.00329807200237749,668.946595073383,3.81396682954677,0.126124575177622,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
"16",16,25085.380008735,517.007334980302,252.004584947448,4.42799584806301,0.166617789022535,231.141206739473,0.00504096065043766,1003.75278126496,5.76070513215285,0.191270165912588,"Malawi","Kasungu","TA Kapelula",148,26090.13279,1,"Adults",75132.450748
