"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,11646.85706,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"2",2,11646.2072800644,0.535178327174856,0.781228152310345,0.0000557709185076105,0.000000181629495064944,0.333317499655974,0.00000000393252511229698,0.649779935621703,0.0000594821589111553,0.000000185562020177241,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"3",3,11645.6383540868,0.836164752716736,0.757261474049328,0.0000981624659400452,0.000000641715915829017,0.625180853824353,0.0000000284371898518865,1.21870591320946,0.000111565528053663,0.000000670153105680903,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"4",4,11645.0945049233,1.02173850020294,0.814783211637819,0.000137110717037768,0.00000131723098065683,0.925894848250048,0.0000000886083232337745,1.76255507664714,0.00016522750311558,0.0000014058393038906,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"5",5,11644.4964272746,1.19376747022461,0.91006937655399,0.000176540738995394,0.00000218800543829005,1.25661695268101,0.000000197147843662149,2.36063272535189,0.000224243804634439,0.0000023851532819522,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"6",6,11643.8228674823,1.37399879465207,1.03087013723887,0.00021835968337278,0.00000325150095313551,1.62910160851157,0.000000366117918167006,3.03419251770476,0.00029071206079883,0.00000361761887130251,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"7",7,11643.0576388621,1.57318725275072,1.17365689289154,0.000263787413571086,0.00000451444527308561,2.05230808261685,0.000000607736540133447,3.79942113785449,0.000366231049835467,0.00000512218181321906,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"8",8,11642.1855392783,1.79790477987696,1.33864053311762,0.00031381217466638,0.00000598969739629143,2.53465467201431,0.000000934843235518589,4.67152072172419,0.00045230298730258,0.00000692454063181002,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"9",9,11641.1905500983,2.05333429470683,1.52778175506981,0.000369383673689903,0.00000769514490149367,3.08501541189733,0.00000136124131578466,5.66650990173387,0.000550511398035469,0.00000905638621727833,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"10",10,11640.0549301126,2.34444881780476,1.7440155099963,0.000431501177155542,0.00000965347452917387,3.7132225028925,0.00000190200548618154,6.80212988735073,0.000662610777462651,0.0000115554800153554,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"11",11,11638.8331199651,2.61428381043068,1.98020945706236,0.000501010363449416,0.0000118919146239223,4.42893129138915,0.0000025737691775988,8.02394003492943,0.000790324039479839,0.0000144656838015211,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"12",12,11637.4507963938,2.93154923404174,2.23535114733946,0.00057815380017145,0.0000144390492802744,5.23876723700212,0.00000339492988023459,9.40626360616265,0.00093483338338163,0.000017833979160509,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"13",13,11635.8925279415,3.29405468854929,2.51799455692932,0.00066356077613798,0.0000173241103309282,6.15179754249452,0.00000438568815826591,10.9645320585477,0.00109775674592186,0.0000217097984891941,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"14",14,11634.1383027003,3.70407175191062,2.8341093734295,0.0007582385273567,0.0000205796301843181,7.17979178806803,0.00000556815864357217,12.7187572997243,0.0012811943039145,0.0000261477888278902,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"15",15,11632.1645275358,4.16610555070668,3.18890108071359,0.000863429613780521,0.0000242430353707067,8.33663119344444,0.00000696663627550853,14.6925324641501,0.00148762304670483,0.0000312096716462152,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"16",16,11629.9442427489,4.68601850863182,3.58759432244088,0.000980564414589213,0.0000283575980037675,9.63818689003968,0.00000860793369857175,16.9128172510587,0.001719875048636,0.0000369655317023393,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"17",17,11627.4469487822,5.27072436114358,4.03580561656943,0.00111125535872828,0.0000329732500612787,11.1024264896851,0.0000105218061405498,19.410111217813,0.00198115648276485,0.0000434950562018286,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"18",18,11624.9109041033,5.70043005755228,4.50019776042673,0.00125638460119602,0.000038145584820761,12.7442208073422,0.0000127412274920369,21.9461558967347,0.00227412084745198,0.000050886812312798,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"19",19,11622.0997086691,6.22144316858388,4.96985661053055,0.0014144161642762,0.0000439239425104797,14.5645779089954,0.0000153026366816605,24.7573513308533,0.002598947748119,0.0000592265791921403,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"20",20,11619.0026159048,6.8138922937722,5.46832046727463,0.00158503700742874,0.0000503479962835091,16.5705777039725,0.0000182451721348251,27.8544440951952,0.00295690037579542,0.0000685931684183343,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"21",21,11615.5987238985,7.47251408125557,6.00806100391009,0.00176907290919993,0.0000574570512231653,18.7759128759817,0.0000216104037839136,31.2583361015115,0.00335042200934151,0.000079067455007079,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"22",22,11611.8612992873,8.19849710945275,6.59711808225064,0.00196788891774213,0.0000652948708567879,21.1980868946996,0.0000254424814850561,34.995760712673,0.00378263596457901,0.000090737352341844,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"23",23,11607.7594686617,8.99606214410594,7.24191448835436,0.00218314565235053,0.0000739118157631964,23.8573278598757,0.0000297884893136915,39.0975913382935,0.00425715175388828,0.000103700305076888,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"24",24,11603.2587855115,9.87104173049779,7.94846670934347,0.00241670543430715,0.0000833659005509953,26.77623127844,0.0000346988943453372,43.5982744885104,0.0047780013322338,0.000118064794896333,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"25",25,11598.3213107522,10.8303076718336,8.72291760983524,0.00267060216756478,0.0000937234387333213,29.9797194125115,0.0000402280448215679,48.5357492478314,0.00534963183866256,0.000133951483554889,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"26",26,11592.9054757358,11.8815555052144,9.57178647822831,0.00294703846072677,0.000105059563688664,33.4951437480618,0.0000464347072225256,53.9515842642361,0.00597692387895056,0.00015149427091119,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"27",27,11586.9658410064,13.033244061038,10.5020980177436,0.0032483948488585,0.000117458740590997,37.3524576785924,0.000053382633892378,59.8912189935973,0.00666522233852601,0.000170841374483375,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"28",28,11580.4528026408,14.2945978037834,11.521463897359,0.00357724423473677,0.000131015318743047,41.5844262574006,0.0000611411600350655,66.4042573592565,0.00742037381029901,0.000192156478778112,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"29",29,11573.3122595194,15.6756375522784,12.6381455395504,0.00393636930645442,0.000145834154254002,46.2268653994611,0.0000697858443028071,73.544800480595,0.0082487692775906,0.000215619998556809,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
"30",30,11565.485255562,17.1872251615112,13.8611073431259,0.00432878159850663,0.000162031299626748,51.3189017213596,0.0000793991444337842,81.3718044380392,0.00915739047971728,0.000241430444060533,"Malawi","Nsanje","TA Malemia",179,11647.85706,"Pediatrics",20123.428728,1
