"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,108195.5929,0,1,0,0,0,0,0,0,0,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"2",2,108194.943051601,0.535235787228325,0.7812378716675,0.0000586762098243149,0.000000191090783596419,0.333315869147271,0.0000000041373715839621,0.649848399481075,0.0000625807729279225,0.000000195228155180381,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"3",3,108194.374025827,0.836287726460514,0.75729722310491,0.000103277342685998,0.00000067514765434892,0.625185240599912,0.0000000299185940510791,1.21887417257427,0.000117378667653998,0.000000705066248399999,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"4",4,108193.830041919,1.02193599216198,0.814858749491014,0.000144257797511585,0.00000138586954294168,0.925917602590049,0.0000000932247826890936,1.76285808113488,0.0001738396840242,0.00000147909432563078,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"5",5,108193.231752445,1.19408021015195,0.910201952107645,0.000185748118647387,0.00000230204889671779,1.25667713542726,0.000000207420906488725,2.36114755527531,0.000235937514711517,0.00000250946980320652,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"6",6,108192.55788241,1.37447222382925,1.03108625140231,0.000229755725265044,0.00000342103586973784,1.62922555284215,0.000000385199645594505,3.03501759003448,0.000305880435571691,0.00000380623551533235,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"7",7,108191.792205558,1.57388595257757,1.17399135113024,0.000277565720556923,0.00000474993378496582,2.05253418284408,0.000000639419202825963,3.80069444162543,0.000385352780312758,0.00000538935298779178,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"8",8,108190.919468499,1.79891547505325,1.33914148385407,0.0003302199503258,0.0000063023075532616,2.53503703592043,0.00000098359361079254,4.67343150067923,0.000475937973606882,0.00000728590116405414,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"9",9,108189.923584147,2.05477326188804,1.52851477673459,0.000388720482393598,0.00000809702534951517,3.08562956477715,0.00000143225329666964,5.66931585316082,0.000579306055317294,0.00000952927864618481,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"10",10,108188.786723255,2.34647022174164,1.7450680850269,0.000454122498806452,0.0000101580176282925,3.71417215697706,0.0000020012680856792,6.80617674553011,0.000697308213085885,0.0000121592857139717,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"11",11,108187.56331402,2.6170027215126,1.98168510854283,0.00052732032954753,0.0000125140188213974,4.43035560782335,0.00000270815319526825,8.02958598038034,0.000831763769880842,0.0000152221720166656,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"12",12,108186.178818188,2.93522040906387,2.23737780144359,0.000608575537855584,0.0000151952308442183,5.24085625893645,0.00000357229527719843,9.41408181250788,0.000983926060283918,0.0000187675261214167,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"13",13,108184.617653419,3.29898040191609,2.52074972302031,0.000698556994041951,0.0000182325466625053,6.15479505132003,0.00000461497331403277,10.9752465807704,0.00115550739357271,0.000022847519976538,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"14",14,108182.859590165,3.71063931914283,2.83782502481069,0.000798334407889761,0.0000216603843616697,7.18401963714592,0.00000585949578416682,12.7333098353875,0.00134873201080649,0.0000275198801458365,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"15",15,108180.880753079,4.17481509563111,3.19387634397699,0.00090922818442315,0.000025518367922117,8.34251340301642,0.00000733147882906407,14.7121469206557,0.00156622511944677,0.0000328498467511811,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"16",16,108178.653821598,4.69751257252959,3.59421563419916,0.0010327599107771,0.0000298523463948454,9.64627852426715,0.00000905920463590185,16.9390784024577,0.00181099093139204,0.0000389115510307472,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"17",17,108176.147848296,5.28582206329055,4.04456882674172,0.00117064682010975,0.0000347152481346258,11.1134443774061,0.0000110740615226939,19.4450517035681,0.00208643301325614,0.0000457893096573196,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"18",18,108173.6016303,5.71922257130477,4.51157859363638,0.00132384177950137,0.0000401661399091338,12.7590911159182,0.0000134108907593311,21.9912696996696,0.00239538239287068,0.000053577030668465,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"19",19,108170.777502495,6.24505074928043,4.98439166332953,0.0014907465158569,0.000046257539179555,14.5844019803126,0.0000161081802284989,24.8153975051578,0.00273806090401798,0.0000623657194080541,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"20",20,108167.664153181,6.84355513988396,5.48674505093317,0.00167105944012362,0.000053031906772035,16.5967033297047,0.0000192073113532666,27.9287468191801,0.00311584380262966,0.0000722392181253018,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"21",21,108164.239928814,7.50970444605738,6.03130980051703,0.00186568680405676,0.0000605314737504058,18.8100079691393,0.0000227522732848427,31.3529711862648,0.00353136174476173,0.0000832837470352486,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"22",22,108160.477159768,8.2449997483923,6.62634807699967,0.00207611218655086,0.0000688033647711612,21.242220701366,0.0000267898308114124,35.1157402321401,0.00398797609820234,0.0000955931955825738,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"23",23,108156.343824425,9.05405144527242,7.27854678600309,0.00230414100534535,0.0000779018994008616,23.9140639307295,0.0000313699108545173,39.2490755748206,0.00448957721045293,0.000109271810255379,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"24",24,108151.804075658,9.94316813422458,7.99424141485824,0.00255180370188181,0.0000878897602442828,26.8487385529939,0.0000365460913337365,43.7888243416302,0.0050405207334422,0.000124435851578019,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"25",25,108146.81826773,10.9198005539195,8.77996126994797,0.0028213268235984,0.0000988387394719507,30.071907904939,0.0000423761496168788,48.7746322705191,0.005645624605375,0.00014121488908883,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"26",26,108141.342756924,11.9923465917895,9.64269339951812,0.00311513319889376,0.000110830365979012,33.6118281985681,0.0000489226508749275,54.2501430760916,0.00631019353597254,0.000159753016853939,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"27",27,108135.329583811,13.1701149736673,10.5900293625273,0.00343585553207843,0.000123956541996226,37.4995557874697,0.0000562535772546537,60.2633161893157,0.00704005791709603,0.00018021011925088,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"28",28,108128.726086544,14.4633571590677,11.630267787706,0.00378635635807311,0.000138320244341664,41.7691993900673,0.0000644429964469812,66.8668134564399,0.00784162117384602,0.000202763240788645,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"29",29,108121.474458542,15.8833350298743,12.772500326875,0.00416975205023627,0.000154036317259291,46.4582087407052,0.0000735717779611739,74.1184414575999,0.00872191395464557,0.000227608095220465,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"30",30,108113.511244598,17.4424100460478,14.0266972451437,0.00458944038558074,0.000171232395636154,51.6077037097285,0.0000837283810262236,82.0816554020823,0.0096886559188283,0.000254960776662378,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"31",31,108104.766788511,19.1541464448655,15.4037962865169,0.00504913044394919,0.000190049951296674,57.2628345676467,0.0000950096950575474,90.8261114891194,0.0107503233710336,0.000285059646354222,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"32",32,108094.907442264,21.2482286427484,16.9532118654839,0.00555378474923664,0.000210646726661961,63.4781452740777,0.000107521847371731,100.685457735633,0.0119171562299105,0.000318168574033692,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"33",33,108084.041878653,23.5122949615627,18.7038916358087,0.00611133434738544,0.000233210927907835,70.3283688225762,0.000121381596939478,111.55102134682,0.0132031848443317,0.000354592524847314,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"34",34,108072.04909878,25.9924471688369,20.6541840247501,0.00672906578451153,0.000257966799451386,77.8900462753861,0.000136718854336309,123.543801220411,0.0146227788602654,0.000394685653787696,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"35",35,108058.804760238,28.7230942462063,22.8153646385696,0.00741379547540547,0.000285167061539465,86.241828236699,0.000153678356923304,136.788139762369,0.0161907038446608,0.000438845418462769,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"36",36,108044.175515018,31.7352477880449,25.2053673481489,0.00817255752630662,0.000315090848390223,95.468109776054,0.000172421463229495,151.417384982086,0.017922803758701,0.000487512311619718,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"37",37,108028.015864603,35.0601654608964,27.8462878507075,0.00901292848240711,0.000348044553800323,105.661027984656,0.000193127822004851,167.577035397118,0.0198363759985106,0.000541172375805174,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"38",38,108010.165854431,38.7311072075822,30.763468249539,0.00994321492719082,0.000384364285567327,116.921926535799,0.000215997285923654,185.427045569419,0.0219504463570104,0.000600361571490982,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"39",39,107990.192115448,42.9992396372343,34.0226234034637,0.0109734678030209,0.000424419412620092,129.367282373005,0.000241251285589784,205.400784552204,0.0242868817672184,0.000665670698209876,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"40",40,107968.091262882,47.6767665484977,37.6713232582799,0.0121173080195481,0.000468630381757216,143.140692236014,0.00026913625464596,227.501637117447,0.0268726407476116,0.000737766636403177,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"41",41,107943.619467713,52.8356957748045,41.7285544656556,0.013388371424188,0.000517475493304868,158.394976273226,0.000299926597717343,251.973432287202,0.0297364132446322,0.000817402091022212,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"42",42,107916.516459821,58.5389328797965,46.2283644404862,0.0148005522177883,0.000571486941775726,175.293436891631,0.000333928296753114,279.07644017937,0.0329088569883651,0.00090541523852884,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"43",43,107886.498451269,64.8489700190533,51.2137848429487,0.016368755799775,0.000631251689468481,194.014322379361,0.000371482297613901,309.09444873115,0.0364234355414226,0.00100273398708238,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"44",44,107853.253536404,71.8317900971537,56.7345924656122,0.0181092962163574,0.000697415606425726,214.753761353672,0.000412968044088143,342.339363596304,0.0403169692266348,0.00111038365051387,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"45",45,107816.437667849,79.5589331065948,62.8466756794924,0.0200401734131992,0.000770689770495508,237.728353693735,0.000458807636263074,379.155232150642,0.0446301215483709,0.00122949740675858,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"46",46,107773.565424742,89.868251855751,69.9177309016769,0.022188701918418,0.000851867331126648,263.217942462583,0.000509469059491198,422.027475258319,0.0494154297307749,0.00136133639061785,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"47",47,107725.756110541,101.004102006456,78.1519565267961,0.0246056849917813,0.000941940298975903,291.654617823842,0.000565476207863732,469.836789458592,0.054754015128574,0.00150741650683964,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"48",48,107672.287844922,113.30110953944,87.5028099190124,0.0273360958449729,0.00104213827815151,323.472129962469,0.000627422413463054,523.305055077458,0.0607273096772641,0.00166956069161456,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"49",49,107612.433792157,126.99280484955,98.0256583752266,0.0304204238563392,0.00115387124434917,359.108374338932,0.000695983696183641,583.159107842505,0.0674175226669954,0.00184985494053281,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"50",50,107545.416121672,142.281332334966,109.826254854778,0.0339000817491374,0.00127871012743523,399.033240416647,0.000771929259667583,650.176778327528,0.0749128694911936,0.00205063938710281,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"51",51,107470.381803984,159.367212896555,123.040361360987,0.0378198987147009,0.00141839114867556,443.763427336455,0.000856131580632943,725.211096015441,0.083310353300871,0.00227452272930851,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"52",52,107386.38695009,178.46273621083,137.826158937297,0.0422294525240785,0.00157483095571738,493.872300901504,0.000949577198223792,809.205949910309,0.0927176156029021,0.00252440815394118,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"53",53,107292.384372419,199.798467016165,154.362099817055,0.0471839356441629,0.00175014726750652,549.99797328629,0.00105337860746624,903.208527581029,0.103254453143618,0.00280352587497275,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
"54",54,107187.211957332,223.627066527293,172.846945022814,0.05274486665773,0.00194668291328834,612.851070780402,0.0011687875639478,1008.38094266764,0.115054276202453,0.00311547047723614,"Malawi","Zomba","TA Mbiza",77,108196.5929,"Pediatrics",188240.2271,1
