"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,19571.73831,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"2",2,19570.4871837188,1.01811734440728,0.861586242917579,0.00765862982209997,0.000188166356010158,0.36357363639944,2.26125401190193e-06,1.25112628115642,0.00904197905760696,0.000199251360077088,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"3",3,19569.1720938418,1.75431408121694,1.05004247514716,0.013616442661821,0.000633509789339238,0.747594014871292,1.56345347388879e-05,2.56621615822129,0.0185468434730418,0.000710152607993374,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"4",4,19567.4016554989,2.62044574610613,1.44198991193257,0.0204576747894404,0.00128761863405427,1.2524258760822,4.76735801761356e-05,4.33665450112457,0.0310198065043799,0.00152132162688748,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"5",5,19564.9200902084,3.78154649317667,2.044219516173,0.029671867698792,0.00219288078359991,1.96048301755674,0.000106016152686349,6.81821979154149,0.0485046435530895,0.00271258775924394,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"6",6,19561.3867494661,5.41820897765507,2.91809215978001,0.0426443841358015,0.00344655165652304,2.96896774776912,0.000200712888074403,10.3515605338846,0.0734040024175615,0.00443047613775313,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"7",7,19556.3393330017,7.75084773434131,4.17146019048604,0.0611105041459215,0.00519888470484656,4.4100136857243,0.000345998901105557,15.3989769983035,0.108980815341792,0.00689502286788406,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"8",8,19549.1250824961,11.0826355409162,5.96448134291828,0.0874728718937923,0.00766784785807618,6.47040759005315,0.000562310215207026,22.6132275038547,0.159846546003131,0.0104243763107128,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"9",9,19538.8148143192,15.8423313815783,8.52758303177655,0.125137866898057,0.0111656193859614,9.41639877837138,0.000879002776031255,32.9234956807862,0.232574054251073,0.015474621955272,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
"10",10,19524.0847134106,22.639268863397,12.1898640198764,0.178958612375139,0.0161380685970941,13.6280288396776,0.00133818550306709,47.6535965894263,0.336545163743735,0.0226980533072281,"Malawi","Lilongwe","TA Njewa",99,19572.73831,"Adults",50564.007936,29
