"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,2567.774119,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"2",2,2555.698245997,10.2023785885914,2.30698844445931,0.058234898795961,0.00243495760867832,0.505758432283063,7.76812619109292e-05,12.0758730030003,0.06671062077294,0.00256537681720663,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"3",3,2507.2690827536,48.3282877838967,10.3852693840547,0.273627390348975,0.0153261177643468,2.50172226600559,0.000803304326424576,60.5050362463967,0.328719046357669,0.0166747868240718,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"4",4,2298.72261943042,210.5498923723,46.6105475366264,1.24834976385827,0.0740175358473017,11.5641618873634,0.00453047358390234,269.05149956958,1.5180256484493,0.0816237559901782,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"5",5,1594.7821394731,734.149058488311,184.430711234429,5.31054071392672,0.331247362633215,49.7487363781801,0.0216853494177858,972.991979526898,6.52523205495,0.367654934268321,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"6",6,485.777569284923,1385.54317332604,503.790663751764,18.0252810256439,1.29077250811682,174.25372686615,0.0929322373655268,2081.99654971507,22.8053373943319,1.44679660641063,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"7",7,44.4503063998009,1252.66426142787,799.879752049641,41.1124229783391,3.81678372210881,426.520102025783,0.330490396453704,2523.3238126002,55.5558545489053,4.37164463542819,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"8",8,2.06413340154809,857.426335407386,880.503179369395,65.2990327455309,8.23956520778368,754.327146883308,0.914725985046022,2565.70998559845,97.595546429847,9.77530028797293,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"9",9,0.0960387863318564,566.710527506865,816.412928768632,82.4405030025294,13.9308339069121,1087.17457764214,2.00870938658417,2567.67808021367,139.608563931249,17.3032596620715,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"10",10,0.00674653258125029,373.665360948189,693.897712947236,90.5382391007568,19.9078747021472,1387.06834710739,3.68983766170086,2567.76737246742,176.778844314122,26.1027497028748,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
"11",11,0.000749788474010579,246.339920393989,560.086550668265,90.8696738770021,25.3330202938534,1640.20155774466,5.94264623375449,2567.77336921152,207.530479516853,35.3101396055696,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,72
