"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,113937.9766,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"2",2,113937.502899859,0.383336500133602,0.737586344399082,5.50270202947234e-05,4.82689896020716e-07,0.352721758156931,2.87610280272078e-08,0.473700141160834,6.52560387756819e-05,5.11450924047924e-07,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"3",3,113937.118866087,0.565486671467984,0.653469637331991,8.42693290425564e-05,1.50450273069729e-06,0.638691640794298,1.90021004795231e-07,0.857733913447051,0.000118159803752407,1.69452373549252e-06,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"4",4,113936.744911632,0.678505792952748,0.645512019538307,0.000102667381283215,2.72086081957883e-06,0.907564626465349,5.40724316393312e-07,1.23168836792282,0.000167899084002658,3.26158513597214e-06,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"5",5,113936.364282704,0.759025991867867,0.671927895817685,0.000116666775015387,3.99304106292211e-06,1.18124164847304,1.0999322126068e-06,1.61231729590688,0.000218526240525965,5.09297327552891e-06,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"6",6,113935.963138938,0.829146381498189,0.714506148010481,0.000129047314342827,5.26981552160307e-06,1.46967234303887,1.87193089379186e-06,2.0134610616083,0.000271882242650726,7.14174641539492e-06,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"7",7,113935.534514522,0.897993229088677,0.766077323828812,0.000141043148646555,6.53657084520274e-06,1.77786448926689,2.85595396175023e-06,2.44208547785783,0.000328893644785614,9.39252480695297e-06,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"8",8,113935.074111996,0.969471383470814,0.82394366431572,0.000153244624457602,7.79410896538206e-06,2.10890786763642,4.05026468035491e-06,2.90248800442106,0.000390132097372341,1.1844373645737e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"9",9,113934.578593094,1.0454002407764,0.887223325887999,0.000165969535557585,9.04972811435402e-06,2.46520286591593,5.45387907238649e-06,3.39800690572307,0.000456041679292395,1.45036071867405e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"10",10,113934.044880328,1.12677827629777,0.955783523246184,0.000179417198924178,1.03134279753697e-05,2.84896107424085,7.06728832220562e-06,3.93171967170002,0.000527031524875685,1.73807162975754e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"11",11,113933.449379691,1.23114474754086,1.03298224444157,0.000193813265100828,1.15965975384919e-05,3.26287901444764,8.89276298674562e-06,4.52722030905569,0.000603600475605578,2.04893605252375e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"12",12,113932.804487076,1.34051080961113,1.12023962127402,0.000209547602080072,1.29139265166674e-05,3.71112909694333,1.09347139425557e-05,5.17211292407102,0.000686520411264535,2.38486404592232e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"13",13,113932.104603624,1.45773254599156,1.21640479042677,0.000226851274616615,1.42827487703751e-05,4.19760470496556,1.32002659669589e-05,5.87199637567324,0.000776511569363295,2.74830147373341e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"14",14,113931.344436496,1.58446173345837,1.32143896461332,0.000245858288075971,1.5720364758329e-05,4.72598552761898,1.56994529017397e-05,6.6321635037964,0.000874254641277346,3.14198176600688e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
"15",15,113930.518553375,1.72190872577037,1.43578714171977,0.000266680740682471,1.72432514728103e-05,5.30004838803379,1.84451256108852e-05,7.4580466246417,0.00098044828235638,3.56883770836955e-05,"Malawi","Lilongwe","TA Kalolo",139,113938.9766,"Pediatrics",206410.25005,57
