"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,97850.67834,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"2",2,97850.2046407309,0.383335782946589,0.737586209396319,5.54527089645108e-05,4.86423997307833e-07,0.352721308727447,2.89835244266679e-08,0.473699269186842,6.57608593992008e-05,5.15407521734501e-07,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"3",3,97849.8206079984,0.565485347748449,0.653469186330837,8.49212196082052e-05,1.51614146242543e-06,0.638690838693725,1.91491004551569e-07,0.857732001625087,0.000119073868947745,1.707632466977e-06,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"4",4,97849.4466550048,0.678503709818705,0.645511139394205,0.000103461562371198,2.74190878924052e-06,0.907563397679073,5.44907305021555e-07,1.23168499527045,0.00016919788425644,3.28681609426207e-06,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"5",5,97849.0660280765,0.759022966205238,0.671926439890605,0.000117569195657322,4.02392944734955e-06,1.18123981586342,1.10844104536085e-06,1.61231192352542,0.00022021660551153,5.1323704927104e-06,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"6",6,97848.6648869889,0.829142175043456,0.714503949743063,0.000130045424486177,5.31057891924579e-06,1.46966964394274,1.886411450397e-06,2.01345301114411,0.000273985231879033,7.19699036964278e-06,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"7",7,97848.2362661057,0.897987539611189,0.766074180546482,0.000142133940994114,6.58713050741615e-06,1.77786057503891,2.8780460114944e-06,2.4420738943141,0.000331437471372325,9.46517651891055e-06,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"8",8,97847.7758681727,0.969463842728001,0.823939327579834,0.000154429652572728,7.85439201262948e-06,2.10890229138652,4.08159432310673e-06,2.90247182733326,0.000393149379287453,1.19359863357362e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"9",9,97847.2803551691,1.04539040547277,0.887217493078379,0.000167252803794507,9.11971773740857e-06,2.46519506375461,5.49606450190044e-06,3.39798483089179,0.000459568448580687,1.4615782239309e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"10",10,97846.7466498938,1.126765616908,0.955775828193176,0.000180804244163832,1.03931842623731e-05,2.8489503416853,7.12195116745761e-06,3.93169010616608,0.000531106952760446,1.75151354298307e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"11",11,97846.1511590152,1.23112835323666,1.03297220080344,0.000195311357542016,1.16862681305482e-05,3.26286447159112,8.96154199321677e-06,4.52718098479889,0.000608267560017314,2.06478101237649e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"12",12,97845.5062787209,1.34048984569245,1.12022660714209,0.000211167009447281,1.30137719877775e-05,3.71110962621787,1.10192814259666e-05,5.17206127911527,0.000691828077722164,2.40330534137442e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"13",13,97844.8064107249,1.45770598758804,1.21638808029227,0.000228604031872647,1.43931628894978e-05,4.1975789076803,1.33023486740383e-05,5.87192927510405,0.00078251426314337,2.76955115635361e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"14",14,97844.046262888,1.58442832847387,1.3214176902905,0.000247757444066266,1.584187404064e-05,4.72595167307398,1.58208543490954e-05,6.6320771120108,0.000881012011860974,3.16627283897354e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"15",15,97843.2204037304,1.72186696052333,1.43576025770819,0.000268740184485403,1.73765085957849e-05,5.30000434699983,1.85877476784444e-05,7.45793626967211,0.000988025309969989,3.59642562742293e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"16",16,97842.3230581531,1.87110489471428,1.56009222620557,0.000291671528575477,1.90128826067478e-05,5.92375242290495,2.16186764488559e-05,8.35528184691244,0.00110430270968755,4.06315590556037e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"17",17,97841.3479970769,2.03322861926817,1.69522699731595,0.000316686711824577,2.07663358026222e-05,6.6015249215592,2.49318891519794e-05,9.3303429230801,0.00123065121091661,4.56982249546016e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"18",18,97840.2519448941,2.23944178276207,1.84772436682183,0.00034408149626805,2.26526742155479e-05,7.33883367399612,2.85481674971139e-05,10.426395105918,0.00136809833052128,5.12008417126617e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"19",19,97839.054971542,2.45827745537435,2.02061972532287,0.000374511758119929,2.46932116203119e-05,8.14403958097824,3.24913377900698e-05,11.623368457983,0.00151820274632756,5.71845494103817e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"20",20,97837.7450819806,2.69521744736282,2.21235333294631,0.000408393990997508,2.69144892742165e-05,9.02521514133661,3.67892778035282e-05,12.9332580194038,0.0016824693325524,6.37037670777448e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"21",21,97836.3105509856,2.95368970490967,2.42333121325007,0.000446001434608484,2.93439812022463e-05,9.99025127644729,4.14744015701596e-05,14.3677890144244,0.0018623690900566,7.08183827724059e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"22",22,97834.7390980893,3.23642269888355,2.65483979573372,0.000487590767497226,3.20089168041e-05,11.0474132327318,4.65836845698343e-05,15.939241910718,0.00205944279497591,7.85926013739343e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"23",23,97833.0174907366,3.54600038654155,2.90862066967421,0.000533448261052899,3.49364878630419e-05,12.2056076638245,5.21586387782245e-05,17.660849263428,0.00227535079387823,8.70951266412664e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"24",24,97831.1313233847,3.88508988278758,3.18671409463006,0.0005839049085196,3.81544532008579e-05,13.4745323331536,5.82453470037257e-05,19.54701661528,0.00251190091261127,9.63998002045837e-05,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"25",25,97829.1108134238,4.21873129485196,3.48431168433368,0.000639162857657764,4.16910051410615e-05,14.8637378486255,6.48945281178621e-05,21.5675265762021,0.00277087352283624,0.000106585533258924,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"26",26,97826.9045231887,4.59095211463893,3.80133769769158,0.000699047647278885,4.55694707249309e-05,16.3807102204775,7.21613502284491e-05,23.7738168112763,0.00305366406634648,0.00011773082095338,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"27",27,97824.4986883044,4.99996553396449,4.14387002344063,0.00076376043718779,4.98094694933078e-05,18.0349224638583,8.01044311725529e-05,26.1796516956013,0.003362038450505,0.000129913900665861,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
"28",28,97821.8765949438,5.44697113919781,4.51591964315265,0.000833763463289139,5.44330666165181e-05,19.8378772914987,8.87858095356198e-05,28.8017450561886,0.0036981409863319,0.000143218876152138,"Malawi","Lilongwe","TA Chadza",110,97851.67834,"Pediatrics",175833.45001,57
